# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 3.939, Jz = 0.1000
step,H,delta^2
100000,-4764.840000,0.135876
100020,-4575.000000,0.132458
100040,-4622.680000,0.132397
100060,-4747.400000,0.130640
100080,-4685.120000,0.136096
100100,-4675.520000,0.133630
100120,-4644.080000,0.132263
100140,-4608.200000,0.133936
100160,-4674.480000,0.133728
100180,-4610.800000,0.136108
100200,-4686.360000,0.134497
100220,-4618.320000,0.139453
100240,-4597.800000,0.133618
100260,-4675.920000,0.135107
100280,-4649.400000,0.136731
100300,-4581.360000,0.135706
100320,-4640.040000,0.137915
100340,-4698.000000,0.138550
100360,-4611.160000,0.136584
100380,-4689.480000,0.132812
100400,-4654.040000,0.134998
100420,-4636.320000,0.134692
100440,-4621.160000,0.130688
100460,-4635.040000,0.134497
100480,-4681.040000,0.133972
100500,-4611.240000,0.133752
100520,-4630.000000,0.134204
100540,-4676.360000,0.136340
100560,-4625.960000,0.136121
100580,-4577.200000,0.136694
100600,-4645.480000,0.138489
100620,-4699.360000,0.134839
100640,-4589.480000,0.136780
100660,-4612.440000,0.136755
100680,-4690.280000,0.137915
100700,-4693.520000,0.131677
100720,-4720.600000,0.135583
100740,-4698.480000,0.136609
100760,-4629.000000,0.135767
100780,-4663.840000,0.131824
100800,-4595.720000,0.134998
100820,-4743.560000,0.137024
100840,-4709.600000,0.135193
100860,-4705.680000,0.137146
100880,-4663.360000,0.132556
100900,-4706.960000,0.137024
100920,-4682.840000,0.134021
100940,-4679.720000,0.134290
100960,-4626.480000,0.134998
100980,-4667.880000,0.135352
101000,-4636.920000,0.137500
101020,-4717.040000,0.132605
101040,-4675.800000,0.134229
101060,-4703.360000,0.132581
101080,-4648.400000,0.132654
101100,-4687.080000,0.133459
101120,-4679.120000,0.128687
101140,-4651.720000,0.130762
101160,-4706.000000,0.131396
101180,-4622.560000,0.134570
101200,-4649.480000,0.131104
101220,-4581.440000,0.131165
101240,-4623.640000,0.131665
101260,-4621.440000,0.133716
101280,-4677.160000,0.132300
101300,-4716.360000,0.131165
101320,-4705.520000,0.132825
101340,-4624.240000,0.132153
101360,-4633.280000,0.131323
101380,-4702.080000,0.131799
101400,-4652.760000,0.134192
101420,-4621.600000,0.130737
101440,-4678.040000,0.131177
101460,-4645.800000,0.132568
101480,-4632.800000,0.133582
101500,-4670.880000,0.135217
101520,-4676.880000,0.133093
101540,-4602.720000,0.131189
101560,-4621.640000,0.132520
101580,-4655.000000,0.138208
101600,-4630.720000,0.134473
101620,-4704.160000,0.134802
101640,-4640.800000,0.128943
101660,-4699.240000,0.130298
101680,-4696.200000,0.133740
101700,-4686.400000,0.135376
101720,-4706.840000,0.135400
101740,-4586.440000,0.132483
101760,-4690.840000,0.130664
101780,-4626.120000,0.133887
101800,-4733.200000,0.137280
101820,-4630.520000,0.135925
101840,-4691.520000,0.133777
101860,-4720.720000,0.135828
101880,-4710.240000,0.131287
101900,-4716.640000,0.138635
101920,-4792.680000,0.133154
101940,-4637.160000,0.134399
101960,-4654.680000,0.129688
101980,-4650.760000,0.133948
102000,-4631.480000,0.133740
102020,-4654.800000,0.135608
102040,-4660.320000,0.134363
102060,-4661.800000,0.133752
102080,-4638.960000,0.132422
102100,-4654.120000,0.132178
102120,-4671.160000,0.128259
102140,-4598.720000,0.131482
102160,-4667.000000,0.132043
102180,-4684.640000,0.135339
102200,-4690.880000,0.131750
102220,-4673.840000,0.134583
102240,-4620.640000,0.134204
102260,-4666.360000,0.133105
102280,-4659.120000,0.133850
102300,-4657.200000,0.133911
102320,-4650.280000,0.134009
102340,-4642.480000,0.136340
102360,-4662.360000,0.137378
102380,-4661.120000,0.135986
102400,-4781.680000,0.137170
102420,-4642.440000,0.136243
102440,-4675.440000,0.134229
102460,-4762.960000,0.131885
102480,-4788.400000,0.134106
102500,-4631.720000,0.133630
102520,-4709.120000,0.138342
102540,-4736.200000,0.132520
102560,-4654.120000,0.134448
102580,-4775.760000,0.134631
102600,-4689.480000,0.136804
102620,-4763.920000,0.136255
102640,-4711.920000,0.139136
102660,-4693.680000,0.138782
102680,-4759.640000,0.140161
102700,-4626.320000,0.141797
102720,-4621.920000,0.138806
102740,-4654.120000,0.136755
102760,-4575.880000,0.135925
102780,-4577.040000,0.134167
102800,-4674.960000,0.137024
102820,-4592.840000,0.133362
102840,-4650.240000,0.134204
102860,-4681.560000,0.136951
102880,-4713.600000,0.137219
102900,-4611.160000,0.137244
102920,-4564.760000,0.135437
102940,-4596.920000,0.137024
102960,-4645.640000,0.132202
102980,-4720.240000,0.131934
103000,-4640.120000,0.133826
103020,-4704.840000,0.133923
103040,-4689.800000,0.134448
103060,-4738.680000,0.134412
103080,-4714.360000,0.134131
103100,-4587.920000,0.133545
103120,-4648.560000,0.137256
103140,-4616.680000,0.136853
103160,-4696.320000,0.133215
103180,-4613.480000,0.137634
103200,-4636.000000,0.134497
103220,-4608.640000,0.134595
103240,-4696.200000,0.136877
103260,-4718.360000,0.136365
103280,-4544.720000,0.132007
103300,-4720.960000,0.133630
103320,-4633.520000,0.136475
103340,-4673.600000,0.132336
103360,-4662.880000,0.132629
103380,-4598.440000,0.130933
103400,-4576.720000,0.133154
103420,-4566.280000,0.136072
103440,-4572.080000,0.135791
103460,-4610.240000,0.136450
103480,-4689.880000,0.138513
103500,-4723.040000,0.133606
103520,-4681.120000,0.133411
103540,-4664.520000,0.133960
103560,-4571.400000,0.131042
103580,-4691.400000,0.135217
103600,-4664.560000,0.133032
103620,-4662.440000,0.137354
103640,-4697.120000,0.132971
103660,-4723.000000,0.131897
103680,-4679.640000,0.135132
103700,-4689.720000,0.137903
103720,-4693.440000,0.136597
103740,-4666.200000,0.131482
103760,-4742.760000,0.134070
103780,-4712.200000,0.137378
