# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 1.082, Jz = 0.1000
step,H,delta^2
100000,-14443.080000,0.414441
100020,-14428.400000,0.414172
100040,-14427.000000,0.413806
100060,-14432.480000,0.414380
100080,-14424.960000,0.413232
100100,-14432.920000,0.413904
100120,-14452.120000,0.414417
100140,-14444.600000,0.414087
100160,-14438.640000,0.414246
100180,-14441.840000,0.413965
100200,-14434.440000,0.413757
100220,-14431.400000,0.413403
100240,-14425.360000,0.413452
100260,-14429.600000,0.413367
100280,-14443.080000,0.414075
100300,-14436.840000,0.414026
100320,-14443.360000,0.414465
100340,-14444.360000,0.414355
100360,-14444.640000,0.414001
100380,-14459.080000,0.414795
100400,-14433.600000,0.414746
100420,-14434.200000,0.414038
100440,-14439.640000,0.413892
100460,-14439.040000,0.413647
100480,-14430.200000,0.413428
100500,-14424.800000,0.413794
100520,-14444.800000,0.414075
100540,-14442.320000,0.414062
100560,-14444.200000,0.414258
100580,-14437.280000,0.414575
100600,-14445.600000,0.414026
100620,-14446.320000,0.414270
100640,-14435.240000,0.414087
100660,-14434.840000,0.414392
100680,-14432.840000,0.414429
100700,-14435.360000,0.414441
100720,-14429.960000,0.413733
100740,-14438.160000,0.414331
100760,-14437.040000,0.414453
100780,-14443.680000,0.414539
100800,-14446.920000,0.414917
100820,-14446.200000,0.415295
100840,-14448.120000,0.414392
100860,-14430.520000,0.414941
100880,-14430.680000,0.414771
100900,-14434.400000,0.414795
100920,-14444.680000,0.415845
100940,-14436.160000,0.414685
100960,-14434.840000,0.415088
100980,-14449.360000,0.415295
101000,-14439.360000,0.414783
101020,-14433.960000,0.414722
101040,-14440.080000,0.414832
101060,-14427.880000,0.414429
101080,-14440.600000,0.414563
101100,-14440.760000,0.414526
101120,-14432.560000,0.415051
101140,-14439.240000,0.415295
101160,-14441.200000,0.414954
101180,-14442.040000,0.414404
101200,-14437.920000,0.415259
101220,-14440.000000,0.415540
101240,-14448.080000,0.416003
101260,-14445.240000,0.416199
101280,-14450.520000,0.416455
101300,-14452.040000,0.416357
101320,-14456.200000,0.416650
101340,-14441.280000,0.417078
101360,-14433.400000,0.416467
101380,-14438.880000,0.416687
