# Ensemble size: 1, Sample period: 20, Burn in steps: 100000, Samples: 100
# L = 32, Lz = 8, T = 2.750, Jz = 0.1000
step,H,delta^2
100000,-8118.800000,0.165283
100020,-8020.400000,0.165161
100040,-8132.000000,0.159912
100060,-8257.200000,0.163940
100080,-8125.200000,0.164917
100100,-8101.200000,0.162842
100120,-8176.800000,0.161743
100140,-8243.600000,0.164551
100160,-7914.000000,0.161255
100180,-7808.000000,0.157959
100200,-8090.400000,0.164307
100220,-7934.400000,0.166504
100240,-7954.400000,0.173096
100260,-8230.800000,0.161133
100280,-8223.200000,0.166504
100300,-8166.000000,0.164062
100320,-8250.000000,0.163818
100340,-8114.400000,0.159302
100360,-8415.600000,0.170044
100380,-8134.800000,0.160645
100400,-8230.800000,0.164429
100420,-8318.000000,0.179077
100440,-8431.200000,0.168701
100460,-8048.400000,0.174194
100480,-8184.000000,0.175049
100500,-8036.400000,0.170532
100520,-8148.800000,0.182129
100540,-8216.000000,0.197266
100560,-8197.200000,0.192139
100580,-8558.800000,0.199341
100600,-8340.400000,0.198486
100620,-8462.400000,0.194336
100640,-8321.600000,0.189941
100660,-8342.000000,0.189453
100680,-8360.400000,0.207031
100700,-8367.600000,0.199219
100720,-8355.600000,0.193115
100740,-8291.200000,0.191528
100760,-8414.000000,0.184448
100780,-8245.600000,0.185059
100800,-8244.400000,0.184814
100820,-8126.800000,0.183716
100840,-8086.800000,0.173462
100860,-8114.800000,0.185913
100880,-8045.200000,0.178955
100900,-8174.400000,0.177979
100920,-8254.000000,0.174927
100940,-8005.200000,0.161865
100960,-8073.600000,0.167114
100980,-8343.600000,0.179199
101000,-8071.600000,0.173218
101020,-8088.800000,0.164795
101040,-8216.000000,0.176758
101060,-8109.600000,0.171997
101080,-8267.200000,0.190674
101100,-8031.600000,0.175903
101120,-7978.400000,0.165649
101140,-7978.800000,0.173340
101160,-8042.400000,0.174072
101180,-7980.400000,0.176392
101200,-8011.200000,0.175049
101220,-8140.000000,0.177124
101240,-8205.200000,0.181152
101260,-8134.000000,0.187500
101280,-8188.800000,0.175903
101300,-8255.200000,0.182129
101320,-7819.600000,0.180786
101340,-8250.000000,0.185425
101360,-8320.000000,0.194458
101380,-8136.000000,0.185425
101400,-8199.200000,0.182861
101420,-8475.600000,0.183594
101440,-8659.200000,0.202148
101460,-8348.800000,0.191895
101480,-8593.200000,0.190674
101500,-8593.600000,0.198853
101520,-8280.000000,0.192627
101540,-8399.600000,0.185669
101560,-8514.000000,0.186401
101580,-8310.400000,0.184448
101600,-8329.200000,0.178223
101620,-8373.200000,0.181519
101640,-8238.800000,0.180786
101660,-8388.000000,0.188232
101680,-8085.600000,0.179443
101700,-8260.800000,0.191284
101720,-8361.600000,0.182617
101740,-8274.400000,0.191406
101760,-8178.000000,0.182983
101780,-8270.000000,0.186035
101800,-8194.000000,0.193848
101820,-8497.600000,0.203369
101840,-8378.000000,0.211060
101860,-8312.800000,0.206909
101880,-8173.600000,0.198120
101900,-8129.600000,0.198853
101920,-8079.200000,0.197021
101940,-8030.400000,0.196533
101960,-7994.000000,0.202515
101980,-8106.400000,0.183960
