# Ensemble size: 2, Sample period: 20, Burn in steps: 10000, Samples: 100
# L = 32, Lz = 8, T = 2.214, Jz = 0.1000
step,H,delta^2
10000,-11337.400000,0.310303
10020,-11315.000000,0.307800
10040,-11316.800000,0.309998
10060,-11394.200000,0.310181
10080,-11396.000000,0.314453
10100,-11466.400000,0.320190
10120,-11420.600000,0.315125
10140,-11450.800000,0.308838
10160,-11384.400000,0.305298
10180,-11351.200000,0.310608
10200,-11489.200000,0.316101
10220,-11548.200000,0.318665
10240,-11437.800000,0.315735
10260,-11406.400000,0.314453
10280,-11451.200000,0.318115
10300,-11481.000000,0.321716
10320,-11575.400000,0.319885
10340,-11543.600000,0.322205
10360,-11642.400000,0.321472
10380,-11649.600000,0.322876
10400,-11632.800000,0.319275
10420,-11592.000000,0.319275
10440,-11591.000000,0.324402
10460,-11567.000000,0.325500
10480,-11402.000000,0.321716
10500,-11409.000000,0.329468
10520,-11311.400000,0.327576
10540,-11402.200000,0.329834
10560,-11510.800000,0.330872
10580,-11464.800000,0.329834
10600,-11485.800000,0.327820
10620,-11485.600000,0.327332
10640,-11511.600000,0.324707
10660,-11499.600000,0.325989
10680,-11578.800000,0.328064
10700,-11536.000000,0.331238
10720,-11466.800000,0.327087
10740,-11456.200000,0.321838
10760,-11572.400000,0.324829
10780,-11553.600000,0.322571
10800,-11408.200000,0.322815
10820,-11369.400000,0.326599
10840,-11593.400000,0.324158
10860,-11590.400000,0.322937
10880,-11543.200000,0.319763
10900,-11519.400000,0.321960
10920,-11475.400000,0.322266
10940,-11340.600000,0.318909
10960,-11473.200000,0.319214
10980,-11491.800000,0.319214
11000,-11500.200000,0.321472
11020,-11530.400000,0.326111
11040,-11460.600000,0.321960
11060,-11494.800000,0.323425
11080,-11597.200000,0.324524
11100,-11671.600000,0.319824
11120,-11506.800000,0.319153
11140,-11566.600000,0.317505
11160,-11581.600000,0.315369
11180,-11536.800000,0.321106
11200,-11626.000000,0.318481
11220,-11554.400000,0.313965
11240,-11439.800000,0.315308
11260,-11600.800000,0.316467
11280,-11589.000000,0.313904
11300,-11466.600000,0.318359
11320,-11523.200000,0.320312
11340,-11548.600000,0.319153
11360,-11535.000000,0.326172
11380,-11539.000000,0.325256
11400,-11435.400000,0.321289
11420,-11458.800000,0.319885
11440,-11556.200000,0.322937
11460,-11367.400000,0.325195
11480,-11486.400000,0.333130
11500,-11448.400000,0.332642
11520,-11492.200000,0.337463
11540,-11488.000000,0.340088
11560,-11608.400000,0.340332
11580,-11716.200000,0.340698
11600,-11579.800000,0.337708
11620,-11580.000000,0.343140
11640,-11701.200000,0.339844
11660,-11574.000000,0.342346
11680,-11497.600000,0.340149
11700,-11656.200000,0.338989
11720,-11530.000000,0.338379
11740,-11668.400000,0.339172
11760,-11699.400000,0.338501
11780,-11669.200000,0.333008
11800,-11641.400000,0.329468
11820,-11750.600000,0.334351
11840,-11618.600000,0.330078
11860,-11658.400000,0.335510
11880,-11538.600000,0.335327
11900,-11626.000000,0.333252
11920,-11598.200000,0.333923
11940,-11710.600000,0.330444
11960,-11663.000000,0.330872
11980,-11712.800000,0.331848
