# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 4.347, Jz = 0.1000
step,H,delta^2
100000,-4143.320000,0.131323
100020,-4098.120000,0.132812
100040,-4093.000000,0.132654
100060,-4055.280000,0.126453
100080,-4165.800000,0.131628
100100,-4106.040000,0.132312
100120,-4180.960000,0.131506
100140,-4043.240000,0.130371
100160,-4138.040000,0.133484
100180,-4115.520000,0.131348
100200,-4204.600000,0.137195
100220,-4123.440000,0.133984
100240,-4156.960000,0.132849
100260,-4157.320000,0.133386
100280,-4092.240000,0.132397
100300,-4169.400000,0.134912
100320,-4146.440000,0.131311
100340,-4214.320000,0.131458
100360,-4187.160000,0.131494
100380,-4143.560000,0.132300
100400,-4080.960000,0.128381
100420,-4229.520000,0.132056
100440,-4150.640000,0.131409
100460,-4227.840000,0.130798
100480,-4218.080000,0.133875
100500,-4138.440000,0.131958
100520,-4178.960000,0.129260
100540,-4109.400000,0.133350
100560,-4183.040000,0.131067
100580,-4026.320000,0.132507
100600,-4155.320000,0.132800
100620,-4105.240000,0.134448
100640,-4112.280000,0.131580
100660,-4201.040000,0.133923
100680,-4206.400000,0.135681
100700,-4199.600000,0.132300
100720,-4086.640000,0.131860
100740,-4252.480000,0.132568
100760,-4142.640000,0.130408
100780,-4017.920000,0.131311
100800,-4085.840000,0.131812
100820,-4104.960000,0.132263
100840,-4111.760000,0.135852
100860,-4148.000000,0.129822
100880,-4165.000000,0.131799
100900,-4139.880000,0.136072
100920,-4094.320000,0.133691
100940,-4127.360000,0.132971
100960,-4023.400000,0.132532
100980,-4092.640000,0.133936
101000,-4129.160000,0.133533
101020,-4175.000000,0.129675
101040,-4032.080000,0.131531
101060,-4133.600000,0.133545
101080,-4141.880000,0.129529
101100,-4163.440000,0.129517
101120,-4101.360000,0.130444
101140,-4119.240000,0.132397
101160,-4097.040000,0.132935
101180,-4131.480000,0.130383
101200,-4086.640000,0.132092
101220,-4120.240000,0.132800
101240,-4128.280000,0.133289
101260,-4139.240000,0.131409
101280,-4181.880000,0.132739
101300,-4127.240000,0.133472
101320,-4251.080000,0.133289
101340,-4120.760000,0.133643
101360,-4054.080000,0.132520
101380,-4134.080000,0.136206
101400,-4138.600000,0.134009
101420,-4090.400000,0.129626
101440,-4100.200000,0.135901
101460,-4106.400000,0.134814
101480,-4064.040000,0.128760
101500,-4077.880000,0.133167
101520,-4049.840000,0.134424
101540,-4108.840000,0.136572
101560,-4123.240000,0.132703
101580,-4178.560000,0.132446
101600,-4153.440000,0.132190
101620,-4191.200000,0.132288
101640,-4182.640000,0.132910
101660,-4131.720000,0.135059
101680,-4161.800000,0.133008
101700,-4187.680000,0.130725
101720,-4113.440000,0.129175
101740,-4103.680000,0.132715
101760,-4095.160000,0.134888
101780,-4117.880000,0.131311
101800,-4150.280000,0.134619
101820,-4189.600000,0.132825
101840,-4104.000000,0.137561
101860,-4181.160000,0.133801
101880,-4206.600000,0.132935
101900,-4163.960000,0.132141
101920,-4112.960000,0.135400
101940,-4103.760000,0.132458
101960,-4146.720000,0.135474
101980,-4153.920000,0.136414
102000,-4141.200000,0.131970
102020,-4136.080000,0.136267
102040,-4166.800000,0.137976
102060,-4206.360000,0.130713
102080,-4133.720000,0.133130
102100,-4176.280000,0.133960
102120,-4124.560000,0.134277
102140,-4160.720000,0.128528
102160,-4048.640000,0.132996
102180,-4076.480000,0.132153
102200,-4020.360000,0.132886
102220,-4059.560000,0.134644
102240,-4099.320000,0.135327
102260,-4143.040000,0.134961
102280,-4166.760000,0.134180
102300,-4204.200000,0.134448
102320,-4098.800000,0.132520
102340,-4144.920000,0.135999
102360,-4167.760000,0.134485
102380,-4176.880000,0.132166
102400,-4138.360000,0.131006
102420,-4093.640000,0.134338
102440,-4150.040000,0.133435
102460,-4081.840000,0.134583
102480,-4099.640000,0.133643
102500,-4162.040000,0.132776
102520,-4099.240000,0.135266
102540,-4179.120000,0.131641
102560,-4115.200000,0.132031
102580,-4162.520000,0.133325
102600,-4217.080000,0.134045
102620,-4126.960000,0.137073
102640,-4090.800000,0.133777
102660,-4157.480000,0.131079
102680,-4101.120000,0.134045
102700,-4101.160000,0.135791
102720,-4121.680000,0.130469
102740,-4218.120000,0.132922
102760,-4140.000000,0.129993
102780,-4179.800000,0.134802
102800,-4198.440000,0.132239
