# Ensemble size: 2, Sample period: 20, Burn in steps: 10000, Samples: 100
# L = 32, Lz = 8, T = 2.536, Jz = 0.1000
step,H,delta^2
10000,-9437.000000,0.204041
10020,-9355.200000,0.202087
10040,-9305.800000,0.195801
10060,-9364.000000,0.196716
10080,-9533.400000,0.200439
10100,-9388.000000,0.191345
10120,-9410.600000,0.198669
10140,-9284.000000,0.201904
10160,-9272.000000,0.203857
10180,-9448.400000,0.200378
10200,-9291.200000,0.195557
10220,-9278.600000,0.194275
10240,-9339.400000,0.198242
10260,-9333.400000,0.193542
10280,-9321.400000,0.192444
10300,-9298.000000,0.198181
10320,-9314.600000,0.195618
10340,-9356.800000,0.197693
10360,-9261.600000,0.202820
10380,-9286.600000,0.200684
10400,-9193.600000,0.204224
10420,-9339.800000,0.202332
10440,-9296.600000,0.201233
10460,-9311.000000,0.200623
10480,-9209.200000,0.199280
10500,-9249.200000,0.204407
10520,-9248.800000,0.199097
10540,-9367.600000,0.191162
10560,-9412.000000,0.190369
10580,-9374.600000,0.190308
10600,-9213.000000,0.191345
10620,-9220.600000,0.194824
10640,-9316.200000,0.199219
10660,-9321.400000,0.198364
10680,-9340.400000,0.201965
10700,-9198.600000,0.196106
10720,-9233.600000,0.194153
10740,-9073.400000,0.195801
10760,-9140.800000,0.199646
10780,-9225.600000,0.200989
10800,-9193.400000,0.190491
10820,-9080.200000,0.190979
10840,-9270.000000,0.192261
10860,-9127.600000,0.191406
10880,-9308.400000,0.195068
10900,-9262.600000,0.190063
10920,-9183.400000,0.190247
10940,-9260.800000,0.190002
10960,-9115.600000,0.189270
10980,-9246.600000,0.193970
11000,-9131.400000,0.202759
11020,-9156.400000,0.200989
11040,-9316.800000,0.200378
11060,-9143.400000,0.202881
11080,-9326.800000,0.201355
11100,-9124.400000,0.207397
11120,-9277.200000,0.204285
11140,-9132.400000,0.209167
11160,-9136.400000,0.209290
11180,-9280.400000,0.215271
11200,-9219.600000,0.206787
11220,-9192.000000,0.203979
11240,-9220.800000,0.203064
11260,-9186.000000,0.193542
11280,-9154.000000,0.197510
11300,-9169.000000,0.198425
11320,-9311.000000,0.197754
11340,-9447.800000,0.206970
11360,-9245.600000,0.206848
11380,-9242.800000,0.199158
11400,-9173.800000,0.202148
11420,-9366.000000,0.210449
11440,-9214.400000,0.206970
11460,-9091.400000,0.201965
11480,-9218.600000,0.200806
11500,-9355.400000,0.210815
11520,-9478.400000,0.205078
11540,-9391.800000,0.207581
11560,-9371.200000,0.209167
11580,-9346.400000,0.208435
11600,-9273.000000,0.205200
11620,-9296.600000,0.203125
11640,-9367.800000,0.203430
11660,-9433.600000,0.203735
11680,-9474.200000,0.211426
11700,-9420.400000,0.215576
11720,-9376.600000,0.210754
11740,-9616.000000,0.207153
11760,-9541.400000,0.204102
11780,-9609.800000,0.212219
11800,-9618.400000,0.213379
11820,-9415.200000,0.213440
11840,-9414.200000,0.219666
11860,-9493.200000,0.207458
11880,-9527.800000,0.212158
11900,-9583.200000,0.202759
11920,-9723.400000,0.214355
11940,-9531.600000,0.213867
11960,-9690.600000,0.211548
11980,-9641.400000,0.211914
