# Ensemble size: 10, Sample period: 20, Burn in steps: 1000000, Samples: 1000
# L = 32, Lz = 8, T = 1.571, Jz = 0.1000
step,H,delta^2
1000000,-15138.240000,0.765027
1000020,-15142.640000,0.766016
1000040,-15158.800000,0.767151
1000060,-15156.880000,0.766675
1000080,-15160.880000,0.767102
1000100,-15144.800000,0.767664
1000120,-15133.440000,0.767957
1000140,-15139.400000,0.767175
1000160,-15156.560000,0.769177
1000180,-15153.440000,0.770166
1000200,-15159.000000,0.769287
1000220,-15150.120000,0.769861
1000240,-15143.160000,0.769531
1000260,-15159.320000,0.769226
1000280,-15120.800000,0.768298
1000300,-15125.840000,0.767676
1000320,-15115.760000,0.767603
1000340,-15128.600000,0.768848
1000360,-15126.520000,0.767712
1000380,-15129.920000,0.766492
1000400,-15130.560000,0.766858
1000420,-15136.320000,0.767004
1000440,-15154.920000,0.768213
1000460,-15144.840000,0.766113
1000480,-15151.360000,0.766931
1000500,-15130.400000,0.766870
1000520,-15128.960000,0.766809
1000540,-15110.000000,0.765161
1000560,-15132.200000,0.765442
1000580,-15117.240000,0.765356
1000600,-15113.040000,0.764978
1000620,-15126.800000,0.766077
1000640,-15138.320000,0.766394
1000660,-15110.640000,0.766052
1000680,-15088.240000,0.764648
1000700,-15101.360000,0.764392
1000720,-15125.000000,0.765662
1000740,-15145.480000,0.765747
1000760,-15162.200000,0.767053
1000780,-15165.080000,0.767102
1000800,-15168.000000,0.767712
1000820,-15164.440000,0.767920
1000840,-15175.200000,0.767261
1000860,-15166.600000,0.766858
1000880,-15163.560000,0.767664
1000900,-15148.240000,0.766748
1000920,-15163.640000,0.766797
1000940,-15162.280000,0.766370
1000960,-15171.600000,0.766968
1000980,-15164.440000,0.767163
1001000,-15142.640000,0.766589
1001020,-15132.920000,0.765833
1001040,-15144.600000,0.766272
1001060,-15170.120000,0.766028
1001080,-15138.760000,0.765186
1001100,-15130.080000,0.765466
1001120,-15133.120000,0.764844
1001140,-15127.880000,0.764429
1001160,-15132.160000,0.764783
1001180,-15145.600000,0.765295
1001200,-15158.360000,0.766223
1001220,-15146.200000,0.765637
1001240,-15136.120000,0.766370
1001260,-15152.840000,0.766455
1001280,-15154.920000,0.766797
1001300,-15135.600000,0.766455
1001320,-15159.680000,0.766919
1001340,-15151.440000,0.766992
1001360,-15155.720000,0.766101
1001380,-15147.720000,0.765845
1001400,-15143.200000,0.765332
1001420,-15146.720000,0.765906
1001440,-15149.200000,0.766736
1001460,-15126.320000,0.766650
1001480,-15131.800000,0.764783
1001500,-15136.880000,0.765125
1001520,-15149.800000,0.764673
1001540,-15162.480000,0.764392
1001560,-15175.760000,0.764502
1001580,-15180.240000,0.764697
1001600,-15168.120000,0.765686
1001620,-15158.240000,0.765234
1001640,-15155.440000,0.764893
1001660,-15149.680000,0.765430
1001680,-15169.000000,0.766870
1001700,-15135.360000,0.765588
1001720,-15124.960000,0.766882
1001740,-15138.680000,0.766870
1001760,-15145.800000,0.766431
1001780,-15164.480000,0.768762
1001800,-15157.840000,0.767810
1001820,-15172.240000,0.768787
1001840,-15151.640000,0.766553
1001860,-15168.720000,0.767126
1001880,-15180.000000,0.766797
1001900,-15148.680000,0.766467
1001920,-15158.720000,0.767395
1001940,-15151.120000,0.767712
1001960,-15143.640000,0.766992
1001980,-15147.240000,0.766602
1002000,-15149.760000,0.767188
1002020,-15143.440000,0.766455
1002040,-15136.000000,0.765576
1002060,-15145.040000,0.766943
1002080,-15157.600000,0.767676
1002100,-15142.640000,0.768335
1002120,-15164.600000,0.768738
1002140,-15154.480000,0.768970
1002160,-15172.480000,0.769360
1002180,-15167.040000,0.768701
1002200,-15176.200000,0.769287
1002220,-15159.280000,0.768689
1002240,-15147.680000,0.767505
1002260,-15172.640000,0.768176
1002280,-15170.840000,0.769141
1002300,-15135.880000,0.768420
1002320,-15170.200000,0.769409
1002340,-15156.240000,0.768945
1002360,-15160.840000,0.769543
1002380,-15148.480000,0.770447
1002400,-15139.240000,0.769543
1002420,-15153.720000,0.770447
1002440,-15175.040000,0.772449
1002460,-15188.760000,0.772607
1002480,-15170.360000,0.771912
1002500,-15170.960000,0.770947
1002520,-15168.600000,0.770972
1002540,-15181.600000,0.770520
1002560,-15149.280000,0.769324
1002580,-15146.200000,0.769617
1002600,-15158.800000,0.769531
1002620,-15155.360000,0.768921
1002640,-15133.520000,0.768616
1002660,-15134.000000,0.768567
1002680,-15155.400000,0.769849
1002700,-15137.160000,0.768347
1002720,-15113.600000,0.767163
1002740,-15109.560000,0.766785
1002760,-15102.560000,0.767236
1002780,-15105.480000,0.767920
1002800,-15113.920000,0.768237
1002820,-15100.920000,0.767188
1002840,-15114.760000,0.767749
1002860,-15105.360000,0.767700
1002880,-15106.640000,0.767773
1002900,-15092.000000,0.766064
1002920,-15106.400000,0.766797
1002940,-15131.080000,0.767664
1002960,-15135.040000,0.767957
1002980,-15143.200000,0.767847
1003000,-15128.440000,0.768018
1003020,-15137.920000,0.768567
1003040,-15151.000000,0.770056
1003060,-15106.320000,0.768445
1003080,-15132.720000,0.770190
1003100,-15143.760000,0.769910
1003120,-15123.000000,0.768689
1003140,-15117.160000,0.767554
1003160,-15128.480000,0.768787
1003180,-15127.720000,0.769470
1003200,-15103.320000,0.767810
1003220,-15101.000000,0.767261
1003240,-15100.400000,0.768152
1003260,-15099.000000,0.767065
1003280,-15128.840000,0.768201
1003300,-15119.720000,0.769165
1003320,-15106.320000,0.768738
1003340,-15119.320000,0.768921
1003360,-15118.040000,0.769678
1003380,-15144.800000,0.771143
1003400,-15128.160000,0.770093
1003420,-15130.720000,0.770459
1003440,-15124.680000,0.770471
1003460,-15123.680000,0.771240
1003480,-15126.360000,0.771472
1003500,-15117.160000,0.770288
1003520,-15123.520000,0.770508
1003540,-15116.760000,0.769946
1003560,-15132.560000,0.769812
1003580,-15147.240000,0.769702
1003600,-15155.960000,0.770190
1003620,-15154.640000,0.770007
1003640,-15151.160000,0.770654
1003660,-15165.240000,0.770605
1003680,-15190.360000,0.771851
1003700,-15182.480000,0.772119
1003720,-15175.600000,0.772571
1003740,-15168.880000,0.773132
1003760,-15165.760000,0.773730
1003780,-15165.240000,0.773474
1003800,-15134.840000,0.772888
1003820,-15135.120000,0.772290
1003840,-15137.320000,0.773755
1003860,-15151.600000,0.773730
1003880,-15155.800000,0.772839
1003900,-15162.480000,0.774487
1003920,-15149.200000,0.774866
1003940,-15155.480000,0.774146
1003960,-15156.200000,0.773877
1003980,-15141.680000,0.774573
1004000,-15164.280000,0.775720
1004020,-15129.160000,0.774316
1004040,-15152.200000,0.774707
1004060,-15152.320000,0.774817
1004080,-15155.880000,0.775439
1004100,-15142.160000,0.774780
1004120,-15149.560000,0.774243
1004140,-15141.000000,0.774060
1004160,-15147.080000,0.774316
1004180,-15146.200000,0.772937
1004200,-15162.280000,0.775159
1004220,-15147.520000,0.773840
1004240,-15139.760000,0.774329
1004260,-15132.560000,0.774841
1004280,-15135.360000,0.775146
1004300,-15144.040000,0.776465
1004320,-15125.680000,0.774707
1004340,-15142.800000,0.776147
1004360,-15159.480000,0.776257
1004380,-15117.600000,0.775049
1004400,-15112.880000,0.774146
1004420,-15131.320000,0.775964
1004440,-15133.120000,0.776489
1004460,-15142.240000,0.776086
1004480,-15142.280000,0.775989
1004500,-15131.200000,0.775342
1004520,-15145.200000,0.775964
1004540,-15159.920000,0.775439
1004560,-15141.120000,0.774915
1004580,-15136.320000,0.774768
1004600,-15141.720000,0.775061
1004620,-15147.600000,0.775549
1004640,-15152.800000,0.775366
1004660,-15155.080000,0.775061
1004680,-15139.800000,0.775720
1004700,-15150.160000,0.775989
1004720,-15142.520000,0.775513
1004740,-15166.280000,0.775757
1004760,-15145.040000,0.775464
1004780,-15145.440000,0.775330
1004800,-15118.200000,0.774573
1004820,-15146.080000,0.774719
1004840,-15147.120000,0.774792
1004860,-15158.440000,0.776721
1004880,-15144.280000,0.775598
1004900,-15142.280000,0.776624
1004920,-15149.360000,0.776587
1004940,-15162.720000,0.776160
1004960,-15163.120000,0.775281
1004980,-15143.880000,0.774097
1005000,-15140.040000,0.772729
1005020,-15154.080000,0.773840
1005040,-15159.200000,0.774084
1005060,-15161.200000,0.774670
1005080,-15137.000000,0.774084
1005100,-15137.480000,0.772461
1005120,-15147.840000,0.773145
1005140,-15157.960000,0.774011
