# Ensemble size: 1, Sample period: 20, Burn in steps: 100000, Samples: 100
# L = 32, Lz = 8, T = 2.000, Jz = 0.1000
step,H,delta^2
100000,-14009.600000,0.754761
100020,-14006.400000,0.756958
100040,-14047.600000,0.764893
100060,-13996.000000,0.758423
100080,-14197.600000,0.763794
100100,-14158.400000,0.756226
100120,-14202.800000,0.757568
100140,-14114.400000,0.753296
100160,-14004.400000,0.744507
100180,-13994.400000,0.744385
100200,-13936.000000,0.742920
100220,-13938.000000,0.744507
100240,-13976.400000,0.748901
100260,-13955.200000,0.750610
100280,-13959.200000,0.750732
100300,-13928.000000,0.747803
100320,-13885.200000,0.745483
100340,-14010.400000,0.753784
100360,-13994.000000,0.750854
100380,-14032.800000,0.758057
100400,-14056.000000,0.764038
100420,-13944.400000,0.761230
100440,-13974.000000,0.762451
100460,-13894.400000,0.757812
100480,-13892.400000,0.753296
100500,-14028.800000,0.770264
100520,-14042.000000,0.768433
100540,-13994.800000,0.762329
100560,-14050.000000,0.763916
100580,-14140.000000,0.762451
100600,-14059.600000,0.754517
100620,-14053.600000,0.757812
100640,-14022.800000,0.754395
100660,-13950.000000,0.751099
100680,-13879.200000,0.747437
100700,-13888.400000,0.756836
100720,-13905.600000,0.752319
100740,-13956.000000,0.751465
100760,-14057.200000,0.758057
100780,-14060.400000,0.753540
100800,-14148.800000,0.754517
100820,-14114.400000,0.757935
100840,-14151.200000,0.764771
100860,-13995.200000,0.753906
100880,-14166.000000,0.757080
100900,-14202.400000,0.760376
100920,-14108.400000,0.762817
100940,-14155.200000,0.762573
100960,-14232.400000,0.765137
100980,-14262.800000,0.770752
101000,-14220.400000,0.766357
101020,-14111.200000,0.764526
101040,-14037.200000,0.765991
101060,-14228.800000,0.770996
101080,-14198.400000,0.763184
101100,-14036.000000,0.759277
101120,-14058.400000,0.751709
101140,-14131.200000,0.755371
101160,-13902.000000,0.745361
101180,-13872.000000,0.736938
101200,-13999.200000,0.746704
101220,-14092.000000,0.748169
101240,-14072.800000,0.754517
101260,-14028.400000,0.752197
101280,-14103.600000,0.754150
101300,-14058.400000,0.752441
101320,-13951.200000,0.750732
101340,-13902.800000,0.749023
101360,-14066.800000,0.757446
101380,-14077.600000,0.751465
101400,-14068.400000,0.749146
101420,-13981.200000,0.752808
101440,-13952.800000,0.746460
101460,-13850.400000,0.740112
101480,-13912.400000,0.740479
101500,-13906.400000,0.738647
101520,-13862.400000,0.742310
101540,-13942.400000,0.742188
101560,-14114.800000,0.745728
101580,-14023.200000,0.739868
101600,-13952.400000,0.736328
101620,-13930.000000,0.740112
101640,-14025.600000,0.742188
101660,-14062.000000,0.742798
101680,-13944.000000,0.745361
101700,-14004.400000,0.744507
101720,-13940.400000,0.743652
101740,-14150.400000,0.744629
101760,-13970.800000,0.738403
101780,-13974.000000,0.738647
101800,-13932.400000,0.733398
101820,-14022.000000,0.736816
101840,-13950.000000,0.739746
101860,-13937.600000,0.738403
101880,-13982.000000,0.739624
101900,-14066.800000,0.741455
101920,-14098.000000,0.742432
101940,-14012.800000,0.738159
101960,-13958.000000,0.734863
101980,-13867.600000,0.736206
