# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 1.735, Jz = 0.1000
step,H,delta^2
100000,-14455.840000,0.627539
100020,-14438.080000,0.628088
100040,-14469.800000,0.628418
100060,-14496.280000,0.629993
100080,-14496.400000,0.630640
100100,-14495.440000,0.630884
100120,-14469.120000,0.629553
100140,-14472.760000,0.629700
100160,-14439.560000,0.626892
100180,-14465.800000,0.628442
100200,-14459.200000,0.628467
100220,-14439.640000,0.629773
100240,-14439.840000,0.628479
100260,-14438.760000,0.628369
100280,-14464.600000,0.629639
100300,-14443.160000,0.629150
100320,-14481.560000,0.630737
100340,-14495.520000,0.631860
100360,-14519.920000,0.631445
100380,-14525.080000,0.631726
100400,-14501.480000,0.628967
100420,-14512.600000,0.630920
100440,-14500.880000,0.630444
100460,-14503.640000,0.629749
100480,-14481.520000,0.630872
100500,-14499.160000,0.631897
100520,-14448.520000,0.632385
100540,-14457.160000,0.630334
100560,-14489.240000,0.633069
100580,-14485.840000,0.633606
100600,-14495.440000,0.633289
100620,-14493.720000,0.633801
100640,-14521.120000,0.632837
100660,-14503.520000,0.633484
100680,-14528.760000,0.634729
100700,-14501.160000,0.635449
100720,-14486.080000,0.634131
100740,-14467.480000,0.632800
100760,-14468.680000,0.632153
100780,-14479.400000,0.633960
100800,-14489.200000,0.635010
100820,-14502.000000,0.635486
100840,-14518.720000,0.636047
100860,-14524.200000,0.635901
100880,-14521.600000,0.636938
100900,-14504.960000,0.635388
100920,-14511.400000,0.635034
100940,-14501.440000,0.636462
100960,-14507.200000,0.637170
100980,-14502.520000,0.637146
101000,-14510.680000,0.638562
101020,-14510.320000,0.637012
101040,-14511.680000,0.636682
101060,-14520.240000,0.637439
101080,-14504.160000,0.636792
101100,-14483.120000,0.636279
101120,-14510.440000,0.636658
101140,-14476.720000,0.636584
101160,-14491.280000,0.634753
101180,-14463.120000,0.633289
101200,-14485.640000,0.634387
101220,-14478.200000,0.635156
101240,-14455.440000,0.632776
101260,-14443.680000,0.633252
101280,-14476.920000,0.635498
101300,-14465.920000,0.633948
101320,-14470.800000,0.635144
101340,-14477.920000,0.635291
101360,-14471.480000,0.636646
101380,-14484.120000,0.636609
101400,-14505.280000,0.637036
101420,-14519.560000,0.636865
101440,-14491.600000,0.635986
101460,-14514.200000,0.636487
101480,-14556.160000,0.638037
101500,-14552.840000,0.637659
101520,-14509.840000,0.636609
101540,-14509.720000,0.635901
101560,-14483.240000,0.637183
101580,-14508.040000,0.638330
101600,-14513.880000,0.637622
101620,-14506.440000,0.637622
101640,-14507.000000,0.639514
101660,-14513.320000,0.638562
101680,-14513.560000,0.637244
101700,-14522.800000,0.636731
101720,-14516.720000,0.637341
101740,-14497.600000,0.637122
101760,-14497.520000,0.635925
101780,-14498.680000,0.634668
101800,-14490.280000,0.634863
101820,-14494.720000,0.633704
101840,-14473.600000,0.631958
101860,-14512.880000,0.632214
101880,-14519.520000,0.633362
101900,-14524.160000,0.632788
101920,-14514.280000,0.632056
101940,-14524.680000,0.631250
101960,-14517.160000,0.632385
101980,-14509.920000,0.631763
102000,-14482.360000,0.630774
102020,-14461.320000,0.630896
102040,-14458.840000,0.630176
102060,-14466.280000,0.629565
102080,-14461.200000,0.630164
102100,-14479.960000,0.630676
102120,-14467.680000,0.630786
102140,-14486.280000,0.631177
102160,-14473.720000,0.630481
102180,-14479.800000,0.631189
102200,-14466.480000,0.631726
102220,-14474.200000,0.630786
102240,-14477.880000,0.632800
102260,-14476.640000,0.633679
102280,-14494.360000,0.634021
102300,-14527.680000,0.634961
102320,-14487.360000,0.633069
102340,-14518.320000,0.635022
102360,-14460.640000,0.631873
102380,-14476.400000,0.632483
102400,-14504.160000,0.634277
102420,-14506.720000,0.633447
102440,-14493.960000,0.633105
102460,-14491.920000,0.634180
102480,-14499.520000,0.634985
102500,-14504.920000,0.635046
102520,-14497.840000,0.634998
102540,-14496.920000,0.635400
102560,-14482.960000,0.635510
102580,-14493.480000,0.634766
102600,-14490.760000,0.634192
102620,-14491.680000,0.634558
102640,-14487.840000,0.635266
102660,-14491.240000,0.634839
102680,-14491.960000,0.635010
102700,-14486.960000,0.633374
102720,-14514.520000,0.634961
102740,-14498.480000,0.636145
102760,-14470.360000,0.634973
102780,-14451.880000,0.632886
102800,-14441.120000,0.633911
102820,-14460.760000,0.634314
102840,-14472.760000,0.634912
102860,-14493.240000,0.635413
102880,-14487.960000,0.636780
102900,-14494.040000,0.637695
102920,-14510.600000,0.636609
102940,-14524.520000,0.638318
102960,-14494.200000,0.637671
102980,-14495.600000,0.636963
103000,-14504.600000,0.636560
103020,-14502.960000,0.636279
103040,-14540.720000,0.637671
103060,-14545.320000,0.638525
103080,-14535.080000,0.636987
103100,-14532.720000,0.638843
103120,-14543.800000,0.639001
103140,-14534.120000,0.640125
103160,-14533.160000,0.638977
103180,-14521.880000,0.637842
103200,-14566.520000,0.639172
103220,-14565.560000,0.638477
103240,-14546.600000,0.638428
103260,-14515.800000,0.635974
103280,-14473.240000,0.633374
103300,-14508.280000,0.634631
103320,-14500.120000,0.634180
103340,-14494.600000,0.633911
103360,-14514.920000,0.635339
103380,-14498.960000,0.634607
103400,-14510.560000,0.635254
103420,-14502.640000,0.634607
103440,-14532.000000,0.637268
103460,-14539.480000,0.637476
103480,-14493.760000,0.636035
103500,-14505.640000,0.635327
103520,-14513.320000,0.633960
103540,-14507.840000,0.634521
103560,-14516.800000,0.634558
103580,-14518.720000,0.635596
103600,-14531.920000,0.636511
103620,-14511.400000,0.635107
103640,-14481.000000,0.634509
103660,-14488.960000,0.634216
103680,-14509.120000,0.635925
103700,-14487.920000,0.633728
103720,-14477.840000,0.634521
103740,-14494.920000,0.636462
103760,-14505.080000,0.637598
103780,-14470.720000,0.637061
103800,-14483.160000,0.636938
103820,-14467.400000,0.636523
103840,-14468.240000,0.636682
103860,-14497.480000,0.637671
103880,-14471.600000,0.635632
103900,-14491.160000,0.637646
103920,-14508.160000,0.636731
103940,-14489.120000,0.636316
103960,-14456.680000,0.634424
103980,-14466.040000,0.635815
104000,-14465.680000,0.633789
104020,-14448.600000,0.634106
104040,-14466.760000,0.634790
104060,-14445.120000,0.634827
104080,-14443.680000,0.633557
104100,-14455.920000,0.633130
104120,-14427.000000,0.634692
104140,-14467.680000,0.633936
104160,-14472.400000,0.633313
104180,-14445.280000,0.633862
104200,-14467.080000,0.634863
104220,-14479.680000,0.636145
104240,-14498.800000,0.636536
104260,-14492.680000,0.637585
104280,-14509.520000,0.637756
104300,-14497.200000,0.637354
104320,-14491.840000,0.639368
104340,-14484.040000,0.640015
104360,-14514.240000,0.641309
104380,-14499.320000,0.639709
104400,-14514.600000,0.641943
104420,-14514.920000,0.642090
104440,-14494.600000,0.640796
104460,-14504.640000,0.641675
104480,-14475.920000,0.640662
104500,-14461.800000,0.640686
104520,-14464.520000,0.639844
104540,-14459.640000,0.639648
104560,-14472.200000,0.640076
104580,-14443.880000,0.639673
104600,-14460.360000,0.639014
104620,-14453.400000,0.637671
104640,-14453.080000,0.639380
104660,-14483.200000,0.642480
104680,-14494.880000,0.642004
104700,-14504.000000,0.642957
104720,-14509.400000,0.643054
104740,-14469.120000,0.643054
104760,-14483.520000,0.643848
104780,-14493.440000,0.643835
104800,-14506.160000,0.645642
104820,-14506.800000,0.645508
104840,-14483.720000,0.643774
104860,-14532.920000,0.643921
