# Ensemble size: 2, Sample period: 20, Burn in steps: 10000, Samples: 100
# L = 32, Lz = 8, T = 2.321, Jz = 0.1000
step,H,delta^2
10000,-10847.400000,0.323425
10020,-11010.600000,0.330322
10040,-11077.000000,0.333923
10060,-11023.800000,0.336731
10080,-11000.400000,0.335083
10100,-11025.200000,0.331055
10120,-11132.400000,0.331360
10140,-11003.200000,0.331421
10160,-11072.600000,0.329773
10180,-11049.400000,0.333740
10200,-10995.400000,0.332947
10220,-11036.200000,0.341064
10240,-11061.400000,0.342163
10260,-11064.800000,0.342102
10280,-11089.200000,0.328491
10300,-10977.400000,0.335266
10320,-11194.400000,0.336060
10340,-11169.200000,0.333984
10360,-10994.400000,0.331665
10380,-11037.400000,0.334656
10400,-11109.600000,0.334106
10420,-11104.600000,0.334961
10440,-11149.400000,0.330811
10460,-11063.000000,0.331299
10480,-11075.800000,0.328674
10500,-10971.600000,0.326965
10520,-11137.400000,0.326477
10540,-11144.600000,0.323181
10560,-11040.600000,0.321594
10580,-11080.400000,0.319946
10600,-11001.400000,0.322510
10620,-11097.200000,0.326904
10640,-11143.200000,0.321960
10660,-11141.200000,0.328369
10680,-11086.600000,0.331055
10700,-11025.000000,0.328247
10720,-10933.800000,0.321716
10740,-10884.000000,0.322815
10760,-10994.600000,0.320007
10780,-10984.400000,0.323914
10800,-11032.200000,0.329102
10820,-11035.200000,0.328613
10840,-11049.200000,0.330505
10860,-11115.800000,0.337769
10880,-11095.600000,0.334351
10900,-11171.800000,0.340454
10920,-11253.800000,0.338745
10940,-11212.000000,0.342957
10960,-11132.600000,0.336853
10980,-11141.800000,0.340637
11000,-11097.200000,0.327576
11020,-11024.200000,0.329041
11040,-11111.200000,0.324890
11060,-11146.600000,0.327148
11080,-11246.600000,0.333435
11100,-11231.800000,0.334473
11120,-11145.200000,0.340393
11140,-11187.000000,0.336182
11160,-11290.200000,0.338623
11180,-11254.800000,0.340088
11200,-11117.000000,0.336914
11220,-11292.800000,0.340637
11240,-11233.800000,0.334167
11260,-11206.000000,0.332458
11280,-11309.600000,0.335266
11300,-11315.600000,0.333130
11320,-11273.200000,0.339417
11340,-11232.600000,0.333008
11360,-11099.200000,0.329651
11380,-11298.400000,0.330627
11400,-11187.200000,0.323853
11420,-11233.000000,0.330933
11440,-11166.800000,0.332520
11460,-11075.200000,0.325439
11480,-11135.200000,0.336182
11500,-11230.600000,0.336609
11520,-11214.400000,0.330994
11540,-11190.400000,0.330261
11560,-11083.400000,0.324463
11580,-11215.200000,0.327271
11600,-11193.800000,0.328003
11620,-11180.600000,0.334595
11640,-11053.000000,0.333801
11660,-11216.400000,0.336304
11680,-11170.200000,0.336182
11700,-11112.600000,0.339294
11720,-11191.600000,0.340881
11740,-11108.600000,0.340332
11760,-11088.200000,0.342712
11780,-10991.600000,0.342590
11800,-11161.200000,0.341797
11820,-11003.600000,0.342163
11840,-10946.000000,0.338135
11860,-11014.800000,0.338135
11880,-11054.400000,0.337036
11900,-11061.800000,0.342163
11920,-11101.400000,0.338257
11940,-11082.800000,0.339600
11960,-11058.600000,0.338074
11980,-11090.400000,0.340637
