# Ensemble size: 2, Sample period: 20, Burn in steps: 10000, Samples: 100
# L = 32, Lz = 8, T = 2.696, Jz = 0.1000
step,H,delta^2
10000,-8633.000000,0.210571
10020,-8603.400000,0.215088
10040,-8572.000000,0.204773
10060,-8513.800000,0.210327
10080,-8661.200000,0.210876
10100,-8621.000000,0.204468
10120,-8650.400000,0.210327
10140,-8576.600000,0.205200
10160,-8501.800000,0.204590
10180,-8517.600000,0.208557
10200,-8577.600000,0.213867
10220,-8525.800000,0.204041
10240,-8449.200000,0.201965
10260,-8529.600000,0.207825
10280,-8499.800000,0.206970
10300,-8542.200000,0.207031
10320,-8527.400000,0.211182
10340,-8535.600000,0.206116
10360,-8387.800000,0.205994
10380,-8521.400000,0.205261
10400,-8542.000000,0.212280
10420,-8588.600000,0.212280
10440,-8664.200000,0.210388
10460,-8599.200000,0.209717
10480,-8609.600000,0.206238
10500,-8557.800000,0.206055
10520,-8505.800000,0.202698
10540,-8542.800000,0.206909
10560,-8431.200000,0.204712
10580,-8449.200000,0.207825
10600,-8590.000000,0.217712
10620,-8620.400000,0.208069
10640,-8490.400000,0.205078
10660,-8630.200000,0.214172
10680,-8559.800000,0.220337
10700,-8526.000000,0.212952
10720,-8686.800000,0.203857
10740,-8459.600000,0.209656
10760,-8448.000000,0.209839
10780,-8584.800000,0.207153
10800,-8594.000000,0.208984
10820,-8548.800000,0.209717
10840,-8480.200000,0.197937
10860,-8468.600000,0.195679
10880,-8573.200000,0.197937
10900,-8660.600000,0.201721
10920,-8538.200000,0.200439
10940,-8613.600000,0.203857
10960,-8641.800000,0.202148
10980,-8744.200000,0.209412
11000,-8681.400000,0.207581
11020,-8513.800000,0.203979
11040,-8827.400000,0.210754
11060,-8888.400000,0.206726
11080,-8917.600000,0.205750
11100,-8678.200000,0.204956
11120,-8692.200000,0.203308
11140,-8677.400000,0.204163
11160,-8693.400000,0.204102
11180,-8784.800000,0.202271
11200,-8713.800000,0.203430
11220,-8499.200000,0.197876
11240,-8421.000000,0.195557
11260,-8620.400000,0.196655
11280,-8667.400000,0.196533
11300,-8807.600000,0.196838
11320,-8652.600000,0.198181
11340,-8585.600000,0.190857
11360,-8486.800000,0.190430
11380,-8685.600000,0.192139
11400,-8630.600000,0.199341
11420,-8595.400000,0.198792
11440,-8608.400000,0.203369
11460,-8510.600000,0.197327
11480,-8565.800000,0.199280
11500,-8606.000000,0.200500
11520,-8587.000000,0.202148
11540,-8570.200000,0.197998
11560,-8678.200000,0.194397
11580,-8678.000000,0.195740
11600,-8562.800000,0.193298
11620,-8541.400000,0.195435
11640,-8501.400000,0.192932
11660,-8526.600000,0.194092
11680,-8322.000000,0.195312
11700,-8413.600000,0.200073
11720,-8489.200000,0.191223
11740,-8456.000000,0.191345
11760,-8418.400000,0.198608
11780,-8464.200000,0.197632
11800,-8444.000000,0.197571
11820,-8382.600000,0.187683
11840,-8426.600000,0.193665
11860,-8335.000000,0.187866
11880,-8383.200000,0.186340
11900,-8159.000000,0.176941
11920,-8400.200000,0.185608
11940,-8352.200000,0.179138
11960,-8285.600000,0.183960
11980,-8261.600000,0.187744
