# Ensemble size: 1, Sample period: 20, Burn in steps: 100000, Samples: 100
# L = 32, Lz = 8, T = 2.268, Jz = 0.1000
step,H,delta^2
100000,-12317.600000,0.598145
100020,-12235.600000,0.596680
100040,-12274.800000,0.591187
100060,-12312.400000,0.595825
100080,-12222.400000,0.600830
100100,-12154.400000,0.602905
100120,-12258.400000,0.600952
100140,-12432.000000,0.613525
100160,-12300.000000,0.617065
100180,-12325.600000,0.619629
100200,-12446.000000,0.623291
100220,-12289.200000,0.613037
100240,-12389.200000,0.611816
100260,-12480.000000,0.619141
100280,-12615.200000,0.630249
100300,-12501.600000,0.624878
100320,-12556.000000,0.629517
100340,-12476.800000,0.621948
100360,-12584.400000,0.631470
100380,-12564.400000,0.628052
100400,-12454.000000,0.630127
100420,-12520.800000,0.629761
100440,-12499.200000,0.627197
100460,-12396.000000,0.624390
100480,-12421.200000,0.624023
100500,-12415.200000,0.619995
100520,-12321.600000,0.615845
100540,-12592.400000,0.622070
100560,-12444.000000,0.615845
100580,-12332.000000,0.609985
100600,-12469.200000,0.618774
100620,-12423.200000,0.620483
100640,-12535.200000,0.617554
100660,-12372.400000,0.619263
100680,-12382.800000,0.619751
100700,-12368.400000,0.626465
100720,-12429.600000,0.622681
100740,-12459.200000,0.621826
100760,-12313.200000,0.616577
100780,-12386.400000,0.619385
100800,-12272.400000,0.615601
100820,-12332.800000,0.619873
100840,-12578.800000,0.632812
100860,-12564.400000,0.636597
100880,-12414.400000,0.630127
100900,-12528.800000,0.633301
100920,-12458.000000,0.632080
100940,-12352.000000,0.630127
100960,-12528.000000,0.632324
100980,-12460.400000,0.625854
101000,-12445.200000,0.632080
101020,-12459.200000,0.620361
101040,-12504.800000,0.632324
101060,-12500.000000,0.632202
101080,-12502.800000,0.636841
101100,-12448.800000,0.635498
101120,-12509.200000,0.635742
101140,-12584.400000,0.639771
101160,-12508.000000,0.637695
101180,-12608.800000,0.636353
101200,-12565.600000,0.641235
101220,-12749.200000,0.644043
101240,-12833.200000,0.648682
101260,-12784.000000,0.646240
101280,-12798.800000,0.639038
101300,-12637.200000,0.644897
101320,-12671.200000,0.642822
101340,-12710.000000,0.647461
101360,-12740.400000,0.649780
101380,-12731.200000,0.646973
101400,-12780.800000,0.647827
101420,-12648.000000,0.649048
101440,-12715.200000,0.649170
101460,-12768.800000,0.654053
101480,-12653.200000,0.648560
101500,-12544.800000,0.642578
101520,-12669.200000,0.646606
101540,-12680.800000,0.650513
101560,-12905.600000,0.656982
101580,-12833.600000,0.662842
101600,-12843.200000,0.669189
101620,-12691.600000,0.651733
101640,-12581.200000,0.648682
101660,-12602.400000,0.644165
101680,-12356.000000,0.642944
101700,-12322.000000,0.631226
101720,-12425.600000,0.630249
101740,-12588.800000,0.634766
101760,-12562.800000,0.636353
101780,-12423.200000,0.624756
101800,-12389.600000,0.628662
101820,-12374.000000,0.622314
101840,-12237.200000,0.617676
101860,-12207.600000,0.611694
101880,-12221.200000,0.609741
101900,-12186.800000,0.615723
101920,-12125.600000,0.604492
101940,-12270.000000,0.605103
101960,-12246.000000,0.604248
101980,-12392.400000,0.611572
