# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 1.500, Jz = 0.1000
step,H,H^2
0,-27.520000,5237.664000,
75,-1927.440000,3716345.456000,
150,-2103.920000,4430303.184000,
225,-2208.520000,4880638.816000,
300,-2278.120000,5192415.552000,
375,-2315.320000,5363780.048000,
450,-2354.920000,5549242.016000,
525,-2400.960000,5766903.968000,
600,-2446.240000,5985202.432000,
675,-2476.600000,6135558.560000,
750,-2500.520000,6252986.800000,
825,-2492.040000,6211428.880000,
900,-2500.280000,6252712.304000,
975,-2529.600000,6399930.096000,
1050,-2539.520000,6450832.912000,
1125,-2557.440000,6542407.648000,
1200,-2571.240000,6612200.496000,
1275,-2566.000000,6586673.392000,
1350,-2585.520000,6686014.480000,
1425,-2609.960000,6813655.744000,
1500,-2610.960000,6818718.656000,
1575,-2630.440000,6921258.912000,
1650,-2653.840000,7044833.600000,
1725,-2669.600000,7129143.696000,
1800,-2674.600000,7156584.912000,
1875,-2678.080000,7175129.984000,
1950,-2676.280000,7164130.880000,
2025,-2689.000000,7233938.080000,
2100,-2689.840000,7239068.736000,
2175,-2709.520000,7344343.072000,
2250,-2699.360000,7287583.136000,
2325,-2721.080000,7407767.408000,
2400,-2742.880000,7527940.912000,
2475,-2744.200000,7534134.176000,
2550,-2752.640000,7581669.792000,
2625,-2747.640000,7555119.440000,
2700,-2736.480000,7493283.024000,
2775,-2757.640000,7608376.144000,
2850,-2758.480000,7612344.016000,
2925,-2752.720000,7581826.608000,
3000,-2772.440000,7689449.184000,
3075,-2758.400000,7611862.080000,
3150,-2781.360000,7738787.456000,
3225,-2764.160000,7645242.624000,
3300,-2790.080000,7788593.504000,
3375,-2804.560000,7866823.920000,
3450,-2780.400000,7732241.760000,
3525,-2800.000000,7842398.592000,
3600,-2785.000000,7757798.896000,
3675,-2803.880000,7867679.680000,
3750,-2803.840000,7866620.176000,
3825,-2787.360000,7773934.784000,
3900,-2809.040000,7893952.944000,
3975,-2805.320000,7874723.440000,
4050,-2796.280000,7822275.008000,
4125,-2797.280000,7828582.688000,
4200,-2808.560000,7891941.552000,
4275,-2825.400000,7986492.736000,
4350,-2819.920000,7955485.168000,
4425,-2834.160000,8037162.800000,
4500,-2822.240000,7969277.760000,
4575,-2830.480000,8018082.128000,
4650,-2800.880000,7850977.776000,
4725,-2832.240000,8025323.888000,
4800,-2839.280000,8064278.384000,
4875,-2840.840000,8076733.216000,
4950,-2874.680000,8266809.344000,
5025,-2869.800000,8239856.048000,
5100,-2859.440000,8180872.432000,
5175,-2866.680000,8221372.672000,
5250,-2870.760000,8246803.824000,
5325,-2850.960000,8130257.568000,
5400,-2873.440000,8260154.512000,
5475,-2881.000000,8304835.776000,
5550,-2870.120000,8244893.360000,
5625,-2864.840000,8212744.720000,
5700,-2872.360000,8256684.144000,
5775,-2886.720000,8338440.032000,
5850,-2882.840000,8319499.360000,
5925,-2882.360000,8317383.504000,
6000,-2889.920000,8354637.696000,
6075,-2909.240000,8467776.736000,
6150,-2906.840000,8457553.664000,
6225,-2898.840000,8408900.800000,
6300,-2906.880000,8454545.632000,
6375,-2890.360000,8360326.992000,
6450,-2906.560000,8453330.512000,
6525,-2899.520000,8413819.728000,
6600,-2910.040000,8472721.872000,
6675,-2907.880000,8461339.872000,
6750,-2914.120000,8495107.952000,
6825,-2939.440000,8644475.056000,
6900,-2934.400000,8613494.112000,
6975,-2952.080000,8719141.984000,
7050,-2945.280000,8681438.880000,
7125,-2959.280000,8764744.768000,
7200,-2943.360000,8672232.960000,
7275,-2964.560000,8797588.912000,
7350,-2955.080000,8739262.912000,
7425,-2959.040000,8760404.768000,
7500,-2965.240000,8797208.752000,
7575,-2966.600000,8805949.232000,
7650,-2980.920000,8891383.328000,
7725,-2966.360000,8805888.976000,
7800,-2955.800000,8744362.816000,
7875,-2946.320000,8686784.720000,
7950,-2955.960000,8744846.480000,
8025,-2955.640000,8741303.984000,
8100,-2980.960000,8893110.032000,
8175,-2985.040000,8915519.840000,
8250,-2983.920000,8906751.664000,
8325,-2984.120000,8911716.560000,
8400,-2976.000000,8864298.160000,
8475,-2988.920000,8940961.568000,
8550,-2965.320000,8798159.248000,
8625,-2988.040000,8936063.328000,
8700,-2984.160000,8911069.008000,
8775,-2975.000000,8856621.456000,
8850,-2979.640000,8884467.616000,
8925,-2974.200000,8855507.104000,
9000,-2995.000000,8978099.872000,
9075,-2999.080000,8999111.168000,
9150,-3008.520000,9057083.680000,
9225,-3017.680000,9111646.016000,
9300,-2993.920000,8968521.728000,
9375,-3003.560000,9027514.208000,
9450,-2988.800000,8937330.608000,
9525,-2992.200000,8957069.696000,
9600,-2985.600000,8920074.240000,
9675,-3003.320000,9025136.416000,
9750,-2990.560000,8949056.352000,
9825,-3013.440000,9085780.960000,
9900,-3004.120000,9028369.408000,
9975,-2989.560000,8940126.640000,
10050,-2995.400000,8978623.520000,
10125,-3000.360000,9007198.896000,
10200,-3004.040000,9027428.016000,
10275,-3004.040000,9029624.384000,
10350,-3011.320000,9072527.328000,
10425,-3007.560000,9047339.632000,
10500,-3009.200000,9058067.440000,
10575,-3020.520000,9129720.112000,
10650,-3004.680000,9032341.744000,
10725,-3021.000000,9130459.600000,
10800,-3016.360000,9102943.456000,
10875,-3010.400000,9067238.480000,
10950,-3016.400000,9103434.592000,
11025,-3023.200000,9146507.488000,
11100,-3051.520000,9315588.032000,
11175,-3026.240000,9160963.008000,
11250,-3041.760000,9257307.568000,
11325,-3041.320000,9253638.640000,
11400,-3040.440000,9247662.704000,
11475,-3053.200000,9328626.928000,
11550,-3021.960000,9136741.584000,
11625,-3048.080000,9295835.120000,
11700,-3039.080000,9239849.216000,
11775,-3048.760000,9300228.608000,
11850,-3022.480000,9138850.496000,
11925,-3023.600000,9145933.968000,
12000,-3046.480000,9284609.680000,
12075,-3027.160000,9168253.888000,
12150,-3032.120000,9198512.256000,
12225,-3060.080000,9369053.168000,
12300,-3049.080000,9302037.968000,
12375,-3045.960000,9282267.424000,
12450,-3051.440000,9316486.976000,
12525,-3063.560000,9389399.312000,
12600,-3080.400000,9492433.808000,
12675,-3053.000000,9324178.128000,
12750,-3062.840000,9385267.424000,
12825,-3056.400000,9343998.272000,
