# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 1.625, Jz = 0.1000
step,H,H^2
0,-10.820000,5478.644000,
75,-1871.460000,3504424.868000,
150,-2061.100000,4250284.628000,
225,-2163.860000,4685715.988000,
300,-2235.740000,5000384.260000,
375,-2296.140000,5274378.724000,
450,-2325.580000,5413209.876000,
525,-2345.180000,5504429.028000,
600,-2392.820000,5730309.076000,
675,-2415.740000,5837939.780000,
750,-2453.060000,6019787.476000,
825,-2458.540000,6045903.732000,
900,-2479.460000,6149887.556000,
975,-2506.380000,6284031.812000,
1050,-2486.100000,6183872.004000,
1125,-2531.100000,6409797.156000,
1200,-2525.980000,6382706.452000,
1275,-2540.140000,6453397.780000,
1350,-2575.740000,6636949.748000,
1425,-2587.620000,6698029.428000,
1500,-2583.940000,6677980.500000,
1575,-2572.940000,6622202.660000,
1650,-2619.460000,6863004.100000,
1725,-2628.500000,6910858.052000,
1800,-2653.740000,7043928.612000,
1875,-2630.780000,6923908.708000,
1950,-2640.660000,6978858.884000,
2025,-2653.780000,7045159.764000,
2100,-2636.460000,6953966.756000,
2175,-2639.740000,6971604.804000,
2250,-2665.300000,7110630.148000,
2325,-2668.860000,7125391.636000,
2400,-2694.580000,7264760.260000,
2475,-2720.140000,7401784.516000,
2550,-2718.580000,7392256.980000,
2625,-2714.260000,7369843.012000,
2700,-2702.900000,7310078.980000,
2775,-2705.820000,7325022.100000,
2850,-2708.820000,7339797.732000,
2925,-2724.660000,7427683.572000,
3000,-2729.700000,7455844.116000,
3075,-2718.340000,7393608.116000,
3150,-2742.500000,7524650.916000,
3225,-2722.340000,7414884.212000,
3300,-2727.780000,7444500.228000,
3375,-2755.660000,7598207.908000,
3450,-2764.700000,7644931.796000,
3525,-2779.180000,7728430.644000,
3600,-2759.940000,7623900.404000,
3675,-2763.700000,7641812.900000,
3750,-2791.940000,7798498.628000,
3825,-2780.340000,7737712.548000,
3900,-2774.980000,7704997.140000,
3975,-2791.900000,7796963.940000,
4050,-2803.420000,7862981.300000,
4125,-2797.460000,7829391.428000,
4200,-2800.340000,7845415.156000,
4275,-2793.140000,7804728.676000,
4350,-2799.780000,7841731.892000,
4425,-2817.940000,7944319.220000,
4500,-2806.860000,7881742.068000,
4575,-2797.180000,7830460.500000,
4650,-2806.300000,7882650.564000,
4725,-2813.980000,7924044.916000,
4800,-2817.940000,7946554.964000,
4875,-2824.820000,7982864.500000,
4950,-2821.420000,7961593.892000,
