# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 2.250, Jz = 0.1000
step,H,H^2
0,-14.480000,1798.552000,
75,-1655.160000,2743027.144000,
150,-1779.120000,3168545.032000,
225,-1848.520000,3420041.752000,
300,-1895.840000,3600120.712000,
375,-1938.240000,3761189.288000,
450,-1965.600000,3868822.312000,
525,-1949.960000,3806706.968000,
600,-1985.160000,3944479.000000,
675,-1974.560000,3905800.776000,
750,-2067.400000,4277345.016000,
825,-2040.160000,4167541.560000,
900,-2059.640000,4246356.264000,
975,-2122.560000,4509274.408000,
1050,-2099.600000,4409757.928000,
1125,-2151.360000,4630631.768000,
1200,-2120.760000,4500756.952000,
1275,-2114.880000,4478141.624000,
1350,-2124.800000,4518436.104000,
1425,-2124.520000,4518223.912000,
1500,-2144.400000,4606352.776000,
1575,-2149.360000,4625299.336000,
1650,-2138.880000,4582363.848000,
1725,-2134.400000,4563291.432000,
1800,-2166.480000,4697922.648000,
1875,-2154.680000,4644374.296000,
1950,-2167.320000,4706206.888000,
2025,-2163.560000,4683532.008000,
2100,-2179.080000,4752190.296000,
2175,-2214.200000,4914449.896000,
2250,-2164.080000,4692936.568000,
2325,-2203.760000,4862090.440000,
2400,-2153.240000,4642899.848000,
2475,-2182.480000,4768689.624000,
2550,-2161.760000,4675349.944000,
2625,-2167.320000,4699896.696000,
2700,-2205.040000,4862912.920000,
2775,-2192.880000,4812976.472000,
2850,-2182.000000,4770680.536000,
2925,-2186.080000,4783927.192000,
3000,-2201.560000,4854449.560000,
3075,-2181.840000,4770025.976000,
3150,-2178.600000,4750946.136000,
3225,-2169.200000,4714127.224000,
3300,-2216.880000,4920430.024000,
3375,-2234.040000,4998370.168000,
3450,-2241.400000,5028028.760000,
3525,-2241.280000,5031580.152000,
3600,-2253.360000,5082253.432000,
3675,-2231.200000,4980849.624000,
3750,-2248.120000,5065039.032000,
3825,-2254.640000,5087275.832000,
3900,-2221.960000,4938412.632000,
3975,-2243.160000,5034820.840000,
4050,-2268.160000,5151112.616000,
4125,-2272.920000,5171607.144000,
4200,-2245.520000,5049712.120000,
4275,-2222.520000,4944602.872000,
4350,-2273.920000,5180993.112000,
4425,-2313.120000,5356176.488000,
4500,-2305.400000,5316698.840000,
4575,-2283.080000,5216504.536000,
4650,-2310.360000,5345084.568000,
4725,-2275.200000,5183858.872000,
4800,-2273.880000,5174826.792000,
4875,-2279.240000,5198273.240000,
4950,-2265.320000,5133776.120000,
5025,-2252.880000,5080826.696000,
5100,-2304.560000,5316545.608000,
5175,-2271.800000,5164234.248000,
5250,-2325.480000,5412731.864000,
5325,-2316.880000,5369424.568000,
5400,-2299.400000,5293212.856000,
5475,-2287.800000,5241171.976000,
5550,-2275.520000,5181558.584000,
5625,-2268.200000,5152592.104000,
5700,-2298.080000,5294379.032000,
5775,-2271.120000,5163577.848000,
5850,-2271.000000,5161832.136000,
5925,-2278.040000,5200405.544000,
6000,-2268.160000,5152886.680000,
6075,-2325.520000,5415713.832000,
6150,-2325.360000,5413374.808000,
6225,-2342.320000,5502505.800000,
6300,-2317.200000,5384682.120000,
6375,-2310.400000,5346347.992000,
6450,-2300.120000,5299166.936000,
6525,-2325.320000,5415945.752000,
6600,-2301.680000,5300997.032000,
6675,-2307.400000,5328677.640000,
6750,-2278.520000,5193611.448000,
6825,-2318.160000,5382858.520000,
6900,-2296.320000,5276167.704000,
6975,-2300.480000,5302523.544000,
7050,-2302.280000,5306186.792000,
7125,-2321.200000,5391550.488000,
7200,-2339.800000,5476787.240000,
7275,-2342.760000,5494151.032000,
7350,-2365.160000,5600938.088000,
7425,-2374.720000,5647123.416000,
7500,-2356.160000,5558008.504000,
7575,-2372.720000,5631848.984000,
7650,-2375.880000,5657721.560000,
7725,-2352.760000,5545029.704000,
7800,-2356.440000,5560857.896000,
7875,-2304.920000,5323381.032000,
7950,-2369.680000,5626252.200000,
8025,-2417.920000,5857682.776000,
8100,-2403.960000,5787052.680000,
8175,-2381.080000,5678546.008000,
8250,-2408.240000,5806444.968000,
8325,-2393.440000,5739888.408000,
8400,-2369.680000,5625313.992000,
8475,-2341.960000,5497922.632000,
8550,-2381.800000,5685472.968000,
8625,-2403.920000,5795479.752000,
8700,-2380.800000,5683226.408000,
8775,-2400.920000,5779223.816000,
8850,-2372.440000,5635535.224000,
8925,-2391.160000,5725713.384000,
9000,-2417.880000,5855091.976000,
9075,-2402.080000,5776848.712000,
9150,-2425.960000,5894313.512000,
9225,-2418.400000,5857137.496000,
9300,-2409.360000,5813331.512000,
9375,-2412.880000,5829669.224000,
9450,-2418.600000,5854889.032000,
9525,-2408.120000,5805266.808000,
9600,-2392.320000,5729300.104000,
9675,-2387.640000,5719236.408000,
9750,-2397.160000,5755323.976000,
9825,-2365.760000,5607734.680000,
9900,-2401.200000,5772438.904000,
9975,-2390.920000,5727229.720000,
10050,-2381.640000,5676263.128000,
10125,-2425.560000,5888175.400000,
10200,-2423.520000,5884028.760000,
10275,-2410.240000,5811673.208000,
10350,-2418.480000,5854044.376000,
10425,-2413.760000,5829311.992000,
10500,-2400.360000,5765096.488000,
10575,-2407.160000,5800957.288000,
10650,-2414.760000,5834536.680000,
10725,-2406.080000,5796482.792000,
10800,-2396.800000,5751351.464000,
10875,-2410.000000,5814961.080000,
10950,-2382.760000,5686722.616000,
11025,-2426.600000,5898549.432000,
11100,-2429.440000,5910677.224000,
11175,-2398.600000,5761845.576000,
11250,-2409.320000,5816494.232000,
11325,-2435.240000,5938828.152000,
11400,-2429.280000,5907795.704000,
11475,-2376.400000,5654991.208000,
11550,-2387.280000,5705010.456000,
11625,-2428.280000,5905080.312000,
11700,-2451.280000,6012183.512000,
11775,-2428.360000,5901177.208000,
11850,-2432.160000,5920780.680000,
11925,-2398.040000,5759481.192000,
12000,-2423.120000,5875532.744000,
12075,-2413.720000,5834713.944000,
12150,-2398.400000,5758936.536000,
12225,-2413.720000,5830431.608000,
12300,-2415.960000,5846050.296000,
12375,-2380.080000,5670474.344000,
12450,-2385.280000,5696940.216000,
12525,-2412.400000,5831586.216000,
12600,-2372.920000,5639423.544000,
12675,-2398.600000,5758489.752000,
