# Ensemble size: 1, Steps: 10000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 1.500, Jz = 0.1000
step,H,H^2,delta^2,
6800,-2899.600000,8407680.160000,0.214873,
6850,-2910.800000,8472756.640000,0.212920,
6900,-2844.000000,8088336.000000,0.218780,
6950,-2898.800000,8403041.440000,0.212432,
7000,-2896.800000,8391450.240000,0.219756,
7050,-2916.800000,8507722.240000,0.224639,
7100,-2881.200000,8301313.440000,0.227569,
7150,-2879.600000,8292096.160000,0.234405,
7200,-2867.200000,8220835.840000,0.239287,
7250,-2912.000000,8479744.000000,0.227569,
7300,-2930.800000,8589588.640000,0.228545,
7350,-2836.800000,8047434.240000,0.233916,
7400,-2784.000000,7750656.000000,0.227080,
7450,-2895.600000,8384499.360000,0.230498,
7500,-2898.000000,8398404.000000,0.233916,
7550,-2952.000000,8714304.000000,0.235869,
7600,-2917.600000,8512389.760000,0.227080,
7650,-2940.800000,8648304.640000,0.224151,
7700,-2926.000000,8561476.000000,0.226592,
7750,-2850.000000,8122500.000000,0.240264,
7800,-2908.800000,8461117.440000,0.233428,
7850,-2888.000000,8340544.000000,0.238311,
7900,-2971.600000,8830406.560000,0.226104,
7950,-2941.600000,8653010.560000,0.216338,
8000,-2900.800000,8414640.640000,0.204619,
8050,-2919.600000,8524064.160000,0.194854,
8100,-2894.000000,8375236.000000,0.193389,
8150,-2974.000000,8844676.000000,0.198760,
8200,-2916.000000,8503056.000000,0.188994,
8250,-2932.400000,8598969.760000,0.196807,
8300,-2928.000000,8573184.000000,0.189971,
8350,-2932.800000,8601315.840000,0.188018,
8400,-2983.600000,8901868.960000,0.191436,
8450,-2946.400000,8681272.960000,0.182647,
8500,-2978.800000,8873249.440000,0.192412,
8550,-2915.200000,8498391.040000,0.193389,
8600,-2940.800000,8648304.640000,0.206084,
8650,-2943.600000,8664780.960000,0.200713,
8700,-2958.400000,8752130.560000,0.191436,
8750,-2963.200000,8780554.240000,0.200713,
8800,-2929.200000,8580212.640000,0.193389,
8850,-2947.200000,8685987.840000,0.193877,
8900,-2941.200000,8650657.440000,0.191924,
8950,-2932.400000,8598969.760000,0.189971,
9000,-2924.800000,8554455.040000,0.185576,
9050,-2846.400000,8101992.960000,0.186065,
9100,-2896.000000,8386816.000000,0.190948,
9150,-2897.200000,8393767.840000,0.191924,
9200,-2939.600000,8641248.160000,0.189483,
9250,-2864.800000,8207079.040000,0.199737,
9300,-2843.200000,8083786.240000,0.186553,
9350,-2885.200000,8324379.040000,0.185088,
9400,-2946.000000,8678916.000000,0.196319,
9450,-2930.800000,8589588.640000,0.191436,
9500,-2936.000000,8620096.000000,0.189483,
9550,-2892.000000,8363664.000000,0.201201,
9600,-2879.600000,8292096.160000,0.188994,
9650,-2914.400000,8493727.360000,0.187041,
9700,-2902.800000,8426247.840000,0.195342,
9750,-2885.200000,8324379.040000,0.189483,
9800,-2883.600000,8315148.960000,0.188994,
9850,-2914.000000,8491396.000000,0.191924,
9900,-2881.200000,8301313.440000,0.184600,
9950,-2906.000000,8444836.000000,0.184600,
