# Ensemble size: 100, Steps: 100000, Burn in steps: 0, Samples: 100
step,H,H^2
0,0.360000,507.400000,
1000,-115.440000,13863.480000,
2000,-114.780000,13795.600000,
3000,-112.600000,13424.320000,
4000,-114.800000,13804.840000,
5000,-115.540000,13962.400000,
6000,-114.080000,13597.560000,
7000,-113.800000,13573.400000,
8000,-116.600000,14334.160000,
9000,-119.040000,14696.240000,
10000,-111.580000,13128.200000,
11000,-114.880000,14037.560000,
12000,-115.040000,13851.880000,
13000,-115.700000,14000.880000,
14000,-113.340000,13459.840000,
15000,-116.620000,14325.560000,
16000,-112.840000,13244.880000,
17000,-113.260000,13551.840000,
18000,-113.660000,13379.200000,
19000,-113.500000,13617.840000,
20000,-113.460000,13538.680000,
21000,-112.720000,13309.800000,
22000,-112.500000,13369.000000,
23000,-112.640000,13291.160000,
24000,-113.720000,13460.320000,
25000,-114.380000,13768.400000,
26000,-116.440000,14132.880000,
27000,-116.600000,14198.160000,
28000,-117.500000,14521.680000,
29000,-112.520000,13409.280000,
30000,-116.460000,14214.080000,
31000,-117.600000,14460.080000,
32000,-117.720000,14494.080000,
33000,-116.280000,14068.560000,
34000,-113.100000,13400.280000,
35000,-116.440000,14258.320000,
36000,-114.320000,13714.640000,
37000,-115.500000,14027.520000,
38000,-116.200000,14148.360000,
39000,-111.680000,13309.520000,
40000,-112.860000,13210.040000,
41000,-112.580000,13467.200000,
42000,-117.160000,14339.160000,
43000,-116.660000,14239.120000,
44000,-111.660000,13034.080000,
45000,-114.920000,13745.960000,
46000,-115.020000,13880.600000,
47000,-113.260000,13645.400000,
48000,-115.780000,14202.600000,
49000,-108.440000,12392.560000,
50000,-119.000000,14725.120000,
51000,-112.060000,13027.880000,
52000,-112.860000,13261.280000,
53000,-114.120000,13479.000000,
54000,-119.660000,14886.440000,
55000,-114.080000,13520.200000,
56000,-111.560000,13130.640000,
57000,-113.980000,13622.840000,
58000,-115.380000,13964.360000,
59000,-113.500000,13647.320000,
60000,-115.260000,13843.520000,
61000,-118.140000,14444.880000,
62000,-114.240000,13817.720000,
63000,-115.100000,13814.360000,
64000,-110.940000,13031.640000,
65000,-116.380000,14060.000000,
66000,-118.680000,14754.320000,
67000,-118.280000,14546.720000,
68000,-113.100000,13581.240000,
69000,-113.660000,13550.680000,
70000,-114.220000,13590.920000,
71000,-112.800000,13263.920000,
72000,-117.840000,14498.480000,
73000,-112.620000,13211.600000,
74000,-116.080000,14221.760000,
75000,-120.480000,15019.440000,
76000,-110.960000,13103.920000,
77000,-117.280000,14348.400000,
78000,-112.800000,13437.200000,
79000,-116.400000,14137.680000,
80000,-121.940000,15706.320000,
81000,-114.020000,13695.160000,
82000,-117.720000,14512.400000,
83000,-111.100000,12877.640000,
84000,-118.340000,14569.920000,
85000,-117.640000,14371.440000,
86000,-115.340000,13898.120000,
87000,-112.120000,13347.400000,
88000,-114.460000,13828.000000,
89000,-112.580000,13246.640000,
90000,-113.380000,13442.480000,
91000,-111.960000,13044.520000,
92000,-115.900000,14061.720000,
93000,-115.620000,13972.560000,
94000,-117.960000,14581.200000,
95000,-111.500000,13130.480000,
96000,-114.440000,13697.880000,
97000,-114.140000,13515.040000,
98000,-117.980000,14548.840000,
99000,-116.940000,14282.040000,
