# Ensemble size: 5, Steps: 10000, Burn in steps: 0, Samples: 100
step,H,H^2
0,11.800000,1079.800000,
100,-240.600000,58319.800000,
200,-260.600000,68122.200000,
300,-277.800000,77578.200000,
400,-285.800000,81924.600000,
500,-299.400000,89816.600000,
600,-310.200000,96380.600000,
700,-315.000000,99427.800000,
800,-317.000000,100632.600000,
900,-321.400000,103526.200000,
1000,-329.400000,108590.200000,
1100,-325.400000,106061.400000,
1200,-325.000000,105775.000000,
1300,-325.800000,106374.200000,
1400,-325.800000,106380.600000,
1500,-330.200000,109271.000000,
1600,-332.200000,110807.800000,
1700,-331.000000,109869.400000,
1800,-327.400000,107862.200000,
1900,-325.000000,106564.600000,
2000,-328.200000,108199.000000,
2100,-339.400000,115594.200000,
2200,-348.600000,121835.000000,
2300,-349.800000,122722.200000,
2400,-349.400000,122281.400000,
2500,-353.800000,125544.600000,
2600,-350.200000,123067.800000,
2700,-353.800000,125681.400000,
2800,-359.000000,129147.800000,
2900,-360.200000,130006.200000,
3000,-361.000000,130526.200000,
3100,-362.600000,131639.800000,
3200,-365.800000,133923.800000,
3300,-359.800000,129671.800000,
3400,-363.400000,132279.000000,
3500,-360.200000,129829.400000,
3600,-365.800000,133959.800000,
3700,-367.800000,135386.200000,
3800,-368.600000,136079.000000,
3900,-369.400000,136635.800000,
4000,-371.400000,138182.200000,
4100,-371.400000,138316.600000,
4200,-372.600000,139114.200000,
4300,-373.400000,139960.600000,
4400,-372.200000,138939.800000,
4500,-369.400000,136978.200000,
4600,-374.200000,140413.400000,
4700,-379.000000,143847.000000,
4800,-380.200000,144874.200000,
4900,-375.800000,141639.000000,
5000,-379.400000,144323.000000,
5100,-381.000000,145740.600000,
5200,-389.000000,151726.200000,
5300,-383.800000,147899.000000,
5400,-380.600000,145229.400000,
5500,-379.400000,144755.800000,
5600,-385.800000,149301.400000,
5700,-379.400000,144649.400000,
5800,-379.800000,144637.400000,
5900,-385.000000,148716.600000,
6000,-387.400000,150572.600000,
6100,-382.600000,146759.000000,
6200,-381.800000,146464.600000,
6300,-390.200000,152857.400000,
6400,-387.000000,150194.200000,
6500,-385.000000,149088.600000,
6600,-386.200000,149720.600000,
6700,-383.800000,147732.600000,
6800,-386.200000,149749.400000,
6900,-386.600000,150060.600000,
7000,-387.000000,150235.000000,
7100,-386.600000,150104.600000,
7200,-378.600000,143816.600000,
7300,-380.600000,145513.400000,
7400,-382.600000,147346.200000,
7500,-387.000000,150347.800000,
7600,-389.000000,152035.800000,
7700,-390.200000,152849.400000,
7800,-388.600000,151691.800000,
7900,-392.600000,154721.400000,
8000,-392.600000,154810.200000,
8100,-395.000000,156615.800000,
8200,-395.400000,157093.400000,
8300,-395.000000,156382.200000,
8400,-396.200000,157623.000000,
8500,-392.600000,154717.400000,
8600,-390.600000,153349.400000,
8700,-392.200000,154348.600000,
8800,-396.600000,157778.200000,
8900,-391.000000,153541.400000,
9000,-393.400000,155570.200000,
9100,-390.200000,152843.800000,
9200,-397.400000,158468.600000,
9300,-398.600000,159462.200000,
9400,-395.000000,156687.000000,
9500,-392.600000,154947.000000,
9600,-392.600000,154767.800000,
9700,-391.400000,153839.000000,
9800,-389.800000,152582.200000,
9900,-390.600000,153457.400000,
