# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 1.490, Jz = 0.5000
step,H,delta^2
100000,-17819.800000,0.905200
100020,-17817.200000,0.904395
100040,-17821.800000,0.903882
100060,-17817.000000,0.904822
100080,-17849.800000,0.906128
100100,-17849.600000,0.906482
100120,-17851.800000,0.905945
100140,-17858.600000,0.906042
100160,-17836.200000,0.906091
100180,-17828.800000,0.906348
100200,-17830.600000,0.907190
100220,-17834.600000,0.906604
100240,-17829.600000,0.905579
100260,-17825.800000,0.905237
100280,-17818.400000,0.905591
100300,-17822.600000,0.905273
100320,-17808.600000,0.904382
100340,-17801.400000,0.903906
100360,-17836.200000,0.905139
100380,-17833.400000,0.905188
100400,-17837.000000,0.905200
100420,-17852.600000,0.905676
100440,-17839.000000,0.904956
100460,-17824.800000,0.903894
100480,-17832.600000,0.904187
100500,-17829.600000,0.904346
100520,-17829.000000,0.903882
100540,-17826.200000,0.904993
100560,-17833.600000,0.904687
100580,-17818.800000,0.903711
100600,-17816.400000,0.903564
100620,-17829.000000,0.904236
100640,-17837.000000,0.904419
100660,-17834.400000,0.904785
100680,-17834.000000,0.904358
100700,-17825.200000,0.904187
100720,-17826.800000,0.904639
100740,-17831.000000,0.904761
100760,-17823.200000,0.904785
100780,-17852.400000,0.906091
100800,-17848.800000,0.906335
100820,-17858.200000,0.907080
100840,-17868.400000,0.906519
100860,-17858.600000,0.905554
100880,-17833.800000,0.903955
100900,-17830.400000,0.903662
100920,-17859.000000,0.905042
100940,-17838.200000,0.904529
100960,-17832.600000,0.904077
100980,-17842.600000,0.904639
101000,-17835.600000,0.904639
101020,-17846.800000,0.905164
101040,-17852.000000,0.906030
101060,-17836.400000,0.905273
101080,-17859.800000,0.905688
101100,-17879.400000,0.907458
101120,-17868.400000,0.906836
101140,-17838.200000,0.905371
101160,-17857.000000,0.906287
101180,-17859.200000,0.906238
101200,-17849.400000,0.906177
101220,-17856.000000,0.906982
101240,-17836.000000,0.905945
101260,-17831.800000,0.905469
101280,-17853.600000,0.906848
101300,-17844.800000,0.906079
101320,-17840.200000,0.905054
101340,-17847.000000,0.905664
101360,-17843.600000,0.905444
101380,-17855.000000,0.906201
101400,-17850.200000,0.905872
101420,-17863.800000,0.905872
101440,-17864.600000,0.906531
101460,-17852.200000,0.905518
101480,-17840.600000,0.904272
101500,-17834.600000,0.903687
101520,-17837.200000,0.904895
101540,-17860.000000,0.906213
101560,-17855.600000,0.906018
101580,-17871.400000,0.905884
101600,-17849.200000,0.904236
101620,-17846.600000,0.904785
101640,-17846.000000,0.904126
101660,-17854.400000,0.904272
101680,-17848.400000,0.904822
101700,-17834.200000,0.903357
101720,-17842.200000,0.903882
101740,-17840.600000,0.903320
101760,-17832.600000,0.903320
101780,-17830.600000,0.902637
101800,-17834.200000,0.903125
101820,-17834.000000,0.903284
101840,-17836.600000,0.904065
101860,-17833.800000,0.904224
101880,-17841.800000,0.904651
101900,-17854.800000,0.905884
101920,-17844.400000,0.904797
101940,-17841.000000,0.904004
101960,-17826.000000,0.903369
101980,-17829.200000,0.903223
102000,-17824.800000,0.902954
102020,-17803.000000,0.902197
102040,-17841.600000,0.903833
102060,-17829.600000,0.903833
102080,-17826.800000,0.903296
102100,-17835.600000,0.903418
102120,-17823.400000,0.903210
102140,-17836.000000,0.904138
102160,-17844.200000,0.904602
102180,-17843.200000,0.904224
102200,-17845.600000,0.904846
102220,-17858.800000,0.904834
102240,-17851.600000,0.903577
102260,-17861.000000,0.904492
102280,-17838.000000,0.903174
102300,-17834.200000,0.902808
102320,-17833.000000,0.902380
102340,-17811.600000,0.901221
102360,-17820.200000,0.902405
102380,-17833.600000,0.903455
102400,-17849.800000,0.904224
102420,-17840.400000,0.903430
102440,-17828.400000,0.903699
102460,-17828.200000,0.903735
102480,-17830.200000,0.903064
102500,-17845.200000,0.903967
102520,-17834.200000,0.903381
102540,-17816.400000,0.902600
102560,-17821.200000,0.903076
102580,-17822.000000,0.903101
102600,-17833.200000,0.903735
102620,-17838.800000,0.903284
102640,-17836.600000,0.902600
102660,-17861.400000,0.904041
102680,-17838.600000,0.902820
102700,-17838.800000,0.902820
102720,-17859.000000,0.904150
102740,-17835.200000,0.903906
102760,-17825.600000,0.902612
102780,-17823.400000,0.901819
102800,-17837.800000,0.902588
102820,-17827.600000,0.901819
102840,-17826.000000,0.901721
102860,-17822.400000,0.901501
102880,-17806.000000,0.900879
102900,-17846.800000,0.902954
102920,-17848.200000,0.903259
102940,-17846.600000,0.902698
102960,-17843.600000,0.902368
102980,-17849.400000,0.902478
103000,-17829.000000,0.901904
103020,-17834.000000,0.902454
103040,-17832.800000,0.902002
103060,-17821.000000,0.901477
103080,-17836.000000,0.903723
103100,-17839.800000,0.902991
103120,-17830.400000,0.902075
103140,-17839.800000,0.902478
103160,-17853.600000,0.903271
103180,-17837.400000,0.902283
103200,-17839.600000,0.902380
103220,-17842.800000,0.902539
103240,-17827.600000,0.902161
103260,-17857.000000,0.903589
103280,-17812.800000,0.901550
103300,-17815.200000,0.900696
103320,-17797.200000,0.900183
103340,-17833.000000,0.901257
103360,-17839.800000,0.900684
103380,-17823.600000,0.899487
103400,-17831.000000,0.900098
103420,-17829.200000,0.900244
103440,-17819.400000,0.899500
103460,-17828.400000,0.899670
103480,-17825.800000,0.899939
103500,-17820.800000,0.899939
103520,-17834.800000,0.901111
103540,-17833.000000,0.900830
103560,-17821.800000,0.899878
103580,-17845.800000,0.901868
103600,-17823.000000,0.901086
103620,-17832.600000,0.901172
103640,-17815.200000,0.900378
103660,-17850.400000,0.901746
103680,-17828.200000,0.900928
103700,-17814.000000,0.900769
103720,-17839.800000,0.901831
103740,-17811.600000,0.900171
103760,-17828.000000,0.902209
103780,-17832.800000,0.902466
103800,-17829.000000,0.902344
103820,-17844.400000,0.903943
103840,-17858.400000,0.904810
103860,-17858.600000,0.904736
103880,-17841.400000,0.903674
103900,-17839.600000,0.903979
103920,-17843.400000,0.903687
103940,-17834.200000,0.902539
103960,-17845.000000,0.902832
103980,-17838.400000,0.902747
104000,-17852.600000,0.903198
104020,-17847.000000,0.903711
104040,-17852.400000,0.903662
104060,-17854.200000,0.903967
104080,-17845.400000,0.903223
104100,-17855.000000,0.903650
104120,-17865.400000,0.903882
104140,-17856.400000,0.903064
104160,-17860.200000,0.903284
104180,-17870.200000,0.903149
104200,-17877.400000,0.903503
104220,-17877.800000,0.903320
104240,-17862.400000,0.902612
104260,-17844.400000,0.901636
104280,-17863.200000,0.901965
104300,-17858.400000,0.901953
104320,-17834.600000,0.901526
104340,-17855.000000,0.902307
104360,-17854.200000,0.902576
104380,-17865.400000,0.902759
104400,-17840.200000,0.901379
104420,-17851.000000,0.902527
104440,-17826.600000,0.901416
104460,-17834.000000,0.901379
104480,-17841.800000,0.901489
104500,-17848.600000,0.902893
104520,-17837.000000,0.902246
104540,-17855.200000,0.902771
104560,-17853.800000,0.902283
104580,-17837.800000,0.901587
104600,-17847.400000,0.901965
104620,-17845.400000,0.901575
104640,-17844.400000,0.902051
104660,-17845.400000,0.901477
104680,-17839.000000,0.901746
104700,-17856.400000,0.902661
104720,-17824.000000,0.900696
104740,-17841.400000,0.902185
104760,-17837.600000,0.902625
104780,-17842.800000,0.903040
104800,-17821.600000,0.902136
104820,-17840.000000,0.903931
104840,-17826.600000,0.903088
104860,-17842.400000,0.904236
104880,-17850.000000,0.905334
104900,-17854.000000,0.904858
104920,-17855.600000,0.904419
104940,-17835.600000,0.903442
104960,-17862.600000,0.903967
104980,-17854.600000,0.903162
105000,-17855.800000,0.903357
105020,-17862.200000,0.903699
105040,-17859.000000,0.903577
105060,-17874.000000,0.904993
105080,-17845.200000,0.903381
105100,-17871.000000,0.904492
105120,-17857.200000,0.903857
105140,-17839.600000,0.902222
105160,-17851.200000,0.903479
105180,-17849.400000,0.902930
105200,-17845.200000,0.902991
105220,-17862.400000,0.902551
105240,-17846.000000,0.903564
105260,-17835.400000,0.903125
105280,-17841.000000,0.902466
105300,-17832.000000,0.903308
105320,-17828.600000,0.902588
105340,-17830.400000,0.902393
105360,-17835.800000,0.902576
