# Ensemble size: 2, Sample period: 20, Burn in steps: 100000, Samples: 100
# L = 32, Lz = 8, T = 3.536, Jz = 0.5000
step,H,delta^2
100000,-8671.000000,0.352051
100020,-8902.000000,0.349426
100040,-8744.000000,0.344910
100060,-8769.000000,0.348022
100080,-8733.000000,0.347168
100100,-8627.000000,0.351868
100120,-8597.000000,0.363281
100140,-8880.000000,0.363892
100160,-8759.000000,0.359131
100180,-8787.000000,0.351807
100200,-8769.000000,0.348755
100220,-9009.000000,0.353882
100240,-8827.000000,0.354553
100260,-8869.000000,0.349182
100280,-8640.000000,0.347290
100300,-8647.000000,0.343872
100320,-8614.000000,0.344788
100340,-8696.000000,0.343201
100360,-8869.000000,0.354675
100380,-8922.000000,0.354919
100400,-8747.000000,0.347107
100420,-8655.000000,0.351929
100440,-8710.000000,0.346497
100460,-8597.000000,0.349609
100480,-8590.000000,0.346130
100500,-8731.000000,0.342712
100520,-8718.000000,0.343201
100540,-8830.000000,0.349792
100560,-8600.000000,0.349426
100580,-8565.000000,0.339783
100600,-8788.000000,0.352722
100620,-8659.000000,0.345947
100640,-8717.000000,0.346313
100660,-8804.000000,0.346985
100680,-8730.000000,0.346802
100700,-8795.000000,0.351807
100720,-8627.000000,0.354614
100740,-8909.000000,0.355042
100760,-8539.000000,0.341248
100780,-8729.000000,0.346863
100800,-8386.000000,0.348450
100820,-8358.000000,0.340088
100840,-8547.000000,0.350525
100860,-8575.000000,0.342651
100880,-8607.000000,0.351013
100900,-8631.000000,0.344116
100920,-8552.000000,0.347839
100940,-8524.000000,0.343750
100960,-8699.000000,0.346008
100980,-8562.000000,0.341553
101000,-8642.000000,0.347412
101020,-8759.000000,0.347717
101040,-8788.000000,0.345337
101060,-8760.000000,0.338623
101080,-8529.000000,0.336975
101100,-8685.000000,0.343933
101120,-8647.000000,0.341064
101140,-8544.000000,0.332397
101160,-8514.000000,0.332275
101180,-8583.000000,0.337524
101200,-8417.000000,0.340393
101220,-8398.000000,0.345459
101240,-8602.000000,0.344177
101260,-8433.000000,0.339783
101280,-8541.000000,0.339539
101300,-8580.000000,0.349609
101320,-8692.000000,0.346985
101340,-8864.000000,0.358948
101360,-8612.000000,0.348389
101380,-8441.000000,0.340454
101400,-8378.000000,0.343323
101420,-8518.000000,0.340942
101440,-8536.000000,0.340149
101460,-8654.000000,0.341553
101480,-8561.000000,0.340515
101500,-8518.000000,0.339905
101520,-8558.000000,0.334595
101540,-8369.000000,0.321106
101560,-8417.000000,0.317017
101580,-8237.000000,0.321228
101600,-8330.000000,0.326904
101620,-8268.000000,0.332581
101640,-8192.000000,0.335510
101660,-8488.000000,0.332275
101680,-8434.000000,0.337402
101700,-8404.000000,0.344604
101720,-8364.000000,0.337341
101740,-8611.000000,0.340332
101760,-8573.000000,0.348267
101780,-8556.000000,0.363281
101800,-8837.000000,0.364685
101820,-8796.000000,0.355957
101840,-8857.000000,0.354858
101860,-8739.000000,0.349609
101880,-8998.000000,0.361389
101900,-8991.000000,0.363342
101920,-9056.000000,0.366333
101940,-8946.000000,0.353821
101960,-8930.000000,0.364868
101980,-8710.000000,0.354065
