# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 2.469, Jz = 0.5000
step,H,delta^2
100000,-16094.400000,0.781445
100020,-16098.800000,0.779358
100040,-16127.200000,0.780249
100060,-16113.600000,0.781262
100080,-16136.600000,0.782629
100100,-16125.600000,0.781006
100120,-16064.600000,0.778491
100140,-16129.400000,0.781348
100160,-16168.600000,0.785498
100180,-16165.400000,0.786047
100200,-16151.400000,0.785535
100220,-16104.000000,0.785901
100240,-16111.800000,0.785388
100260,-16085.800000,0.783521
100280,-16091.800000,0.783301
100300,-16089.200000,0.780579
100320,-16052.200000,0.778625
100340,-16068.600000,0.781238
100360,-16100.000000,0.782983
100380,-16055.000000,0.781433
100400,-16113.000000,0.784839
100420,-16118.600000,0.784973
100440,-16185.800000,0.788501
100460,-16167.000000,0.787195
100480,-16148.400000,0.786157
100500,-16137.400000,0.784570
100520,-16124.200000,0.783337
100540,-16105.800000,0.786267
100560,-16128.600000,0.786145
100580,-16127.800000,0.788269
100600,-16140.600000,0.789221
100620,-16189.000000,0.789185
100640,-16202.200000,0.793103
100660,-16183.000000,0.791467
100680,-16161.600000,0.789587
100700,-16188.200000,0.787305
100720,-16217.800000,0.787634
100740,-16196.200000,0.789709
100760,-16227.800000,0.792468
100780,-16242.000000,0.792017
100800,-16225.600000,0.792651
100820,-16231.200000,0.791052
100840,-16215.800000,0.790515
100860,-16208.400000,0.790112
100880,-16181.200000,0.786560
100900,-16129.600000,0.782922
100920,-16131.800000,0.784790
100940,-16195.600000,0.788782
100960,-16170.600000,0.789856
100980,-16170.400000,0.789331
101000,-16172.400000,0.788464
101020,-16233.200000,0.792346
101040,-16159.800000,0.785156
101060,-16145.000000,0.785718
101080,-16158.400000,0.787024
101100,-16098.800000,0.782153
101120,-16131.800000,0.784692
101140,-16081.800000,0.781299
101160,-16118.200000,0.784631
101180,-16058.200000,0.782141
101200,-16068.600000,0.782288
101220,-16120.600000,0.785767
101240,-16106.200000,0.785962
101260,-16150.200000,0.786414
101280,-16093.200000,0.783704
101300,-16116.600000,0.785046
101320,-16115.600000,0.785999
101340,-16132.800000,0.787671
101360,-16107.200000,0.787427
101380,-16105.600000,0.785876
101400,-16140.400000,0.786926
101420,-16153.800000,0.787085
101440,-16123.600000,0.784790
101460,-16107.400000,0.785034
101480,-16135.200000,0.787122
101500,-16110.000000,0.786499
101520,-16143.600000,0.787012
101540,-16099.200000,0.783997
101560,-16125.800000,0.785217
101580,-16105.000000,0.785315
101600,-16089.000000,0.784338
101620,-16095.400000,0.782422
101640,-16072.800000,0.784253
101660,-16116.800000,0.785840
101680,-16145.800000,0.786975
101700,-16097.200000,0.784143
101720,-16115.800000,0.786353
101740,-16077.200000,0.783911
101760,-16084.200000,0.783704
101780,-16146.800000,0.786560
101800,-16086.000000,0.783643
101820,-16118.200000,0.784387
101840,-16114.600000,0.784497
101860,-16113.600000,0.783923
101880,-16116.200000,0.784863
101900,-16128.000000,0.781897
101920,-16146.200000,0.784790
101940,-16122.400000,0.783533
101960,-16172.200000,0.786316
101980,-16193.600000,0.786804
102000,-16180.800000,0.786926
102020,-16130.200000,0.785425
102040,-16182.000000,0.789441
102060,-16211.600000,0.790308
102080,-16139.200000,0.785730
102100,-16167.200000,0.785718
102120,-16112.200000,0.785217
102140,-16158.400000,0.785522
102160,-16190.000000,0.786670
102180,-16171.000000,0.785950
102200,-16127.200000,0.784216
102220,-16113.600000,0.784229
102240,-16120.000000,0.785120
102260,-16128.800000,0.784900
102280,-16146.600000,0.785913
102300,-16111.600000,0.783459
102320,-16133.600000,0.785217
102340,-16072.400000,0.782434
102360,-16136.800000,0.783130
102380,-16161.400000,0.784839
102400,-16224.400000,0.786755
102420,-16177.000000,0.785498
102440,-16233.800000,0.788098
102460,-16188.800000,0.788440
102480,-16229.000000,0.788965
102500,-16181.800000,0.787622
102520,-16165.800000,0.787207
102540,-16173.000000,0.786792
102560,-16170.800000,0.788538
102580,-16187.200000,0.787219
102600,-16213.000000,0.788354
102620,-16239.000000,0.789575
102640,-16231.200000,0.787854
102660,-16147.400000,0.786499
102680,-16201.000000,0.790051
102700,-16203.800000,0.790100
102720,-16192.000000,0.789404
102740,-16247.600000,0.791211
102760,-16228.000000,0.788708
102780,-16135.200000,0.785950
102800,-16112.400000,0.785242
102820,-16165.200000,0.787976
102840,-16136.600000,0.785779
102860,-16203.800000,0.787488
102880,-16138.200000,0.786694
102900,-16148.600000,0.786816
102920,-16164.600000,0.786548
102940,-16137.600000,0.784692
102960,-16149.600000,0.785413
102980,-16089.800000,0.784229
103000,-16099.200000,0.783875
103020,-16056.800000,0.782434
103040,-16105.800000,0.783472
103060,-16113.400000,0.784705
103080,-16160.000000,0.788049
103100,-16134.600000,0.785327
103120,-16076.200000,0.781714
103140,-16090.000000,0.783289
103160,-16130.400000,0.782581
103180,-16104.800000,0.783118
103200,-16135.000000,0.782043
103220,-16152.000000,0.785583
103240,-16142.000000,0.784912
103260,-16170.800000,0.785461
103280,-16163.000000,0.784985
103300,-16110.400000,0.781799
103320,-16169.600000,0.782703
103340,-16121.000000,0.783472
103360,-16156.200000,0.784790
103380,-16170.600000,0.785022
103400,-16161.200000,0.784827
103420,-16135.800000,0.784460
103440,-16148.200000,0.783936
103460,-16105.400000,0.781567
103480,-16084.400000,0.782935
103500,-16119.000000,0.784351
103520,-16102.400000,0.783630
103540,-16145.000000,0.783667
103560,-16157.200000,0.785168
103580,-16106.200000,0.783423
103600,-16108.200000,0.782373
103620,-16085.800000,0.783325
103640,-16067.600000,0.781836
103660,-16097.000000,0.784399
103680,-16111.600000,0.786157
103700,-16031.400000,0.782007
103720,-16100.600000,0.781775
103740,-16090.800000,0.782214
103760,-16111.800000,0.782666
103780,-16136.800000,0.784387
103800,-16123.400000,0.784058
103820,-16068.000000,0.780420
103840,-16093.400000,0.780066
103860,-16072.600000,0.780347
103880,-16026.200000,0.778516
103900,-16089.200000,0.778784
103920,-16096.600000,0.779309
103940,-16079.200000,0.778296
103960,-16081.600000,0.778223
103980,-16048.200000,0.777844
104000,-16076.600000,0.779797
104020,-16072.200000,0.780396
104040,-16145.600000,0.782019
104060,-16144.200000,0.785986
104080,-16174.000000,0.786694
104100,-16098.600000,0.783936
104120,-16158.600000,0.786438
104140,-16133.400000,0.785071
104160,-16105.800000,0.784888
104180,-16145.600000,0.784705
104200,-16153.600000,0.785840
104220,-16129.200000,0.784644
104240,-16119.800000,0.784985
104260,-16096.800000,0.783765
104280,-16136.800000,0.782898
104300,-16090.800000,0.783948
104320,-16164.800000,0.786047
104340,-16162.400000,0.785339
104360,-16127.000000,0.784802
104380,-16190.200000,0.786206
104400,-16118.400000,0.782642
104420,-16067.600000,0.780615
104440,-16077.800000,0.782593
104460,-16068.600000,0.782202
104480,-16095.800000,0.784900
104500,-16119.800000,0.786633
104520,-16121.600000,0.787341
104540,-16108.400000,0.784448
104560,-16064.800000,0.782410
104580,-16126.000000,0.784082
104600,-16140.600000,0.781995
104620,-16106.000000,0.783411
104640,-16116.200000,0.783313
104660,-16066.400000,0.783801
104680,-16101.000000,0.783875
104700,-16037.600000,0.782385
104720,-16113.800000,0.785889
104740,-16155.600000,0.787292
104760,-16116.000000,0.786218
104780,-16129.600000,0.786426
104800,-16139.400000,0.788232
104820,-16205.200000,0.789441
104840,-16214.000000,0.790271
104860,-16114.000000,0.785400
104880,-16132.800000,0.788025
104900,-16190.200000,0.791907
104920,-16162.200000,0.789905
104940,-16210.000000,0.791321
104960,-16139.200000,0.787024
104980,-16134.600000,0.787109
105000,-16139.000000,0.785425
105020,-16172.400000,0.788611
105040,-16231.200000,0.791199
105060,-16186.800000,0.790295
105080,-16220.800000,0.791626
105100,-16231.200000,0.791736
105120,-16214.800000,0.789307
105140,-16185.800000,0.786133
105160,-16193.400000,0.788000
105180,-16160.400000,0.788538
105200,-16194.000000,0.787097
105220,-16132.600000,0.785718
105240,-16126.600000,0.785083
105260,-16154.800000,0.786292
105280,-16165.600000,0.786523
105300,-16168.000000,0.786609
105320,-16184.000000,0.786133
105340,-16199.000000,0.787366
105360,-16185.200000,0.786755
105380,-16158.000000,0.786902
105400,-16147.600000,0.787012
105420,-16113.600000,0.785291
105440,-16132.400000,0.787000
105460,-16123.600000,0.784094
105480,-16149.600000,0.787219
105500,-16130.800000,0.784827
105520,-16089.000000,0.783484
105540,-16091.200000,0.781921
105560,-16072.000000,0.780176
105580,-16146.200000,0.785229
105600,-16181.400000,0.786914
105620,-16114.800000,0.784949
105640,-16143.000000,0.787598
105660,-16173.600000,0.787585
105680,-16134.600000,0.784399
105700,-16102.400000,0.786694
105720,-16175.600000,0.788977
105740,-16188.000000,0.789124
105760,-16103.000000,0.784924
105780,-16123.200000,0.786646
105800,-16181.000000,0.789404
105820,-16174.800000,0.791052
105840,-16194.200000,0.791699
105860,-16170.400000,0.790234
105880,-16188.200000,0.792542
105900,-16230.600000,0.792053
105920,-16162.200000,0.789478
105940,-16150.000000,0.788940
105960,-16135.400000,0.787195
105980,-16163.200000,0.788574
106000,-16152.000000,0.789966
106020,-16124.600000,0.787085
106040,-16131.600000,0.786218
106060,-16061.400000,0.781506
