# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 1.735, Jz = 0.5000
step,H,delta^2
100000,-17798.200000,0.886609
100020,-17818.600000,0.887390
100040,-17819.200000,0.888684
100060,-17812.600000,0.888867
100080,-17842.600000,0.889624
100100,-17803.400000,0.887756
100120,-17816.600000,0.888562
100140,-17825.800000,0.890039
100160,-17842.800000,0.890198
100180,-17864.000000,0.890125
100200,-17892.400000,0.891895
100220,-17869.000000,0.889917
100240,-17860.600000,0.889050
100260,-17841.000000,0.887476
100280,-17824.400000,0.887183
100300,-17819.800000,0.886438
100320,-17815.400000,0.885999
100340,-17810.200000,0.886243
100360,-17808.200000,0.884619
100380,-17824.600000,0.885986
100400,-17813.000000,0.885901
100420,-17837.400000,0.886987
100440,-17829.800000,0.886584
100460,-17818.400000,0.886633
100480,-17823.200000,0.887061
100500,-17816.200000,0.886707
100520,-17829.200000,0.887390
100540,-17842.600000,0.889148
100560,-17846.400000,0.889087
100580,-17813.200000,0.887305
100600,-17822.000000,0.888086
100620,-17832.000000,0.888135
100640,-17842.200000,0.888989
100660,-17841.200000,0.888794
100680,-17805.000000,0.886853
100700,-17845.800000,0.888098
100720,-17837.000000,0.887988
100740,-17841.000000,0.887512
100760,-17807.200000,0.884753
100780,-17782.400000,0.883936
100800,-17788.000000,0.885486
100820,-17833.400000,0.887805
100840,-17826.800000,0.887451
100860,-17818.400000,0.886841
100880,-17851.400000,0.888806
100900,-17850.000000,0.889270
100920,-17842.000000,0.887720
100940,-17845.800000,0.888318
100960,-17835.400000,0.889001
100980,-17807.800000,0.887659
101000,-17805.200000,0.886719
101020,-17828.000000,0.887036
101040,-17843.400000,0.887463
101060,-17823.600000,0.886829
101080,-17806.400000,0.886597
101100,-17833.400000,0.888281
101120,-17830.000000,0.888806
101140,-17848.400000,0.888916
101160,-17843.600000,0.890161
101180,-17841.400000,0.890234
101200,-17857.000000,0.890430
101220,-17856.400000,0.891663
101240,-17871.800000,0.891650
101260,-17877.600000,0.891309
101280,-17867.800000,0.890979
101300,-17856.200000,0.890820
101320,-17866.400000,0.890137
101340,-17870.400000,0.890564
101360,-17856.800000,0.890503
101380,-17824.600000,0.888208
101400,-17828.200000,0.889014
101420,-17803.400000,0.887915
101440,-17824.800000,0.888196
101460,-17841.400000,0.888440
101480,-17851.200000,0.889429
101500,-17863.400000,0.890222
101520,-17856.000000,0.890369
101540,-17851.400000,0.890540
101560,-17867.600000,0.890186
101580,-17867.200000,0.890552
101600,-17846.600000,0.890015
101620,-17840.000000,0.889148
101640,-17854.400000,0.889941
101660,-17851.000000,0.890100
101680,-17862.400000,0.891321
101700,-17842.000000,0.890100
101720,-17843.600000,0.889600
101740,-17814.400000,0.888708
101760,-17821.800000,0.888013
101780,-17854.200000,0.888965
101800,-17853.800000,0.888892
