# Ensemble size: 10, Sample period: 20, Burn in steps: 1000000, Samples: 1000
# L = 32, Lz = 8, T = 1.653, Jz = 0.5000
step,H,delta^2
1000000,-18473.000000,0.918921
1000020,-18483.200000,0.920178
1000040,-18509.000000,0.921399
1000060,-18496.200000,0.921008
1000080,-18488.400000,0.921252
1000100,-18483.600000,0.920325
1000120,-18476.600000,0.920154
1000140,-18489.400000,0.920398
1000160,-18497.800000,0.920703
1000180,-18478.400000,0.918982
1000200,-18462.800000,0.918762
1000220,-18472.800000,0.919275
1000240,-18461.800000,0.919006
1000260,-18473.600000,0.919543
1000280,-18472.400000,0.920496
1000300,-18459.400000,0.918970
1000320,-18463.800000,0.919385
1000340,-18457.200000,0.919104
1000360,-18446.000000,0.919641
1000380,-18454.200000,0.920483
1000400,-18453.800000,0.919592
1000420,-18473.800000,0.920471
1000440,-18475.000000,0.920972
1000460,-18469.400000,0.920288
1000480,-18480.800000,0.921216
1000500,-18457.600000,0.920715
1000520,-18462.800000,0.920215
1000540,-18457.000000,0.919800
1000560,-18463.800000,0.919580
1000580,-18466.600000,0.920361
1000600,-18479.800000,0.920337
1000620,-18474.000000,0.920508
1000640,-18478.600000,0.919702
1000660,-18504.800000,0.921375
1000680,-18496.200000,0.920447
1000700,-18490.600000,0.920288
1000720,-18488.800000,0.921167
1000740,-18474.800000,0.920349
1000760,-18486.200000,0.920300
1000780,-18478.400000,0.920032
1000800,-18474.600000,0.919202
1000820,-18473.600000,0.918835
1000840,-18472.600000,0.918420
1000860,-18463.800000,0.917993
1000880,-18455.200000,0.917395
1000900,-18466.600000,0.917896
1000920,-18456.000000,0.917407
1000940,-18468.400000,0.917896
1000960,-18477.000000,0.918799
1000980,-18450.000000,0.917358
1001000,-18472.000000,0.918372
1001020,-18479.800000,0.918066
1001040,-18457.400000,0.917944
1001060,-18476.000000,0.918481
1001080,-18474.600000,0.918835
1001100,-18477.800000,0.919299
1001120,-18453.800000,0.918384
1001140,-18458.000000,0.918250
1001160,-18447.200000,0.917297
1001180,-18448.600000,0.916748
1001200,-18450.400000,0.916797
1001220,-18452.800000,0.916711
1001240,-18455.800000,0.916431
1001260,-18473.400000,0.916943
1001280,-18474.000000,0.916479
1001300,-18472.200000,0.916150
1001320,-18462.800000,0.916394
1001340,-18436.200000,0.915210
1001360,-18439.800000,0.915771
1001380,-18438.800000,0.916418
1001400,-18436.800000,0.916418
1001420,-18459.800000,0.917053
1001440,-18459.800000,0.916748
1001460,-18473.600000,0.917542
1001480,-18472.400000,0.917432
1001500,-18447.000000,0.916797
1001520,-18450.400000,0.917114
1001540,-18476.000000,0.917969
1001560,-18455.200000,0.917383
1001580,-18465.600000,0.917090
1001600,-18483.800000,0.917969
1001620,-18475.800000,0.918420
1001640,-18451.600000,0.917615
1001660,-18458.400000,0.917371
1001680,-18481.800000,0.918359
1001700,-18458.800000,0.918152
1001720,-18470.800000,0.918811
1001740,-18471.600000,0.918433
1001760,-18465.000000,0.917432
1001780,-18446.200000,0.916699
1001800,-18469.400000,0.917834
1001820,-18471.400000,0.917871
1001840,-18478.000000,0.917761
1001860,-18450.800000,0.916907
1001880,-18455.000000,0.916345
1001900,-18444.400000,0.915930
1001920,-18457.000000,0.916455
1001940,-18463.000000,0.915808
1001960,-18458.200000,0.916626
1001980,-18451.400000,0.916577
1002000,-18453.400000,0.916650
1002020,-18433.600000,0.915784
1002040,-18450.000000,0.916772
1002060,-18445.400000,0.916125
1002080,-18456.000000,0.917334
1002100,-18448.000000,0.916614
1002120,-18454.000000,0.916199
1002140,-18451.800000,0.916235
1002160,-18435.000000,0.916260
1002180,-18450.200000,0.917017
1002200,-18456.400000,0.916370
1002220,-18421.200000,0.915332
1002240,-18444.000000,0.916235
1002260,-18443.400000,0.916309
1002280,-18431.000000,0.915820
1002300,-18437.800000,0.916760
1002320,-18431.800000,0.915918
1002340,-18413.400000,0.916675
1002360,-18418.800000,0.916553
1002380,-18407.200000,0.916711
1002400,-18426.600000,0.917651
1002420,-18431.600000,0.916284
1002440,-18426.600000,0.915405
1002460,-18427.600000,0.915588
1002480,-18438.600000,0.915710
1002500,-18437.600000,0.914941
1002520,-18431.800000,0.916248
1002540,-18424.200000,0.915320
1002560,-18451.400000,0.916003
1002580,-18448.400000,0.915955
1002600,-18440.800000,0.915076
1002620,-18442.400000,0.916260
1002640,-18449.400000,0.916431
1002660,-18451.000000,0.916748
1002680,-18436.800000,0.916785
1002700,-18456.000000,0.918262
1002720,-18444.800000,0.917676
1002740,-18440.400000,0.917029
1002760,-18451.000000,0.917224
1002780,-18437.200000,0.917542
1002800,-18447.600000,0.917859
1002820,-18424.800000,0.917322
1002840,-18438.600000,0.917883
1002860,-18439.600000,0.917578
1002880,-18421.200000,0.917737
