# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 3.041, Jz = 0.5000
step,H,delta^2
100000,-12901.400000,0.600500
100020,-12982.400000,0.604407
100040,-13103.200000,0.609753
100060,-13052.800000,0.611108
100080,-13114.400000,0.612671
100100,-13092.600000,0.608899
100120,-13014.800000,0.605420
100140,-13081.400000,0.607190
100160,-13045.400000,0.610925
100180,-13140.600000,0.608667
100200,-13142.400000,0.611707
100220,-13089.800000,0.613416
100240,-13132.200000,0.613757
100260,-13196.400000,0.615356
100280,-13215.600000,0.618872
100300,-13174.800000,0.617859
100320,-13203.200000,0.616235
100340,-13210.400000,0.617944
100360,-13302.200000,0.621448
100380,-13229.800000,0.618762
100400,-13207.600000,0.617346
100420,-13261.600000,0.619873
100440,-13186.600000,0.615063
100460,-13187.200000,0.617981
100480,-13226.400000,0.615381
100500,-13235.000000,0.615540
100520,-13150.000000,0.611707
100540,-13110.800000,0.611377
100560,-13143.200000,0.614111
100580,-13133.000000,0.609729
100600,-13072.600000,0.609338
100620,-13083.000000,0.612451
100640,-13064.400000,0.607996
100660,-13035.600000,0.609863
100680,-13064.200000,0.609717
100700,-13083.400000,0.609973
100720,-13126.200000,0.610901
100740,-13131.600000,0.610938
100760,-13119.200000,0.608972
100780,-13179.800000,0.615332
100800,-13130.000000,0.613257
100820,-13072.600000,0.612366
100840,-13049.400000,0.610168
100860,-13036.400000,0.609509
100880,-13054.000000,0.610156
100900,-13123.800000,0.615332
100920,-13083.800000,0.614136
100940,-13084.200000,0.614966
100960,-13132.200000,0.615186
100980,-13137.000000,0.616431
101000,-13152.400000,0.616052
101020,-13159.400000,0.617163
101040,-13170.800000,0.616382
101060,-13086.400000,0.613879
101080,-13126.000000,0.615869
101100,-13134.400000,0.615771
101120,-13114.000000,0.613977
101140,-13040.400000,0.611914
101160,-13037.200000,0.609705
101180,-13029.200000,0.611121
101200,-13098.400000,0.610730
101220,-13134.600000,0.619055
101240,-13196.600000,0.617102
101260,-13180.800000,0.619604
101280,-13250.800000,0.623962
101300,-13245.000000,0.621826
101320,-13256.800000,0.621057
101340,-13225.600000,0.621936
101360,-13221.400000,0.618665
101380,-13215.400000,0.617078
101400,-13152.800000,0.614648
101420,-13159.400000,0.613843
101440,-13084.200000,0.611279
101460,-13083.200000,0.610510
101480,-13052.400000,0.610742
101500,-13102.800000,0.611768
101520,-13059.200000,0.611023
101540,-13140.200000,0.613281
101560,-13078.000000,0.612744
101580,-13072.200000,0.610535
101600,-13059.400000,0.611060
101620,-13100.000000,0.611572
101640,-13137.400000,0.612244
101660,-13209.800000,0.618164
101680,-13127.400000,0.614941
101700,-13178.800000,0.617908
101720,-13221.000000,0.620422
101740,-13195.800000,0.619299
101760,-13215.800000,0.619739
101780,-13175.600000,0.618103
101800,-13278.800000,0.623840
101820,-13246.600000,0.622144
101840,-13201.600000,0.618872
101860,-13224.800000,0.622644
101880,-13240.600000,0.618896
101900,-13218.600000,0.617932
101920,-13212.600000,0.618408
101940,-13261.800000,0.620276
101960,-13259.400000,0.620105
101980,-13237.200000,0.620557
102000,-13223.000000,0.618408
102020,-13225.800000,0.620459
102040,-13191.000000,0.621106
102060,-13301.600000,0.623718
102080,-13269.400000,0.623145
102100,-13281.800000,0.625720
102120,-13314.000000,0.626147
102140,-13339.200000,0.628735
102160,-13312.600000,0.626367
102180,-13237.000000,0.622852
102200,-13288.200000,0.623474
102220,-13321.200000,0.628772
102240,-13269.200000,0.622351
102260,-13292.600000,0.625464
102280,-13254.400000,0.620801
102300,-13193.200000,0.618591
102320,-13162.800000,0.614380
102340,-13173.600000,0.615222
102360,-13201.800000,0.619775
102380,-13267.400000,0.623462
102400,-13236.000000,0.620520
102420,-13223.600000,0.622168
102440,-13169.800000,0.618457
102460,-13198.600000,0.619153
102480,-13141.800000,0.617053
102500,-13161.400000,0.616016
102520,-13196.200000,0.616931
102540,-13124.000000,0.613232
102560,-13140.800000,0.615417
102580,-13148.000000,0.615759
102600,-13061.400000,0.613513
102620,-13127.400000,0.615271
102640,-13080.600000,0.616345
102660,-13175.600000,0.620813
102680,-13233.400000,0.621570
102700,-13284.200000,0.621680
102720,-13245.400000,0.623389
102740,-13190.600000,0.621265
102760,-13125.200000,0.616650
102780,-13102.600000,0.613196
102800,-13025.000000,0.610425
102820,-13077.600000,0.611218
102840,-12947.200000,0.607190
102860,-13032.600000,0.607422
102880,-13012.000000,0.606445
102900,-13024.000000,0.607251
102920,-12997.800000,0.607605
102940,-13142.000000,0.613562
102960,-13076.600000,0.612720
102980,-13089.600000,0.611621
103000,-13024.000000,0.608752
103020,-13002.000000,0.606323
103040,-12959.800000,0.604028
103060,-13056.400000,0.607007
103080,-13078.000000,0.605664
103100,-13010.200000,0.609460
103120,-13055.600000,0.608496
103140,-13146.000000,0.615393
103160,-13086.600000,0.612646
103180,-13073.800000,0.609814
103200,-13028.400000,0.607520
103220,-13017.600000,0.606494
