# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 3.204, Jz = 0.5000
step,H,delta^2
100000,-12122.400000,0.558215
100020,-12214.600000,0.563513
100040,-12127.000000,0.561121
100060,-12136.000000,0.563037
100080,-12145.400000,0.560999
100100,-12180.200000,0.558960
100120,-12158.400000,0.558716
100140,-12125.400000,0.559045
100160,-12149.800000,0.561877
100180,-12102.400000,0.560974
100200,-12177.800000,0.561365
100220,-12212.600000,0.562878
100240,-12122.800000,0.560889
100260,-12166.000000,0.563879
100280,-12234.800000,0.566553
100300,-12223.200000,0.566821
100320,-12263.000000,0.568005
100340,-12194.200000,0.565784
100360,-12314.000000,0.567957
100380,-12218.600000,0.563733
100400,-12193.200000,0.561768
100420,-12199.400000,0.558655
100440,-12233.400000,0.559460
100460,-12264.600000,0.564368
100480,-12281.600000,0.563782
100500,-12239.200000,0.565283
100520,-12230.800000,0.562378
100540,-12221.800000,0.560950
100560,-12178.800000,0.560535
100580,-12094.600000,0.557874
100600,-12093.400000,0.555798
100620,-12134.000000,0.556470
100640,-12114.200000,0.555872
100660,-12058.400000,0.551160
100680,-12072.000000,0.555029
100700,-12022.200000,0.554077
100720,-11985.400000,0.547827
100740,-12020.400000,0.550818
100760,-12049.400000,0.549939
100780,-12012.800000,0.548657
100800,-12187.000000,0.556873
100820,-12141.200000,0.557056
100840,-12009.400000,0.552563
100860,-12011.200000,0.555017
100880,-11997.800000,0.550793
100900,-12019.000000,0.552979
100920,-11987.400000,0.551306
100940,-11965.800000,0.556555
100960,-11986.000000,0.554871
100980,-12040.200000,0.555847
101000,-12023.800000,0.556201
101020,-12074.800000,0.558081
101040,-12130.000000,0.557837
101060,-12146.000000,0.560303
101080,-12089.400000,0.558093
101100,-12147.200000,0.564832
101120,-12200.600000,0.562097
101140,-12193.600000,0.562732
101160,-12110.600000,0.559253
101180,-12072.200000,0.555811
101200,-12005.200000,0.554395
101220,-12098.800000,0.554639
