# Ensemble size: 2, Sample period: 20, Burn in steps: 100000, Samples: 100
# L = 32, Lz = 8, T = 4.250, Jz = 0.5000
step,H,delta^2
100000,-5470.000000,0.174927
100020,-5313.000000,0.176147
100040,-5218.000000,0.183960
100060,-5426.000000,0.188049
100080,-5271.000000,0.185669
100100,-5357.000000,0.182678
100120,-5378.000000,0.180420
100140,-5116.000000,0.190796
100160,-5223.000000,0.183960
100180,-5089.000000,0.181702
100200,-5168.000000,0.184204
100220,-5278.000000,0.191223
100240,-5299.000000,0.184448
100260,-5235.000000,0.177429
100280,-5362.000000,0.171570
100300,-5357.000000,0.183838
100320,-4961.000000,0.174072
100340,-5365.000000,0.191772
100360,-5252.000000,0.188171
100380,-5290.000000,0.187561
100400,-5127.000000,0.183594
100420,-5288.000000,0.180786
100440,-5164.000000,0.179993
100460,-5386.000000,0.175903
100480,-5353.000000,0.173645
100500,-5158.000000,0.187256
100520,-5574.000000,0.186646
100540,-5404.000000,0.176208
100560,-5236.000000,0.180115
100580,-5341.000000,0.181274
100600,-5370.000000,0.166382
100620,-5081.000000,0.172302
100640,-5136.000000,0.172668
100660,-5226.000000,0.182251
100680,-5309.000000,0.176697
100700,-5158.000000,0.171326
100720,-5256.000000,0.183105
100740,-5265.000000,0.181580
100760,-5144.000000,0.179443
100780,-5216.000000,0.177490
100800,-5198.000000,0.186584
100820,-5340.000000,0.179504
100840,-5056.000000,0.163818
100860,-5348.000000,0.179871
100880,-5244.000000,0.178223
100900,-5077.000000,0.163208
100920,-5140.000000,0.179504
100940,-5317.000000,0.177917
100960,-5166.000000,0.177063
100980,-5168.000000,0.178772
101000,-5097.000000,0.179016
101020,-4997.000000,0.185486
101040,-5117.000000,0.174927
101060,-5096.000000,0.176758
101080,-4964.000000,0.176941
101100,-5113.000000,0.177002
101120,-4999.000000,0.165100
101140,-5162.000000,0.169006
101160,-5098.000000,0.173584
101180,-5186.000000,0.178772
101200,-4980.000000,0.175415
101220,-5117.000000,0.169678
101240,-5198.000000,0.172363
101260,-5089.000000,0.169617
101280,-5188.000000,0.168396
101300,-5265.000000,0.181091
101320,-5198.000000,0.184631
101340,-5074.000000,0.192566
101360,-5219.000000,0.166382
101380,-5039.000000,0.182007
101400,-4968.000000,0.178711
101420,-5198.000000,0.179810
101440,-5351.000000,0.180969
101460,-5173.000000,0.171143
101480,-5183.000000,0.169495
101500,-5122.000000,0.186096
101520,-5122.000000,0.181274
101540,-5264.000000,0.179321
101560,-5137.000000,0.178284
101580,-5283.000000,0.164856
101600,-5369.000000,0.171082
101620,-5131.000000,0.177246
101640,-5306.000000,0.176392
101660,-5271.000000,0.176331
101680,-5142.000000,0.179504
101700,-5256.000000,0.178406
101720,-5102.000000,0.186646
101740,-5181.000000,0.184204
101760,-5030.000000,0.184875
101780,-5145.000000,0.178467
101800,-5139.000000,0.176147
101820,-5171.000000,0.178528
101840,-5152.000000,0.182434
101860,-5348.000000,0.190002
101880,-4961.000000,0.174988
101900,-5102.000000,0.176819
101920,-5118.000000,0.177795
101940,-5217.000000,0.182922
101960,-5042.000000,0.181213
101980,-5249.000000,0.173523
