# Ensemble size: 2, Sample period: 20, Burn in steps: 100000, Samples: 100
# L = 32, Lz = 8, T = 3.161, Jz = 0.5000
step,H,delta^2
100000,-12662.000000,0.592896
100020,-12858.000000,0.599548
100040,-12878.000000,0.601440
100060,-12772.000000,0.602234
100080,-12499.000000,0.596069
100100,-12723.000000,0.596375
100120,-12727.000000,0.599426
100140,-12564.000000,0.593140
100160,-12626.000000,0.591309
100180,-12547.000000,0.588867
100200,-12516.000000,0.586670
100220,-12326.000000,0.574646
100240,-12432.000000,0.573730
100260,-12365.000000,0.578918
100280,-12413.000000,0.578369
100300,-12418.000000,0.572266
100320,-12441.000000,0.572693
100340,-12330.000000,0.574402
100360,-12327.000000,0.568420
100380,-12317.000000,0.566406
100400,-12075.000000,0.568237
100420,-12185.000000,0.572693
100440,-12223.000000,0.576660
100460,-12452.000000,0.586853
100480,-12533.000000,0.585449
100500,-12452.000000,0.579224
100520,-12360.000000,0.577820
100540,-12475.000000,0.579956
100560,-12301.000000,0.573853
100580,-12349.000000,0.568420
100600,-12367.000000,0.568726
100620,-12297.000000,0.569458
100640,-12443.000000,0.574463
100660,-12465.000000,0.574890
100680,-12454.000000,0.578369
100700,-12556.000000,0.581970
100720,-12449.000000,0.572327
100740,-12358.000000,0.563965
100760,-12276.000000,0.567078
100780,-12343.000000,0.559509
100800,-12168.000000,0.552551
100820,-12199.000000,0.556152
100840,-12148.000000,0.554871
100860,-12203.000000,0.565918
100880,-12248.000000,0.562988
100900,-12244.000000,0.567200
100920,-12434.000000,0.577393
100940,-12573.000000,0.572083
100960,-12189.000000,0.564575
100980,-12210.000000,0.567444
101000,-12472.000000,0.568420
101020,-12121.000000,0.555176
101040,-12100.000000,0.551880
101060,-12320.000000,0.558044
101080,-12140.000000,0.558289
101100,-12172.000000,0.559021
101120,-12144.000000,0.561096
101140,-12225.000000,0.560425
101160,-12162.000000,0.559814
101180,-12212.000000,0.559937
101200,-12224.000000,0.574707
101220,-12273.000000,0.569214
101240,-12269.000000,0.576477
101260,-12271.000000,0.571350
101280,-12344.000000,0.572388
101300,-12414.000000,0.563782
101320,-12358.000000,0.567200
101340,-12261.000000,0.564819
101360,-12300.000000,0.564453
101380,-12235.000000,0.565796
101400,-12294.000000,0.572083
101420,-12406.000000,0.572632
101440,-12285.000000,0.572327
101460,-12279.000000,0.570557
101480,-12464.000000,0.570740
101500,-12410.000000,0.571594
101520,-12304.000000,0.570984
101540,-12392.000000,0.569824
101560,-12253.000000,0.562683
101580,-12255.000000,0.567688
101600,-12324.000000,0.575012
101620,-12322.000000,0.568604
101640,-12106.000000,0.562805
101660,-12070.000000,0.557129
101680,-12293.000000,0.566406
101700,-12153.000000,0.561096
101720,-12230.000000,0.562256
101740,-12116.000000,0.560181
101760,-12266.000000,0.564514
101780,-12252.000000,0.559937
101800,-12231.000000,0.558899
101820,-12274.000000,0.563477
101840,-12215.000000,0.564453
101860,-12013.000000,0.554382
101880,-12156.000000,0.558899
101900,-12064.000000,0.561646
101920,-12264.000000,0.562256
101940,-12268.000000,0.565735
101960,-12270.000000,0.562378
101980,-12251.000000,0.562378
