# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 2.959, Jz = 0.5000
step,H,delta^2
100000,-13825.400000,0.654419
100020,-13770.000000,0.650818
100040,-13810.600000,0.652502
100060,-13824.200000,0.651868
100080,-13774.600000,0.652124
100100,-13793.600000,0.653137
100120,-13791.200000,0.651343
100140,-13739.600000,0.652600
100160,-13715.600000,0.649927
100180,-13748.800000,0.651221
100200,-13787.600000,0.653845
100220,-13829.200000,0.656653
100240,-13747.800000,0.651526
100260,-13765.800000,0.650842
100280,-13756.200000,0.651477
100300,-13774.200000,0.654504
100320,-13818.800000,0.656250
100340,-13824.000000,0.652368
100360,-13827.800000,0.656079
100380,-13879.800000,0.655078
100400,-13852.200000,0.656555
100420,-13879.200000,0.658240
100440,-13904.400000,0.656946
100460,-13926.600000,0.656946
100480,-13861.400000,0.654858
100500,-13811.400000,0.653430
100520,-13828.600000,0.652869
100540,-13794.400000,0.653345
100560,-13813.600000,0.654968
100580,-13775.200000,0.654480
100600,-13839.200000,0.655298
100620,-13739.400000,0.650769
100640,-13706.200000,0.649573
100660,-13716.200000,0.647839
100680,-13630.400000,0.645972
100700,-13666.600000,0.647815
100720,-13696.800000,0.647705
100740,-13735.000000,0.650720
100760,-13735.800000,0.650806
100780,-13778.800000,0.649707
100800,-13756.400000,0.649548
100820,-13758.200000,0.650537
100840,-13718.600000,0.648230
100860,-13668.800000,0.649072
100880,-13640.000000,0.644849
100900,-13673.800000,0.647192
100920,-13702.400000,0.648621
100940,-13669.600000,0.646350
100960,-13686.200000,0.648914
100980,-13707.400000,0.649341
101000,-13866.600000,0.654346
101020,-13739.600000,0.651245
101040,-13746.400000,0.653540
101060,-13704.800000,0.649133
101080,-13690.400000,0.648694
101100,-13735.400000,0.652563
101120,-13738.000000,0.653333
101140,-13880.000000,0.655859
101160,-13781.400000,0.653748
101180,-13757.600000,0.650061
101200,-13708.800000,0.649158
101220,-13758.400000,0.651782
101240,-13785.400000,0.651465
101260,-13800.200000,0.654126
101280,-13816.000000,0.651782
101300,-13760.400000,0.650757
101320,-13816.000000,0.655615
101340,-13746.200000,0.652917
101360,-13672.200000,0.649731
101380,-13676.800000,0.646484
101400,-13701.000000,0.648486
101420,-13744.000000,0.653589
101440,-13724.600000,0.652039
101460,-13775.400000,0.654785
101480,-13760.600000,0.653320
101500,-13757.800000,0.652319
101520,-13770.800000,0.653870
101540,-13817.000000,0.653540
101560,-13698.600000,0.650281
101580,-13676.600000,0.649548
101600,-13729.200000,0.651917
101620,-13725.600000,0.649695
101640,-13695.800000,0.647498
101660,-13728.400000,0.649841
101680,-13709.200000,0.649597
101700,-13709.600000,0.649988
101720,-13705.600000,0.649280
101740,-13745.000000,0.650134
101760,-13744.200000,0.651270
101780,-13699.800000,0.648145
101800,-13732.000000,0.652136
101820,-13731.000000,0.655627
101840,-13761.000000,0.655933
101860,-13793.600000,0.656934
101880,-13747.400000,0.651794
101900,-13721.000000,0.650073
101920,-13741.400000,0.649036
101940,-13767.600000,0.652588
101960,-13799.600000,0.652478
101980,-13788.200000,0.648804
102000,-13795.400000,0.651123
102020,-13778.000000,0.654822
102040,-13816.800000,0.652979
102060,-13810.000000,0.653918
102080,-13840.000000,0.651904
102100,-13843.400000,0.653577
102120,-13827.600000,0.652014
102140,-13793.600000,0.653833
102160,-13777.800000,0.654956
102180,-13802.800000,0.649976
102200,-13793.000000,0.650647
102220,-13781.200000,0.649536
102240,-13805.400000,0.650769
102260,-13693.200000,0.649792
102280,-13781.200000,0.653442
102300,-13766.200000,0.653162
102320,-13767.000000,0.655798
102340,-13802.800000,0.654919
102360,-13823.400000,0.654602
102380,-13802.800000,0.654626
102400,-13815.200000,0.652441
102420,-13816.200000,0.654980
102440,-13728.400000,0.653320
102460,-13764.200000,0.653821
102480,-13769.800000,0.654004
102500,-13859.200000,0.656689
102520,-13848.600000,0.657349
102540,-13910.200000,0.659302
102560,-13843.000000,0.654932
102580,-13909.200000,0.659180
102600,-13902.200000,0.659998
102620,-13859.800000,0.658606
102640,-13819.600000,0.656567
102660,-13849.800000,0.654565
102680,-13830.800000,0.656458
102700,-13842.600000,0.656494
102720,-13878.400000,0.658594
102740,-13881.400000,0.659204
102760,-13942.600000,0.660876
102780,-13910.200000,0.658350
102800,-13941.400000,0.662183
102820,-13979.200000,0.662988
102840,-13941.600000,0.662622
102860,-13944.200000,0.662012
102880,-13901.000000,0.662244
102900,-13880.800000,0.660156
102920,-13762.000000,0.656482
102940,-13720.000000,0.653540
102960,-13766.400000,0.653857
102980,-13745.800000,0.655908
103000,-13803.600000,0.655884
103020,-13786.400000,0.653809
103040,-13861.800000,0.655554
103060,-13854.600000,0.655090
103080,-13828.400000,0.654150
103100,-13799.800000,0.651746
103120,-13845.200000,0.654053
103140,-13798.400000,0.651428
103160,-13740.400000,0.652161
103180,-13745.200000,0.651086
103200,-13825.800000,0.654980
103220,-13804.600000,0.654578
103240,-13769.000000,0.653040
103260,-13736.800000,0.651709
103280,-13803.600000,0.655713
103300,-13781.400000,0.651318
103320,-13816.000000,0.655737
103340,-13824.400000,0.654932
103360,-13843.600000,0.654883
103380,-13805.800000,0.659094
103400,-13764.000000,0.653638
103420,-13788.400000,0.655530
103440,-13754.400000,0.652197
103460,-13733.200000,0.651990
103480,-13723.600000,0.652490
103500,-13774.800000,0.652490
103520,-13753.600000,0.653284
103540,-13761.200000,0.651819
103560,-13735.800000,0.650146
103580,-13667.200000,0.646155
103600,-13679.200000,0.647705
103620,-13655.600000,0.647778
103640,-13749.400000,0.649622
103660,-13748.000000,0.650098
103680,-13738.200000,0.651282
103700,-13715.200000,0.651013
103720,-13671.800000,0.648547
103740,-13660.600000,0.647449
103760,-13737.000000,0.652466
103780,-13827.800000,0.654846
103800,-13799.000000,0.655530
103820,-13845.200000,0.657214
103840,-13850.200000,0.656409
103860,-13926.000000,0.659741
103880,-13863.000000,0.658472
103900,-13876.600000,0.658813
103920,-13888.200000,0.660400
103940,-13815.800000,0.656616
103960,-13913.000000,0.661719
103980,-13913.200000,0.663953
104000,-13980.600000,0.663428
104020,-13979.600000,0.664929
104040,-13933.000000,0.662976
104060,-13884.600000,0.662476
104080,-13892.800000,0.660645
104100,-13895.000000,0.661865
104120,-13832.200000,0.658008
104140,-13829.800000,0.657642
104160,-13895.200000,0.659119
104180,-13866.200000,0.659851
104200,-13855.400000,0.657605
104220,-13835.200000,0.657495
104240,-13874.600000,0.657239
104260,-13856.400000,0.657153
104280,-13831.200000,0.658313
104300,-13815.800000,0.658215
104320,-13896.000000,0.659521
104340,-13874.800000,0.659338
104360,-13845.800000,0.657446
104380,-13852.600000,0.658667
104400,-13792.600000,0.656592
104420,-13850.800000,0.657153
104440,-13833.000000,0.655432
104460,-13853.600000,0.653857
104480,-13841.200000,0.655713
104500,-13763.600000,0.651929
104520,-13747.400000,0.652209
104540,-13793.800000,0.653638
104560,-13760.800000,0.652161
104580,-13783.800000,0.649243
104600,-13748.000000,0.653406
104620,-13736.400000,0.652771
104640,-13803.400000,0.654407
104660,-13708.600000,0.651770
104680,-13787.600000,0.655408
104700,-13746.000000,0.651160
104720,-13728.800000,0.656445
104740,-13751.400000,0.656128
104760,-13796.000000,0.657446
104780,-13806.400000,0.657251
104800,-13824.800000,0.657227
104820,-13865.400000,0.657300
104840,-13869.600000,0.656958
104860,-13803.200000,0.653894
104880,-13796.400000,0.654297
104900,-13810.600000,0.654443
104920,-13811.200000,0.655847
104940,-13758.600000,0.653857
104960,-13780.600000,0.652283
104980,-13807.000000,0.655994
105000,-13815.800000,0.656433
105020,-13850.600000,0.659412
105040,-13823.600000,0.657129
105060,-13849.600000,0.655603
105080,-13831.800000,0.655188
105100,-13824.800000,0.654663
105120,-13793.200000,0.657458
105140,-13747.200000,0.655969
105160,-13739.200000,0.656934
105180,-13843.800000,0.659802
105200,-13816.600000,0.659094
105220,-13902.800000,0.661011
105240,-13852.000000,0.657935
105260,-13841.600000,0.657617
105280,-13832.400000,0.659216
105300,-13800.600000,0.654517
105320,-13785.200000,0.653430
105340,-13771.800000,0.654700
105360,-13767.400000,0.654773
105380,-13795.400000,0.654407
105400,-13861.600000,0.655872
105420,-13797.000000,0.653955
105440,-13858.400000,0.659216
105460,-13839.400000,0.656799
105480,-13855.200000,0.659045
105500,-13767.600000,0.655396
105520,-13745.400000,0.652405
105540,-13817.000000,0.656396
105560,-13818.200000,0.655005
105580,-13876.600000,0.658374
105600,-13960.800000,0.660449
105620,-13878.800000,0.657544
105640,-13898.600000,0.658655
105660,-13913.000000,0.659961
105680,-13890.000000,0.657825
105700,-13831.800000,0.656934
105720,-13825.000000,0.656458
105740,-13821.000000,0.655774
105760,-13828.600000,0.656042
105780,-13863.400000,0.659338
105800,-13823.600000,0.659216
105820,-13805.000000,0.657385
105840,-13799.000000,0.655115
105860,-13791.800000,0.654456
105880,-13831.400000,0.655334
105900,-13811.400000,0.655530
105920,-13789.000000,0.654834
105940,-13855.000000,0.654797
105960,-13874.600000,0.655627
105980,-13844.600000,0.658142
106000,-13886.000000,0.658618
106020,-13837.600000,0.654907
106040,-13835.800000,0.654065
106060,-13719.600000,0.652234
106080,-13799.200000,0.654919
106100,-13812.000000,0.656580
106120,-13801.800000,0.655774
106140,-13807.400000,0.654285
106160,-13806.400000,0.657349
106180,-13781.400000,0.656055
106200,-13871.200000,0.660876
106220,-13881.400000,0.659814
106240,-13954.600000,0.662720
106260,-13880.600000,0.664221
106280,-13926.600000,0.663208
106300,-13941.000000,0.665088
106320,-14002.200000,0.665417
106340,-14018.200000,0.668311
106360,-13903.600000,0.664221
106380,-13883.200000,0.662354
106400,-13813.400000,0.657690
106420,-13864.000000,0.659192
106440,-13853.200000,0.659143
106460,-13934.400000,0.659717
106480,-13882.200000,0.658618
106500,-13868.600000,0.660229
106520,-13909.000000,0.660547
106540,-13884.400000,0.661707
106560,-13897.400000,0.659656
106580,-13842.800000,0.657581
106600,-13871.600000,0.658789
106620,-13859.200000,0.658594
106640,-13850.800000,0.658923
106660,-13812.200000,0.658447
106680,-13850.200000,0.656177
106700,-13858.000000,0.658020
106720,-13819.200000,0.655371
106740,-13854.200000,0.656323
106760,-13837.400000,0.656946
106780,-13773.000000,0.654236
106800,-13805.400000,0.655981
106820,-13795.800000,0.654016
106840,-13773.000000,0.652722
106860,-13832.000000,0.656592
106880,-13797.200000,0.654517
106900,-13778.000000,0.654102
106920,-13802.600000,0.651733
106940,-13791.600000,0.651953
106960,-13761.600000,0.651318
106980,-13771.800000,0.648071
107000,-13773.600000,0.650269
107020,-13776.000000,0.648865
107040,-13739.000000,0.645764
107060,-13727.200000,0.645386
107080,-13753.800000,0.648450
107100,-13750.400000,0.648132
107120,-13753.400000,0.650085
107140,-13726.200000,0.650671
107160,-13770.200000,0.651135
107180,-13717.800000,0.649377
107200,-13737.400000,0.646716
107220,-13723.400000,0.645288
107240,-13687.800000,0.644897
107260,-13679.400000,0.644092
107280,-13647.800000,0.641931
107300,-13685.200000,0.646143
107320,-13653.000000,0.646216
107340,-13719.400000,0.647607
107360,-13686.400000,0.646777
107380,-13795.200000,0.651941
107400,-13668.600000,0.646301
107420,-13755.800000,0.647034
107440,-13727.200000,0.647693
107460,-13719.800000,0.649390
107480,-13717.800000,0.648315
107500,-13731.800000,0.648828
107520,-13772.800000,0.650806
107540,-13831.000000,0.653894
107560,-13727.600000,0.652393
107580,-13788.200000,0.656396
107600,-13861.600000,0.658142
107620,-13870.800000,0.658667
107640,-13822.600000,0.657483
107660,-13835.200000,0.659692
107680,-13857.800000,0.656348
107700,-13806.000000,0.653369
107720,-13824.800000,0.655127
107740,-13808.800000,0.657190
107760,-13832.000000,0.655359
107780,-13784.000000,0.651489
107800,-13808.800000,0.651563
107820,-13858.600000,0.655811
107840,-13784.000000,0.655457
107860,-13774.000000,0.653870
107880,-13768.400000,0.653625
107900,-13839.200000,0.656665
107920,-13833.400000,0.656726
107940,-13792.800000,0.652173
107960,-13786.600000,0.656042
107980,-13805.600000,0.654626
108000,-13912.600000,0.659912
108020,-13907.800000,0.660779
108040,-13909.400000,0.662610
108060,-13925.800000,0.664563
108080,-13979.200000,0.666187
108100,-14017.200000,0.666748
108120,-13979.600000,0.666736
108140,-13990.800000,0.666113
108160,-13838.200000,0.659167
108180,-13922.600000,0.662219
108200,-13922.000000,0.659070
108220,-13945.600000,0.663367
108240,-13904.400000,0.662415
108260,-13895.400000,0.661548
108280,-13870.400000,0.660852
108300,-13912.200000,0.662866
108320,-13924.600000,0.663086
108340,-13926.200000,0.662817
108360,-13869.600000,0.662097
108380,-13901.000000,0.660901
108400,-13984.000000,0.660535
108420,-13892.400000,0.658093
108440,-13827.400000,0.657043
108460,-13827.000000,0.655408
108480,-13777.000000,0.654333
108500,-13809.600000,0.652954
108520,-13738.200000,0.654163
108540,-13742.000000,0.652075
108560,-13709.600000,0.651331
108580,-13739.800000,0.651343
108600,-13687.400000,0.649048
108620,-13718.000000,0.652979
108640,-13719.400000,0.651599
108660,-13706.400000,0.649036
108680,-13696.400000,0.649829
108700,-13683.600000,0.647461
108720,-13707.400000,0.649316
108740,-13729.000000,0.650952
108760,-13744.200000,0.653369
108780,-13690.800000,0.651685
108800,-13784.600000,0.651245
108820,-13827.600000,0.654492
108840,-13841.000000,0.654163
108860,-13854.000000,0.660120
108880,-13844.800000,0.657825
108900,-13896.800000,0.658105
108920,-13817.000000,0.655090
108940,-13797.800000,0.655823
108960,-13822.400000,0.654687
108980,-13893.800000,0.655249
109000,-13921.800000,0.660010
109020,-13896.800000,0.660266
109040,-13921.600000,0.660791
109060,-13896.800000,0.660107
109080,-13967.800000,0.661584
109100,-13963.000000,0.661243
109120,-13865.800000,0.660181
109140,-13849.400000,0.657385
109160,-13879.400000,0.657874
109180,-13784.600000,0.656006
109200,-13826.600000,0.656482
109220,-13836.200000,0.657874
109240,-13862.800000,0.658813
109260,-13764.800000,0.654150
109280,-13793.400000,0.654456
109300,-13790.800000,0.653540
109320,-13729.000000,0.653796
109340,-13810.800000,0.653821
109360,-13784.400000,0.653613
109380,-13869.400000,0.656238
109400,-13776.400000,0.653247
109420,-13754.400000,0.654810
109440,-13760.000000,0.651575
109460,-13786.000000,0.650549
109480,-13692.400000,0.646814
109500,-13726.000000,0.648169
109520,-13672.600000,0.647266
109540,-13695.600000,0.650940
109560,-13683.800000,0.649939
109580,-13732.400000,0.653198
109600,-13732.200000,0.649670
109620,-13755.000000,0.650635
109640,-13744.400000,0.651709
109660,-13776.800000,0.653210
109680,-13680.800000,0.652734
109700,-13747.200000,0.653687
109720,-13758.200000,0.654858
109740,-13815.800000,0.657776
109760,-13705.600000,0.651758
109780,-13738.800000,0.652637
109800,-13725.000000,0.650256
109820,-13678.800000,0.647949
109840,-13735.200000,0.647754
109860,-13735.400000,0.647437
109880,-13709.000000,0.648083
109900,-13744.000000,0.649084
109920,-13733.400000,0.647327
109940,-13765.400000,0.652625
109960,-13788.800000,0.652869
109980,-13860.600000,0.653931
110000,-13839.400000,0.656799
110020,-13761.400000,0.653528
110040,-13748.400000,0.652515
110060,-13717.600000,0.652307
110080,-13675.000000,0.648315
110100,-13656.400000,0.648865
110120,-13653.400000,0.650464
110140,-13712.600000,0.648547
110160,-13662.200000,0.648413
110180,-13716.400000,0.648889
110200,-13619.200000,0.642004
110220,-13718.400000,0.649658
110240,-13685.000000,0.646472
110260,-13650.800000,0.644910
110280,-13719.800000,0.646350
110300,-13724.200000,0.645654
110320,-13686.000000,0.644031
110340,-13639.000000,0.641968
110360,-13762.000000,0.648328
110380,-13694.000000,0.644360
110400,-13604.800000,0.641956
110420,-13691.200000,0.643945
110440,-13679.200000,0.644714
110460,-13676.600000,0.645203
110480,-13723.200000,0.648328
110500,-13678.200000,0.649951
110520,-13732.800000,0.650818
110540,-13729.400000,0.650427
110560,-13776.000000,0.651465
110580,-13784.400000,0.653870
110600,-13791.800000,0.653125
110620,-13793.200000,0.655078
110640,-13780.400000,0.652222
110660,-13733.400000,0.649402
110680,-13703.200000,0.647961
110700,-13690.800000,0.647717
110720,-13716.400000,0.650134
110740,-13674.400000,0.646765
110760,-13751.600000,0.649548
110780,-13812.400000,0.651733
110800,-13788.800000,0.652637
110820,-13851.600000,0.654480
110840,-13886.200000,0.653174
110860,-13879.400000,0.654663
110880,-13871.400000,0.656494
110900,-13902.200000,0.657117
110920,-13778.400000,0.650122
110940,-13834.000000,0.652002
110960,-13805.800000,0.652039
110980,-13756.600000,0.648962
111000,-13737.600000,0.649268
111020,-13658.000000,0.644873
111040,-13709.800000,0.645398
111060,-13703.800000,0.647583
111080,-13687.600000,0.647925
111100,-13683.800000,0.647351
111120,-13685.800000,0.646313
111140,-13662.600000,0.644604
111160,-13643.400000,0.643274
111180,-13738.200000,0.648840
111200,-13795.200000,0.648645
111220,-13758.400000,0.652344
111240,-13758.200000,0.653162
111260,-13855.800000,0.656921
111280,-13792.400000,0.655469
111300,-13839.600000,0.655249
