# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 3.286, Jz = 0.5000
step,H,delta^2
100000,-11396.400000,0.511353
100020,-11373.800000,0.513696
100040,-11413.000000,0.513538
100060,-11443.200000,0.515381
100080,-11395.200000,0.513196
100100,-11457.800000,0.514062
100120,-11417.400000,0.514099
100140,-11414.000000,0.510901
100160,-11338.200000,0.508679
100180,-11383.400000,0.514648
100200,-11449.800000,0.514954
100220,-11450.600000,0.517212
100240,-11386.800000,0.513062
100260,-11379.800000,0.512183
100280,-11349.400000,0.513782
100300,-11366.000000,0.515698
100320,-11436.600000,0.517920
100340,-11409.600000,0.515576
100360,-11381.200000,0.513098
100380,-11352.600000,0.514417
100400,-11373.400000,0.515088
100420,-11413.800000,0.517419
100440,-11372.000000,0.514661
100460,-11437.800000,0.516809
100480,-11451.000000,0.516541
100500,-11344.400000,0.515173
100520,-11375.000000,0.514502
100540,-11424.600000,0.516833
100560,-11486.400000,0.518640
100580,-11493.200000,0.519873
100600,-11460.000000,0.519995
100620,-11442.000000,0.518176
100640,-11429.800000,0.518555
100660,-11408.000000,0.516370
100680,-11376.800000,0.515173
100700,-11476.600000,0.515979
100720,-11513.400000,0.516382
100740,-11372.000000,0.514124
100760,-11408.600000,0.514258
100780,-11373.600000,0.515942
100800,-11366.000000,0.512439
100820,-11406.600000,0.518079
100840,-11410.200000,0.517126
100860,-11411.400000,0.514893
100880,-11348.600000,0.514758
100900,-11442.400000,0.516553
100920,-11430.400000,0.513342
100940,-11442.400000,0.513416
100960,-11400.000000,0.513757
100980,-11400.800000,0.513635
101000,-11490.800000,0.516736
101020,-11454.800000,0.515552
101040,-11466.600000,0.517969
101060,-11468.600000,0.516406
101080,-11399.800000,0.512085
101100,-11439.600000,0.511719
101120,-11419.000000,0.511951
101140,-11439.600000,0.512537
101160,-11364.400000,0.509766
101180,-11317.800000,0.507642
101200,-11250.400000,0.506067
101220,-11308.600000,0.505078
101240,-11319.400000,0.508582
101260,-11341.200000,0.508960
101280,-11371.800000,0.509521
101300,-11276.800000,0.504846
101320,-11345.000000,0.504541
101340,-11262.000000,0.503015
101360,-11237.000000,0.507056
101380,-11291.000000,0.507007
101400,-11339.400000,0.507483
101420,-11334.800000,0.506860
101440,-11374.800000,0.511060
101460,-11369.200000,0.506726
101480,-11245.800000,0.505054
101500,-11299.200000,0.506091
101520,-11331.000000,0.511377
101540,-11333.200000,0.511511
101560,-11385.800000,0.511230
101580,-11278.000000,0.506836
101600,-11302.400000,0.508850
101620,-11295.400000,0.506812
101640,-11437.200000,0.514014
101660,-11355.000000,0.512170
101680,-11351.400000,0.514368
101700,-11354.400000,0.511414
101720,-11368.800000,0.510425
101740,-11333.400000,0.507935
101760,-11212.200000,0.505249
101780,-11303.800000,0.508386
101800,-11403.800000,0.512219
101820,-11383.600000,0.512769
101840,-11204.800000,0.506299
101860,-11386.200000,0.512988
101880,-11451.400000,0.515198
101900,-11369.600000,0.511951
101920,-11473.600000,0.512402
101940,-11444.600000,0.511621
101960,-11370.600000,0.515356
101980,-11384.400000,0.515759
102000,-11420.200000,0.515259
102020,-11349.200000,0.512610
102040,-11439.600000,0.516003
102060,-11394.400000,0.516394
102080,-11344.800000,0.515015
102100,-11404.200000,0.515710
102120,-11321.000000,0.513501
102140,-11308.200000,0.512134
102160,-11390.400000,0.511975
102180,-11317.600000,0.512671
102200,-11344.200000,0.513000
102220,-11331.000000,0.510156
102240,-11358.600000,0.512476
102260,-11331.400000,0.511475
102280,-11334.800000,0.507922
102300,-11319.000000,0.508997
102320,-11249.600000,0.505115
102340,-11236.000000,0.506799
102360,-11298.200000,0.507092
102380,-11184.200000,0.503552
102400,-11252.200000,0.507800
102420,-11310.200000,0.506567
102440,-11253.000000,0.508301
102460,-11223.600000,0.508093
102480,-11235.600000,0.504358
102500,-11214.400000,0.506287
102520,-11245.600000,0.506433
102540,-11274.600000,0.505823
102560,-11228.200000,0.504871
102580,-11243.000000,0.507104
102600,-11174.400000,0.505103
102620,-11290.000000,0.504687
102640,-11321.400000,0.508362
102660,-11395.600000,0.510669
102680,-11343.400000,0.511951
102700,-11275.800000,0.511914
102720,-11278.000000,0.509595
102740,-11326.600000,0.510059
102760,-11212.800000,0.510071
102780,-11289.200000,0.512634
102800,-11335.400000,0.512305
102820,-11365.400000,0.512830
102840,-11408.200000,0.512488
102860,-11403.400000,0.516077
102880,-11466.200000,0.512268
102900,-11401.800000,0.512561
102920,-11436.000000,0.513867
102940,-11447.000000,0.513000
102960,-11358.000000,0.511084
102980,-11346.200000,0.512732
103000,-11431.800000,0.514600
103020,-11356.000000,0.508386
103040,-11432.800000,0.511328
103060,-11363.800000,0.513196
103080,-11349.600000,0.512891
103100,-11455.400000,0.514453
103120,-11441.000000,0.514771
103140,-11467.200000,0.514893
103160,-11426.800000,0.516455
103180,-11456.800000,0.517480
103200,-11494.600000,0.518799
103220,-11463.200000,0.516077
103240,-11460.600000,0.518640
103260,-11452.400000,0.520923
103280,-11433.800000,0.519751
103300,-11486.600000,0.522400
103320,-11438.600000,0.518103
103340,-11443.000000,0.515466
103360,-11411.000000,0.517529
103380,-11461.800000,0.517212
103400,-11425.800000,0.514417
103420,-11440.800000,0.514978
103440,-11408.800000,0.515234
103460,-11349.000000,0.513074
103480,-11374.600000,0.515063
103500,-11414.200000,0.512207
103520,-11383.600000,0.508972
103540,-11406.600000,0.513220
103560,-11363.200000,0.512671
103580,-11347.800000,0.513623
103600,-11364.200000,0.515015
103620,-11360.600000,0.515845
103640,-11336.200000,0.514453
103660,-11439.800000,0.518286
103680,-11376.800000,0.515417
103700,-11418.000000,0.519177
103720,-11409.200000,0.519312
103740,-11413.600000,0.519641
103760,-11429.800000,0.520886
103780,-11484.000000,0.523792
103800,-11478.000000,0.524670
103820,-11430.800000,0.519666
103840,-11456.600000,0.523022
103860,-11457.200000,0.522522
103880,-11433.400000,0.521033
103900,-11443.400000,0.522229
103920,-11532.800000,0.522205
103940,-11547.400000,0.522998
103960,-11494.400000,0.525037
103980,-11543.400000,0.527307
104000,-11534.400000,0.523718
104020,-11567.600000,0.526416
104040,-11539.000000,0.522961
104060,-11505.000000,0.522571
104080,-11459.200000,0.522632
104100,-11448.400000,0.520068
104120,-11431.600000,0.519592
104140,-11413.800000,0.519983
104160,-11401.800000,0.520007
104180,-11443.800000,0.519446
104200,-11437.800000,0.519165
104220,-11467.000000,0.520679
104240,-11478.400000,0.518262
104260,-11433.600000,0.517432
104280,-11390.600000,0.517432
104300,-11421.600000,0.519385
104320,-11417.200000,0.518750
104340,-11440.200000,0.516223
104360,-11480.000000,0.517712
104380,-11457.200000,0.516211
104400,-11498.000000,0.519336
104420,-11593.600000,0.521069
104440,-11583.000000,0.524487
104460,-11576.800000,0.523083
104480,-11604.200000,0.522546
104500,-11562.000000,0.520312
104520,-11591.800000,0.520422
104540,-11616.600000,0.523267
104560,-11505.800000,0.520166
104580,-11462.800000,0.518311
104600,-11468.600000,0.517554
104620,-11401.200000,0.514966
104640,-11454.600000,0.515662
104660,-11402.200000,0.515576
104680,-11399.600000,0.513025
104700,-11378.600000,0.509814
104720,-11344.600000,0.511438
104740,-11360.800000,0.510986
104760,-11307.200000,0.507898
104780,-11307.200000,0.507178
104800,-11316.000000,0.509180
104820,-11259.800000,0.509790
104840,-11256.800000,0.510168
104860,-11300.400000,0.510803
104880,-11310.400000,0.511829
104900,-11359.800000,0.509058
104920,-11338.800000,0.510217
104940,-11326.400000,0.510938
104960,-11392.400000,0.511243
104980,-11318.200000,0.507336
105000,-11353.600000,0.510840
105020,-11351.600000,0.515479
105040,-11386.800000,0.513171
105060,-11420.400000,0.517664
105080,-11358.800000,0.515735
105100,-11428.800000,0.514636
105120,-11346.400000,0.510144
105140,-11364.400000,0.510901
105160,-11322.000000,0.509155
105180,-11385.000000,0.513635
105200,-11420.400000,0.516577
105220,-11414.200000,0.513721
105240,-11406.400000,0.512231
105260,-11442.800000,0.513916
105280,-11361.000000,0.511255
105300,-11422.200000,0.514563
105320,-11346.800000,0.509705
105340,-11300.400000,0.508545
105360,-11335.800000,0.513269
105380,-11416.400000,0.514587
105400,-11484.000000,0.518848
105420,-11398.600000,0.514319
105440,-11394.000000,0.514856
105460,-11463.800000,0.513953
105480,-11445.000000,0.515479
105500,-11408.000000,0.516187
105520,-11425.400000,0.516528
105540,-11463.200000,0.519214
105560,-11440.200000,0.518884
105580,-11373.600000,0.517981
105600,-11383.200000,0.516394
105620,-11415.800000,0.516650
105640,-11388.800000,0.516125
105660,-11432.400000,0.517273
105680,-11380.000000,0.515601
105700,-11468.000000,0.519092
105720,-11449.600000,0.520898
105740,-11438.800000,0.518274
105760,-11474.600000,0.519421
105780,-11414.400000,0.518250
105800,-11452.400000,0.516248
105820,-11365.200000,0.513611
105840,-11349.200000,0.511523
105860,-11327.600000,0.510986
105880,-11373.800000,0.510876
105900,-11362.800000,0.513623
105920,-11423.800000,0.513416
105940,-11318.800000,0.509521
105960,-11333.000000,0.509241
105980,-11372.600000,0.508569
106000,-11374.200000,0.509509
106020,-11392.400000,0.513354
106040,-11379.800000,0.512048
106060,-11383.000000,0.510608
106080,-11410.200000,0.513135
106100,-11382.200000,0.511475
106120,-11384.200000,0.511707
106140,-11419.000000,0.511353
106160,-11404.600000,0.511047
106180,-11375.800000,0.511438
106200,-11347.600000,0.513428
106220,-11356.200000,0.514587
106240,-11351.600000,0.512329
106260,-11362.000000,0.509241
106280,-11301.000000,0.509680
106300,-11285.400000,0.506873
106320,-11291.800000,0.513147
106340,-11418.600000,0.509900
106360,-11366.000000,0.507739
106380,-11318.400000,0.508105
106400,-11369.200000,0.511047
106420,-11386.400000,0.511865
106440,-11305.400000,0.510657
106460,-11363.200000,0.511914
106480,-11260.600000,0.508411
106500,-11297.400000,0.510461
106520,-11284.200000,0.510669
106540,-11292.200000,0.512061
106560,-11288.200000,0.510437
106580,-11236.200000,0.509314
