# Ensemble size: 50, Steps: 10000, Burn in steps: 0, Samples: 100
step,H,H^2
0,-0.760000,529.680000,
100,-234.600000,55417.440000,
200,-263.560000,70071.760000,
300,-278.320000,78052.640000,
400,-290.440000,84646.640000,
500,-297.960000,89243.040000,
600,-304.320000,93111.120000,
700,-310.760000,96976.080000,
800,-310.920000,97160.720000,
900,-315.680000,100209.440000,
1000,-321.520000,103998.960000,
1100,-328.000000,108215.760000,
1200,-328.880000,108732.800000,
1300,-331.840000,110684.160000,
1400,-336.560000,113862.320000,
1500,-335.080000,113002.800000,
1600,-339.320000,115753.200000,
1700,-342.600000,117924.320000,
1800,-346.320000,120644.800000,
1900,-349.360000,122686.800000,
2000,-347.600000,121380.640000,
2100,-346.200000,120607.760000,
2200,-348.880000,122548.640000,
2300,-353.720000,125933.040000,
2400,-349.680000,123228.720000,
2500,-356.520000,128171.360000,
2600,-358.520000,129322.320000,
2700,-360.800000,131048.800000,
2800,-361.760000,131820.240000,
2900,-360.560000,130876.480000,
3000,-365.600000,134694.000000,
3100,-365.120000,134234.000000,
3200,-368.240000,136307.440000,
3300,-365.080000,134053.680000,
3400,-359.520000,130369.680000,
3500,-363.040000,132849.520000,
3600,-368.880000,137104.960000,
3700,-371.520000,139076.080000,
3800,-371.080000,138632.560000,
3900,-372.320000,139551.600000,
4000,-368.920000,137133.040000,
4100,-371.440000,138778.160000,
4200,-374.760000,141097.280000,
4300,-377.440000,143298.000000,
4400,-377.840000,143507.120000,
4500,-379.080000,144483.440000,
4600,-378.560000,143979.840000,
4700,-382.880000,147322.640000,
4800,-383.120000,147604.000000,
4900,-385.080000,149022.640000,
5000,-381.840000,146612.720000,
5100,-382.200000,146751.520000,
5200,-382.800000,147228.800000,
5300,-388.680000,151931.760000,
5400,-386.960000,150633.520000,
5500,-384.360000,148687.520000,
5600,-388.640000,151876.240000,
5700,-385.280000,149355.200000,
5800,-386.240000,150012.800000,
5900,-386.160000,149723.840000,
6000,-387.840000,151220.080000,
6100,-388.320000,151654.960000,
6200,-389.840000,152678.320000,
6300,-387.720000,150943.920000,
6400,-390.440000,153318.880000,
6500,-390.800000,153471.040000,
6600,-389.160000,152306.960000,
6700,-391.400000,154163.040000,
6800,-390.680000,153408.400000,
6900,-393.000000,155123.040000,
7000,-395.920000,157358.240000,
7100,-391.160000,153537.040000,
7200,-392.680000,154900.240000,
7300,-393.840000,155898.960000,
7400,-392.320000,154706.400000,
7500,-395.120000,156778.480000,
7600,-396.000000,157521.920000,
7700,-391.800000,154286.160000,
7800,-397.560000,158679.760000,
7900,-396.840000,158028.560000,
8000,-398.520000,159430.880000,
8100,-395.960000,157555.280000,
8200,-399.000000,159750.960000,
8300,-396.000000,157618.880000,
8400,-397.240000,158465.360000,
8500,-397.200000,158427.840000,
8600,-394.120000,155971.600000,
8700,-394.600000,156209.440000,
8800,-397.760000,158707.920000,
8900,-397.920000,158833.120000,
9000,-395.480000,156877.600000,
9100,-398.120000,159165.280000,
9200,-398.240000,159254.640000,
9300,-396.160000,157743.440000,
9400,-395.320000,156920.160000,
9500,-398.520000,159396.480000,
9600,-395.320000,156889.440000,
9700,-396.800000,158029.760000,
9800,-397.080000,158313.680000,
9900,-399.760000,160318.080000,
