# Ensemble size: 50, Steps: 10000, Burn in steps: 0, Samples: 100
step,H,H^2
0,-4.460000,490.380000,
100,-240.340000,58043.660000,
200,-261.940000,68923.340000,
300,-278.420000,77822.460000,
400,-291.100000,85124.620000,
500,-298.180000,89258.140000,
600,-303.340000,92365.980000,
700,-306.980000,94581.660000,
800,-314.820000,99448.700000,
900,-319.180000,102269.660000,
1000,-322.340000,104280.060000,
1100,-323.740000,105278.780000,
1200,-326.900000,107283.900000,
1300,-332.540000,111085.420000,
1400,-329.900000,109330.460000,
1500,-331.300000,110281.500000,
1600,-334.820000,112629.340000,
1700,-336.420000,113658.140000,
1800,-337.700000,114536.060000,
1900,-339.060000,115496.140000,
2000,-341.500000,117055.100000,
2100,-341.780000,117289.580000,
2200,-344.020000,118819.340000,
2300,-343.260000,118298.460000,
2400,-345.100000,119544.220000,
2500,-346.780000,120703.260000,
2600,-347.380000,121178.700000,
2700,-350.780000,123444.380000,
2800,-352.260000,124472.940000,
2900,-351.980000,124252.460000,
3000,-352.940000,124976.620000,
3100,-353.780000,125601.740000,
3200,-354.340000,125972.460000,
3300,-356.820000,127630.380000,
3400,-357.620000,128224.300000,
3500,-357.940000,128466.860000,
3600,-357.180000,127957.260000,
3700,-357.380000,128073.980000,
3800,-357.900000,128474.540000,
3900,-360.380000,130151.580000,
4000,-361.420000,130943.340000,
4100,-364.580000,133198.460000,
4200,-364.460000,133171.100000,
4300,-365.300000,133792.220000,
4400,-366.900000,134918.460000,
4500,-367.060000,135083.740000,
4600,-366.980000,134998.540000,
4700,-366.380000,134575.180000,
4800,-366.260000,134533.340000,
4900,-368.260000,135996.540000,
5000,-368.500000,136221.340000,
5100,-368.900000,136584.220000,
5200,-369.180000,136709.740000,
5300,-369.860000,137251.660000,
5400,-369.060000,136637.260000,
5500,-369.420000,136892.940000,
5600,-371.260000,138338.460000,
5700,-370.860000,138030.380000,
5800,-373.180000,139668.700000,
5900,-372.900000,139466.700000,
6000,-373.220000,139715.660000,
6100,-374.180000,140434.460000,
6200,-375.300000,141332.060000,
6300,-374.220000,140475.900000,
6400,-374.420000,140666.220000,
6500,-375.820000,141727.500000,
6600,-377.020000,142605.420000,
6700,-376.740000,142344.540000,
6800,-377.900000,143261.900000,
6900,-377.820000,143199.500000,
7000,-378.980000,143992.700000,
7100,-378.780000,143847.660000,
7200,-378.180000,143413.740000,
7300,-380.620000,145218.220000,
7400,-381.500000,145933.100000,
7500,-381.460000,145888.060000,
7600,-381.540000,146002.460000,
7700,-382.260000,146494.380000,
7800,-383.620000,147477.180000,
7900,-381.380000,145776.300000,
8000,-382.740000,146923.740000,
8100,-383.940000,147761.020000,
8200,-383.620000,147483.260000,
8300,-382.340000,146520.700000,
8400,-383.260000,147273.580000,
8500,-383.620000,147569.820000,
8600,-382.740000,146911.580000,
8700,-383.820000,147775.820000,
8800,-386.500000,149863.660000,
8900,-385.860000,149325.420000,
9000,-383.940000,147896.140000,
9100,-383.060000,147211.260000,
9200,-384.460000,148240.140000,
9300,-384.740000,148469.260000,
9400,-385.140000,148810.460000,
9500,-386.780000,150035.660000,
9600,-384.980000,148716.780000,
9700,-386.940000,150167.820000,
9800,-386.500000,149765.260000,
9900,-386.020000,149419.020000,
