# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 2.375, Jz = 0.1000
step,H,H^2
0,-0.820000,2488.036000,
75,-1573.100000,2478635.044000,
150,-1721.580000,2967131.508000,
225,-1744.940000,3048870.244000,
300,-1845.420000,3407657.588000,
375,-1848.140000,3422407.364000,
450,-1864.940000,3482684.500000,
525,-1892.180000,3587020.596000,
600,-1890.300000,3577442.756000,
675,-1939.540000,3766018.756000,
750,-1966.220000,3873370.852000,
825,-1991.820000,3974062.100000,
900,-1995.900000,3986123.764000,
975,-2010.540000,4042949.892000,
1050,-1993.500000,3979802.484000,
1125,-2007.860000,4043246.468000,
1200,-2041.780000,4171269.508000,
1275,-2020.220000,4087631.620000,
1350,-2046.460000,4195417.380000,
1425,-2062.700000,4259489.220000,
1500,-2076.740000,4320895.364000,
1575,-2046.820000,4194590.548000,
1650,-2039.660000,4165506.836000,
1725,-2047.540000,4201885.668000,
1800,-2041.140000,4172390.308000,
1875,-2042.700000,4177372.132000,
1950,-2051.180000,4215596.772000,
2025,-2051.620000,4211529.492000,
2100,-2074.340000,4306607.844000,
2175,-2095.780000,4395968.628000,
2250,-2073.700000,4304000.772000,
2325,-2084.420000,4347270.948000,
2400,-2090.460000,4374820.148000,
2475,-2096.100000,4400259.828000,
2550,-2101.220000,4421914.820000,
2625,-2113.780000,4472336.756000,
2700,-2120.500000,4506944.004000,
2775,-2096.620000,4402519.524000,
2850,-2122.860000,4512238.436000,
2925,-2098.340000,4404913.412000,
3000,-2080.540000,4335552.116000,
3075,-2064.940000,4269498.004000,
3150,-2101.780000,4420944.084000,
3225,-2102.540000,4429814.228000,
3300,-2111.020000,4462257.620000,
3375,-2122.140000,4508897.380000,
3450,-2142.420000,4595622.724000,
3525,-2122.900000,4513937.012000,
3600,-2058.900000,4243230.980000,
3675,-2088.140000,4374931.652000,
3750,-2100.860000,4420964.308000,
3825,-2084.220000,4351126.916000,
3900,-2116.820000,4485837.172000,
3975,-2123.060000,4511699.620000,
4050,-2121.420000,4505888.116000,
4125,-2124.180000,4524035.396000,
4200,-2127.540000,4538536.612000,
4275,-2140.700000,4591997.924000,
4350,-2148.740000,4621461.876000,
4425,-2146.660000,4619403.812000,
4500,-2142.860000,4597722.532000,
4575,-2151.220000,4635508.212000,
4650,-2163.460000,4690682.948000,
4725,-2140.100000,4589454.372000,
4800,-2128.740000,4539024.804000,
4875,-2118.300000,4492932.292000,
4950,-2144.140000,4604040.628000,
5025,-2142.820000,4598336.884000,
5100,-2113.780000,4486290.260000,
5175,-2174.060000,4739702.692000,
5250,-2159.340000,4670697.972000,
5325,-2142.580000,4596578.628000,
5400,-2136.700000,4572377.316000,
5475,-2150.780000,4635960.500000,
5550,-2119.740000,4497598.100000,
5625,-2108.020000,4450264.996000,
5700,-2137.300000,4582701.076000,
5775,-2157.300000,4663797.140000,
5850,-2141.380000,4592666.372000,
5925,-2119.060000,4498148.468000,
6000,-2094.300000,4396255.188000,
6075,-2129.060000,4538771.204000,
6150,-2088.860000,4368109.268000,
6225,-2149.620000,4627659.652000,
6300,-2158.660000,4671136.932000,
6375,-2133.340000,4562387.620000,
6450,-2146.900000,4617981.060000,
6525,-2190.300000,4806271.892000,
6600,-2157.460000,4665099.236000,
6675,-2129.100000,4541797.588000,
6750,-2141.820000,4596767.556000,
6825,-2157.740000,4666628.004000,
6900,-2166.620000,4700806.724000,
6975,-2163.660000,4688546.356000,
7050,-2133.540000,4559006.980000,
7125,-2125.020000,4523237.380000,
7200,-2138.780000,4584213.652000,
7275,-2113.300000,4474140.132000,
7350,-2125.580000,4530409.860000,
7425,-2142.540000,4597012.388000,
7500,-2181.940000,4771465.636000,
7575,-2140.900000,4589222.308000,
7650,-2175.140000,4738792.436000,
7725,-2183.620000,4775805.972000,
7800,-2166.780000,4702955.956000,
7875,-2197.700000,4837947.812000,
7950,-2155.860000,4654612.660000,
8025,-2154.660000,4648078.948000,
8100,-2167.420000,4706269.140000,
8175,-2161.260000,4675344.596000,
8250,-2191.900000,4817054.340000,
8325,-2182.260000,4768047.444000,
8400,-2206.540000,4871713.060000,
8475,-2186.820000,4787447.268000,
8550,-2153.980000,4645420.996000,
8625,-2201.860000,4856644.036000,
8700,-2216.940000,4921057.812000,
8775,-2197.020000,4832046.116000,
8850,-2182.180000,4765655.044000,
8925,-2169.020000,4711557.572000,
9000,-2188.980000,4799634.260000,
9075,-2182.420000,4772695.060000,
9150,-2238.140000,5016885.236000,
9225,-2230.260000,4984552.436000,
9300,-2218.900000,4931972.084000,
9375,-2238.260000,5019819.092000,
9450,-2226.260000,4963198.388000,
9525,-2206.980000,4875822.692000,
9600,-2204.300000,4866163.540000,
9675,-2240.220000,5027723.076000,
9750,-2240.380000,5035903.380000,
9825,-2275.300000,5188880.804000,
9900,-2277.460000,5203937.380000,
9975,-2234.980000,5002628.388000,
10050,-2249.420000,5064584.612000,
10125,-2241.900000,5029783.124000,
10200,-2246.980000,5051044.036000,
10275,-2201.340000,4858054.084000,
10350,-2237.780000,5015227.380000,
10425,-2225.180000,4958909.828000,
10500,-2221.940000,4943969.524000,
10575,-2237.660000,5009153.940000,
10650,-2199.940000,4844284.180000,
10725,-2219.940000,4936993.716000,
10800,-2218.820000,4927311.028000,
10875,-2220.220000,4939592.708000,
10950,-2221.820000,4953851.044000,
11025,-2248.820000,5063178.628000,
11100,-2211.420000,4892762.340000,
11175,-2208.420000,4881659.380000,
11250,-2242.860000,5034917.860000,
11325,-2202.380000,4855016.116000,
11400,-2224.860000,4961561.668000,
11475,-2226.060000,4958590.388000,
11550,-2250.700000,5072557.380000,
11625,-2239.460000,5020366.628000,
11700,-2231.380000,4983583.524000,
11775,-2237.620000,5014204.708000,
11850,-2258.340000,5106506.276000,
11925,-2265.900000,5139842.116000,
12000,-2300.140000,5295170.340000,
12075,-2250.940000,5074663.812000,
12150,-2240.660000,5027040.420000,
12225,-2250.180000,5069277.876000,
12300,-2281.300000,5209177.284000,
12375,-2232.700000,4992718.660000,
12450,-2213.180000,4907293.332000,
12525,-2229.660000,4979684.116000,
12600,-2223.780000,4950144.676000,
12675,-2255.820000,5094565.060000,
12750,-2254.020000,5082274.052000,
