# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 1.875, Jz = 0.1000
step,H,H^2
13050,-2896.960000,8397459.136000,
13125,-2845.640000,8101763.664000,
13200,-2859.440000,8184088.992000,
13275,-2849.840000,8129673.056000,
13350,-2876.840000,8287081.856000,
13425,-2885.520000,8338443.440000,
13500,-2837.200000,8059373.840000,
13575,-2869.720000,8240695.680000,
13650,-2850.200000,8127419.632000,
13725,-2855.120000,8155040.912000,
13800,-2851.520000,8134665.216000,
13875,-2858.600000,8175995.600000,
13950,-2852.800000,8142128.272000,
14025,-2875.400000,8274226.896000,
14100,-2833.200000,8035709.648000,
14175,-2832.040000,8026244.672000,
14250,-2843.800000,8090655.936000,
14325,-2855.200000,8160707.296000,
14400,-2827.760000,8006262.608000,
14475,-2855.360000,8156947.936000,
14550,-2871.400000,8252747.264000,
14625,-2851.560000,8137999.504000,
14700,-2848.400000,8119957.712000,
14775,-2851.080000,8135711.648000,
14850,-2841.640000,8081392.064000,
14925,-2835.600000,8047107.824000,
