# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 2.000, Jz = 0.1000
step,H,H^2
0,-6.600000,3325.664000,
75,-1740.960000,3031698.576000,
150,-1925.760000,3711180.176000,
225,-2000.960000,4006529.120000,
300,-2082.560000,4340933.824000,
375,-2125.120000,4518721.712000,
450,-2149.160000,4624566.416000,
525,-2176.440000,4743615.712000,
600,-2202.400000,4860487.184000,
675,-2212.560000,4903910.896000,
750,-2240.400000,5031441.680000,
825,-2246.000000,5049967.824000,
900,-2277.480000,5191318.480000,
975,-2296.120000,5274686.080000,
1050,-2322.000000,5393831.360000,
1125,-2356.080000,5554767.648000,
1200,-2353.040000,5538256.128000,
1275,-2349.880000,5526695.632000,
1350,-2359.320000,5573814.384000,
1425,-2335.280000,5457101.168000,
1500,-2377.880000,5656984.880000,
1575,-2333.960000,5450217.472000,
1650,-2389.520000,5711010.592000,
1725,-2398.400000,5753538.720000,
1800,-2378.120000,5662406.720000,
1875,-2392.120000,5726229.136000,
1950,-2423.360000,5881195.280000,
2025,-2394.760000,5741919.472000,
2100,-2404.240000,5788145.072000,
2175,-2399.080000,5762872.144000,
2250,-2436.680000,5942030.352000,
2325,-2424.440000,5882770.000000,
2400,-2437.080000,5941181.936000,
2475,-2409.600000,5809783.824000,
2550,-2431.280000,5917705.552000,
2625,-2437.400000,5949070.864000,
2700,-2457.480000,6048927.872000,
2775,-2460.200000,6056914.864000,
2850,-2448.120000,5994518.928000,
2925,-2434.120000,5927306.048000,
3000,-2458.080000,6047139.856000,
3075,-2479.600000,6154977.104000,
3150,-2477.440000,6140543.152000,
3225,-2482.360000,6164701.056000,
3300,-2500.800000,6258594.928000,
3375,-2516.480000,6338953.840000,
3450,-2491.280000,6212234.944000,
3525,-2512.080000,6317611.648000,
3600,-2515.680000,6335652.320000,
3675,-2484.320000,6173838.464000,
3750,-2499.400000,6252670.944000,
3825,-2531.520000,6416229.888000,
3900,-2532.200000,6416881.232000,
3975,-2543.200000,6473743.328000,
4050,-2513.920000,6327994.528000,
4125,-2520.880000,6364977.376000,
4200,-2521.400000,6368731.472000,
4275,-2510.800000,6319859.872000,
4350,-2523.400000,6372932.224000,
4425,-2531.120000,6417755.392000,
4500,-2513.520000,6324568.048000,
4575,-2514.840000,6326351.584000,
4650,-2516.720000,6339376.000000,
4725,-2528.040000,6395853.504000,
4800,-2526.840000,6391498.768000,
4875,-2560.760000,6563926.976000,
4950,-2563.240000,6577574.400000,
5025,-2548.520000,6500431.216000,
5100,-2539.200000,6452794.800000,
5175,-2572.280000,6623326.416000,
5250,-2569.720000,6612971.104000,
5325,-2568.600000,6605074.576000,
5400,-2598.680000,6759550.896000,
5475,-2577.280000,6650649.568000,
5550,-2567.840000,6602655.920000,
5625,-2572.240000,6624060.144000,
5700,-2535.800000,6444944.528000,
5775,-2568.840000,6606507.264000,
5850,-2569.440000,6606069.216000,
5925,-2591.840000,6721183.952000,
6000,-2614.320000,6837458.944000,
6075,-2597.480000,6749901.664000,
6150,-2619.560000,6864441.120000,
6225,-2644.520000,7005468.928000,
6300,-2640.320000,6974242.208000,
6375,-2621.320000,6875373.344000,
6450,-2635.080000,6949715.824000,
6525,-2626.840000,6908147.488000,
6600,-2646.520000,7006798.560000,
6675,-2670.880000,7140079.200000,
6750,-2656.560000,7064432.224000,
6825,-2670.920000,7143741.360000,
6900,-2687.560000,7229132.704000,
6975,-2695.080000,7274901.280000,
7050,-2662.320000,7096278.912000,
7125,-2644.560000,6998051.552000,
7200,-2640.800000,6980050.240000,
7275,-2643.520000,6998188.432000,
7350,-2660.400000,7081575.424000,
7425,-2645.400000,7005681.024000,
7500,-2657.800000,7070662.272000,
7575,-2638.320000,6970650.768000,
7650,-2621.520000,6879970.224000,
7725,-2639.280000,6976099.648000,
7800,-2649.400000,7030004.320000,
7875,-2641.360000,6987393.072000,
7950,-2656.880000,7066201.584000,
8025,-2660.360000,7085795.456000,
8100,-2671.760000,7152361.600000,
8175,-2644.960000,7008874.608000,
8250,-2648.440000,7020561.280000,
8325,-2634.440000,6943486.656000,
8400,-2646.440000,7004941.872000,
8475,-2616.200000,6847831.792000,
8550,-2634.200000,6949461.168000,
8625,-2629.800000,6917444.576000,
8700,-2638.200000,6970137.680000,
8775,-2649.240000,7025571.872000,
8850,-2658.160000,7070671.248000,
8925,-2645.000000,7004314.720000,
9000,-2638.920000,6967734.608000,
9075,-2691.760000,7251916.512000,
9150,-2636.920000,6960084.464000,
9225,-2662.320000,7095557.648000,
9300,-2680.320000,7188366.112000,
9375,-2679.840000,7184458.512000,
9450,-2666.840000,7119745.440000,
9525,-2674.120000,7153888.640000,
9600,-2705.360000,7322476.112000,
9675,-2671.120000,7139725.328000,
9750,-2653.160000,7043434.576000,
9825,-2634.480000,6946452.944000,
9900,-2662.720000,7095640.496000,
9975,-2644.080000,7000295.792000,
10050,-2655.400000,7058011.632000,
10125,-2671.840000,7144097.792000,
10200,-2687.200000,7226757.696000,
10275,-2658.800000,7071980.048000,
10350,-2674.600000,7160704.928000,
10425,-2701.720000,7304057.872000,
10500,-2675.960000,7167933.440000,
10575,-2685.680000,7221903.824000,
10650,-2695.720000,7275266.256000,
10725,-2666.800000,7119317.664000,
10800,-2705.280000,7325800.656000,
10875,-2688.040000,7233477.280000,
10950,-2647.800000,7017358.224000,
11025,-2651.160000,7037088.288000,
11100,-2677.600000,7176260.096000,
11175,-2667.680000,7120188.688000,
11250,-2674.200000,7154067.088000,
11325,-2664.920000,7105684.656000,
11400,-2703.920000,7316647.216000,
11475,-2690.360000,7245221.152000,
11550,-2689.920000,7242851.616000,
11625,-2678.040000,7177743.488000,
11700,-2693.440000,7259792.800000,
11775,-2664.280000,7101561.376000,
11850,-2696.440000,7273839.760000,
11925,-2666.240000,7110547.312000,
12000,-2694.840000,7264619.776000,
12075,-2675.920000,7164402.064000,
12150,-2686.720000,7220726.480000,
12225,-2724.640000,7425051.056000,
12300,-2731.240000,7463343.488000,
12375,-2725.440000,7432111.728000,
12450,-2717.560000,7394558.208000,
12525,-2688.280000,7231048.192000,
12600,-2698.040000,7285460.176000,
12675,-2699.600000,7297899.088000,
12750,-2680.160000,7190028.880000,
12825,-2671.920000,7147525.872000,
12900,-2682.480000,7202788.736000,
12975,-2710.480000,7354269.024000,
13050,-2702.040000,7311025.120000,
13125,-2720.160000,7405611.216000,
13200,-2703.200000,7317540.240000,
13275,-2724.560000,7433116.944000,
13350,-2716.840000,7388060.464000,
13425,-2719.640000,7403168.848000,
13500,-2710.400000,7357517.712000,
13575,-2731.680000,7474186.800000,
13650,-2757.720000,7616006.400000,
13725,-2730.360000,7464924.176000,
13800,-2771.040000,7692378.800000,
13875,-2742.920000,7544503.312000,
13950,-2741.800000,7535457.872000,
14025,-2764.640000,7661423.296000,
14100,-2788.800000,7793429.264000,
14175,-2728.760000,7457495.280000,
14250,-2782.040000,7747784.048000,
14325,-2781.600000,7747372.592000,
14400,-2740.440000,7521279.344000,
14475,-2748.040000,7561287.376000,
14550,-2755.560000,7597341.792000,
14625,-2765.520000,7656761.312000,
14700,-2733.760000,7479827.872000,
14775,-2726.080000,7442383.600000,
14850,-2738.720000,7506737.360000,
14925,-2737.160000,7499829.696000,
