# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 1.750, Jz = 0.1000
step,H,H^2
0,0.940000,3580.548000,
75,-1827.900000,3343424.996000,
150,-2002.740000,4015785.508000,
225,-2093.220000,4384963.476000,
300,-2175.380000,4736537.220000,
375,-2199.780000,4841972.164000,
450,-2261.340000,5117309.604000,
525,-2307.620000,5330335.988000,
600,-2316.260000,5368099.540000,
675,-2367.700000,5608712.804000,
750,-2362.500000,5585272.324000,
825,-2367.340000,5605474.596000,
900,-2414.140000,5833161.876000,
975,-2395.500000,5740758.228000,
1050,-2450.180000,6006020.612000,
1125,-2454.740000,6028106.212000,
1200,-2484.060000,6174330.580000,
1275,-2466.060000,6085615.492000,
1350,-2504.860000,6279537.652000,
1425,-2543.260000,6476509.780000,
1500,-2517.300000,6344140.932000,
1575,-2547.780000,6497459.604000,
1650,-2565.820000,6587624.324000,
1725,-2586.740000,6695518.820000,
1800,-2569.860000,6608383.684000,
1875,-2593.180000,6727314.132000,
1950,-2594.100000,6731598.020000,
2025,-2628.180000,6911363.924000,
2100,-2615.620000,6842858.196000,
2175,-2628.740000,6912252.356000,
2250,-2626.980000,6906688.564000,
2325,-2628.780000,6916958.100000,
2400,-2631.540000,6930787.620000,
2475,-2629.540000,6918430.276000,
2550,-2605.820000,6800139.380000,
2625,-2652.860000,7041313.044000,
2700,-2658.540000,7069857.028000,
2775,-2648.740000,7021488.900000,
2850,-2647.140000,7009596.468000,
2925,-2694.660000,7265725.268000,
3000,-2690.380000,7246127.332000,
3075,-2669.100000,7127013.732000,
3150,-2661.300000,7088285.060000,
3225,-2647.740000,7015784.628000,
3300,-2665.180000,7106686.180000,
3375,-2680.460000,7188261.620000,
3450,-2688.180000,7231084.916000,
3525,-2688.780000,7235449.524000,
3600,-2712.340000,7363250.964000,
3675,-2707.260000,7336224.660000,
3750,-2710.980000,7355673.940000,
3825,-2731.820000,7474597.092000,
3900,-2727.620000,7447842.276000,
3975,-2739.300000,7509400.356000,
4050,-2740.900000,7519446.420000,
4125,-2740.020000,7511548.868000,
4200,-2743.900000,7535331.156000,
4275,-2738.820000,7507389.300000,
4350,-2762.940000,7643931.076000,
4425,-2756.820000,7610817.172000,
4500,-2744.660000,7538631.780000,
4575,-2778.420000,7723976.052000,
4650,-2760.980000,7629435.204000,
4725,-2770.180000,7680983.108000,
4800,-2761.820000,7632709.380000,
4875,-2757.460000,7610821.588000,
4950,-2760.220000,7625329.236000,
5025,-2763.580000,7647282.324000,
5100,-2781.740000,7744696.804000,
5175,-2789.820000,7797173.188000,
5250,-2803.140000,7866719.476000,
5325,-2788.580000,7783500.212000,
5400,-2791.060000,7797115.508000,
5475,-2766.780000,7663449.860000,
5550,-2791.260000,7799911.332000,
5625,-2788.860000,7786723.652000,
5700,-2811.260000,7908094.596000,
5775,-2813.420000,7928218.564000,
5850,-2783.540000,7753981.044000,
5925,-2788.380000,7781144.164000,
6000,-2803.100000,7865178.596000,
6075,-2801.820000,7856750.164000,
6150,-2808.300000,7894382.836000,
6225,-2811.460000,7915229.124000,
6300,-2817.740000,7947182.580000,
6375,-2804.940000,7874963.556000,
6450,-2829.220000,8011443.428000,
6525,-2824.580000,7987914.740000,
6600,-2850.340000,8127750.084000,
6675,-2886.140000,8334090.148000,
6750,-2880.700000,8303521.892000,
6825,-2879.140000,8292684.404000,
6900,-2870.340000,8244452.548000,
6975,-2840.300000,8071500.484000,
7050,-2846.180000,8106768.740000,
7125,-2831.860000,8023843.716000,
7200,-2852.060000,8139004.532000,
7275,-2856.740000,8167044.356000,
7350,-2854.420000,8150302.228000,
7425,-2856.740000,8164950.116000,
7500,-2850.100000,8133355.764000,
7575,-2878.100000,8292747.060000,
7650,-2832.060000,8028563.748000,
7725,-2841.420000,8079985.428000,
7800,-2858.100000,8173703.972000,
7875,-2837.340000,8053974.436000,
7950,-2853.140000,8143814.196000,
8025,-2836.140000,8046987.572000,
8100,-2823.260000,7977381.524000,
8175,-2872.340000,8255787.956000,
8250,-2860.940000,8190014.452000,
8325,-2853.300000,8145577.732000,
8400,-2888.540000,8346136.788000,
8475,-2868.900000,8233205.108000,
8550,-2883.500000,8318545.492000,
8625,-2875.540000,8270641.844000,
8700,-2877.180000,8279962.740000,
8775,-2889.340000,8352949.012000,
8850,-2871.900000,8251507.124000,
8925,-2892.100000,8367433.028000,
9000,-2884.100000,8319099.716000,
9075,-2908.700000,8463839.172000,
9150,-2918.940000,8523054.372000,
9225,-2896.060000,8392248.564000,
9300,-2910.500000,8476857.172000,
9375,-2918.460000,8522885.380000,
9450,-2908.180000,8462244.356000,
9525,-2907.180000,8456209.172000,
9600,-2929.700000,8588175.108000,
9675,-2919.900000,8531383.028000,
9750,-2927.140000,8572514.692000,
9825,-2935.700000,8620858.596000,
9900,-2870.260000,8241381.748000,
9975,-2890.820000,8364343.460000,
10050,-2890.980000,8360770.100000,
10125,-2909.420000,8470528.276000,
10200,-2895.500000,8389080.356000,
10275,-2891.820000,8368613.524000,
10350,-2895.900000,8391257.844000,
10425,-2887.620000,8341839.188000,
10500,-2893.180000,8374647.748000,
10575,-2908.380000,8463318.436000,
10650,-2904.420000,8440957.540000,
10725,-2900.300000,8419460.292000,
10800,-2923.300000,8549021.940000,
10875,-2926.100000,8564237.348000,
10950,-2927.860000,8580541.444000,
11025,-2896.100000,8390565.252000,
11100,-2914.500000,8497990.244000,
11175,-2898.580000,8406885.908000,
11250,-2927.060000,8573516.196000,
11325,-2911.300000,8479050.980000,
11400,-2918.260000,8521380.020000,
11475,-2912.100000,8485105.572000,
11550,-2916.900000,8513673.332000,
11625,-2901.460000,8424969.844000,
11700,-2911.100000,8479348.868000,
11775,-2947.380000,8691254.164000,
11850,-2948.780000,8698927.524000,
11925,-2941.460000,8654962.404000,
12000,-2940.060000,8646985.268000,
12075,-2929.140000,8584196.196000,
12150,-2930.980000,8593545.028000,
12225,-2922.980000,8547418.484000,
12300,-2936.060000,8624712.404000,
12375,-2934.540000,8617791.460000,
12450,-2923.620000,8551579.908000,
12525,-2926.380000,8567655.972000,
12600,-2947.420000,8690399.828000,
12675,-2938.660000,8641328.772000,
12750,-2953.060000,8726483.172000,
12825,-2964.740000,8798526.004000,
12900,-2982.780000,8905131.444000,
12975,-2955.540000,8741661.652000,
13050,-2946.420000,8689094.468000,
13125,-2974.900000,8855605.652000,
13200,-2955.340000,8741455.236000,
13275,-2967.860000,8812856.324000,
13350,-2954.460000,8734207.044000,
13425,-2946.260000,8684481.556000,
13500,-2983.260000,8902623.700000,
13575,-2968.540000,8816997.956000,
13650,-2986.500000,8925103.300000,
13725,-2971.540000,8837107.732000,
13800,-2964.620000,8794383.972000,
13875,-2935.940000,8623963.556000,
13950,-2954.300000,8731412.372000,
14025,-2993.620000,8966622.452000,
14100,-2979.140000,8877637.316000,
14175,-2945.820000,8684432.788000,
14250,-3005.940000,9042633.028000,
14325,-2964.540000,8793335.652000,
14400,-2988.580000,8934005.972000,
14475,-2969.100000,8825767.892000,
14550,-2959.940000,8768385.972000,
14625,-2983.060000,8905077.492000,
14700,-3000.820000,9009308.196000,
14775,-3002.220000,9018760.340000,
14850,-2980.300000,8887393.764000,
14925,-2969.900000,8824197.972000,
