# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 2.500, Jz = 0.1000
step,H,H^2
0,-4.240000,3237.048000,
75,-1535.800000,2365180.632000,
150,-1646.440000,2712081.800000,
225,-1672.360000,2800209.880000,
300,-1703.840000,2907358.696000,
375,-1722.120000,2973881.848000,
450,-1802.880000,3256655.240000,
525,-1785.800000,3198707.944000,
600,-1821.280000,3322625.864000,
675,-1803.920000,3260699.320000,
750,-1825.080000,3337445.400000,
825,-1847.760000,3418394.056000,
900,-1835.520000,3373950.408000,
975,-1873.240000,3519243.432000,
1050,-1831.880000,3367358.520000,
1125,-1848.520000,3425940.456000,
1200,-1853.320000,3440730.984000,
1275,-1867.320000,3494210.888000,
1350,-1841.240000,3396437.144000,
1425,-1864.560000,3489431.912000,
1500,-1882.920000,3554223.336000,
1575,-1900.280000,3615648.440000,
1650,-1930.840000,3733873.016000,
1725,-1922.040000,3697559.752000,
1800,-1870.040000,3503637.352000,
1875,-1925.680000,3716120.728000,
1950,-1922.080000,3699841.096000,
2025,-1871.160000,3508211.304000,
2100,-1933.840000,3745483.720000,
2175,-1878.520000,3535585.928000,
2250,-1959.240000,3849522.088000,
2325,-1906.840000,3644305.864000,
2400,-1905.240000,3634270.360000,
2475,-1942.120000,3779176.968000,
2550,-1926.160000,3717086.312000,
2625,-1922.360000,3705364.632000,
2700,-1898.440000,3613962.728000,
2775,-1893.320000,3588702.264000,
2850,-1912.560000,3660042.264000,
2925,-1876.920000,3526081.336000,
3000,-1904.320000,3630993.592000,
3075,-1922.240000,3698420.888000,
3150,-1878.760000,3536145.480000,
3225,-1857.120000,3450483.464000,
3300,-1914.800000,3670360.664000,
3375,-1926.520000,3713293.448000,
3450,-1918.560000,3686378.520000,
3525,-1947.000000,3797645.208000,
3600,-1914.560000,3668249.752000,
3675,-1935.480000,3751915.848000,
3750,-1913.040000,3663094.856000,
3825,-1964.720000,3864320.680000,
3900,-1915.360000,3674132.456000,
3975,-1955.680000,3831938.024000,
4050,-1918.720000,3685644.968000,
4125,-1931.800000,3740621.800000,
4200,-1946.360000,3795950.856000,
4275,-1958.600000,3841422.056000,
4350,-1970.520000,3886020.520000,
4425,-1959.720000,3844047.448000,
4500,-1971.600000,3894191.784000,
4575,-1985.840000,3950000.120000,
4650,-1997.560000,3995549.416000,
4725,-1986.160000,3957261.048000,
4800,-1960.000000,3854442.792000,
4875,-1969.120000,3887684.280000,
4950,-1977.320000,3917553.704000,
5025,-1983.640000,3944850.088000,
5100,-1966.160000,3874929.512000,
5175,-1974.440000,3905420.344000,
5250,-2002.720000,4019689.064000,
5325,-1997.240000,3996597.208000,
5400,-1999.600000,4002936.040000,
5475,-1973.480000,3897411.912000,
5550,-2012.880000,4058525.496000,
5625,-2019.960000,4083649.848000,
5700,-2011.920000,4056687.784000,
5775,-2002.400000,4019240.728000,
5850,-2014.960000,4064854.120000,
5925,-1987.920000,3958187.976000,
6000,-2022.360000,4096542.456000,
6075,-2015.760000,4066430.504000,
6150,-1992.640000,3973674.696000,
6225,-2026.160000,4107006.696000,
6300,-2032.760000,4135501.336000,
6375,-1956.920000,3836320.024000,
6450,-1977.520000,3915662.648000,
6525,-2040.160000,4168586.648000,
6600,-2041.880000,4179423.992000,
6675,-2014.560000,4060681.240000,
6750,-2011.240000,4051481.416000,
6825,-2037.640000,4158072.680000,
6900,-1993.160000,3979479.304000,
6975,-2022.640000,4099641.896000,
7050,-2012.880000,4057393.768000,
7125,-2023.880000,4100972.376000,
7200,-2022.800000,4097791.752000,
7275,-2050.040000,4204708.792000,
7350,-2036.280000,4153089.080000,
7425,-2047.840000,4207625.336000,
7500,-2027.480000,4121081.816000,
7575,-2057.360000,4237298.328000,
7650,-2018.360000,4078782.088000,
7725,-2050.440000,4209462.472000,
7800,-1981.080000,3927973.064000,
7875,-2010.200000,4045885.592000,
7950,-1997.240000,3996124.920000,
8025,-1999.840000,4005907.048000,
8100,-2009.480000,4046852.040000,
8175,-2014.560000,4065414.344000,
8250,-2011.360000,4051330.168000,
8325,-2000.400000,4011057.608000,
8400,-2056.400000,4238623.352000,
8475,-2022.800000,4107534.408000,
8550,-2020.760000,4097955.912000,
8625,-1993.840000,3982982.312000,
8700,-2039.800000,4168709.384000,
8775,-2044.080000,4185669.800000,
8850,-1989.320000,3966397.512000,
8925,-1994.840000,3983774.264000,
9000,-2029.040000,4125063.400000,
9075,-2009.240000,4047243.272000,
9150,-2003.000000,4019956.984000,
9225,-2027.600000,4114371.752000,
9300,-2045.800000,4194242.648000,
9375,-2022.800000,4096756.072000,
9450,-2012.320000,4051938.648000,
9525,-2015.080000,4064546.120000,
9600,-1996.560000,3997461.944000,
9675,-2006.080000,4033831.624000,
9750,-1998.840000,4000212.360000,
9825,-2009.600000,4044590.248000,
9900,-2024.960000,4105928.376000,
9975,-2010.000000,4043238.488000,
10050,-2003.120000,4016047.832000,
10125,-2011.560000,4050642.312000,
10200,-1959.120000,3845869.624000,
10275,-1982.640000,3934594.856000,
10350,-1997.600000,3994921.336000,
10425,-1993.120000,3976810.120000,
10500,-2005.200000,4026525.448000,
10575,-2008.000000,4038668.552000,
10650,-1998.440000,4002082.600000,
10725,-2010.280000,4045697.624000,
10800,-2003.960000,4019620.664000,
10875,-1981.920000,3934083.416000,
10950,-1978.440000,3923608.072000,
11025,-1976.400000,3914728.504000,
11100,-2003.040000,4016747.224000,
11175,-1979.360000,3924678.056000,
11250,-1965.920000,3877083.016000,
11325,-1984.520000,3941164.072000,
11400,-1994.640000,3983671.992000,
11475,-2028.840000,4124348.008000,
11550,-2039.480000,4171689.272000,
11625,-2040.360000,4172880.216000,
11700,-1998.120000,4005695.048000,
11775,-1997.680000,3998062.856000,
11850,-1994.560000,3981404.648000,
11925,-1960.400000,3848541.464000,
12000,-1987.400000,3956892.104000,
12075,-2006.520000,4034018.840000,
12150,-1985.440000,3944835.096000,
12225,-2038.440000,4157865.400000,
12300,-2025.040000,4103668.392000,
12375,-2053.160000,4228669.912000,
12450,-2075.320000,4314204.056000,
12525,-2076.520000,4322017.448000,
12600,-2053.440000,4221630.056000,
12675,-2053.000000,4223566.936000,
12750,-2043.880000,4187191.144000,
12825,-2021.880000,4094839.576000,
12900,-2044.360000,4188230.648000,
12975,-2011.120000,4050970.808000,
13050,-2058.160000,4252233.288000,
13125,-2057.000000,4235840.856000,
13200,-2054.880000,4229004.584000,
13275,-2058.520000,4252229.160000,
13350,-2049.240000,4212955.816000,
13425,-2037.800000,4162654.056000,
13500,-2023.800000,4101594.168000,
13575,-1990.600000,3964307.976000,
13650,-2009.600000,4042180.568000,
13725,-1999.240000,3999230.040000,
13800,-1975.840000,3910012.280000,
13875,-2029.120000,4119592.920000,
13950,-2050.080000,4206719.944000,
14025,-2046.720000,4193744.616000,
14100,-2033.920000,4142220.904000,
14175,-2001.520000,4010900.664000,
14250,-2015.400000,4069849.688000,
14325,-1996.640000,3992007.096000,
14400,-1973.320000,3897063.656000,
14475,-1975.880000,3910439.464000,
14550,-2042.920000,4176210.808000,
14625,-2001.760000,4011374.760000,
14700,-2043.720000,4183895.960000,
14775,-2052.560000,4215445.784000,
14850,-2057.760000,4238551.960000,
14925,-2019.000000,4080724.152000,
