# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 2.125, Jz = 0.1000
step,H,H^2
0,-0.980000,3401.332000,
75,-1708.660000,2921540.468000,
150,-1796.860000,3232941.316000,
225,-1923.060000,3701004.180000,
300,-1998.060000,3994791.780000,
375,-2019.460000,4082995.012000,
450,-2040.140000,4169437.316000,
525,-2073.220000,4305837.716000,
600,-2092.580000,4384620.036000,
675,-2111.260000,4461110.228000,
750,-2143.140000,4602898.964000,
825,-2167.220000,4705404.836000,
900,-2158.460000,4663992.292000,
975,-2208.020000,4879550.580000,
1050,-2206.740000,4874592.708000,
1125,-2211.100000,4895963.284000,
1200,-2247.340000,5054896.004000,
1275,-2234.740000,4998308.212000,
1350,-2243.020000,5036536.964000,
1425,-2236.020000,5008839.412000,
1500,-2254.020000,5085603.396000,
1575,-2280.140000,5204686.692000,
1650,-2263.700000,5131102.340000,
1725,-2311.820000,5354694.884000,
1800,-2324.580000,5410146.756000,
1875,-2328.020000,5427545.972000,
1950,-2327.820000,5429365.860000,
2025,-2301.940000,5303953.444000,
2100,-2290.780000,5253696.468000,
2175,-2350.780000,5529567.508000,
2250,-2318.060000,5377258.148000,
2325,-2336.540000,5463791.908000,
2400,-2350.700000,5531608.740000,
2475,-2362.340000,5589183.092000,
2550,-2363.620000,5590000.932000,
2625,-2368.780000,5618549.236000,
2700,-2348.900000,5522903.300000,
2775,-2387.420000,5708125.300000,
2850,-2359.820000,5575894.724000,
2925,-2359.660000,5578287.236000,
3000,-2372.820000,5636182.884000,
3075,-2384.620000,5690915.844000,
3150,-2395.100000,5745757.412000,
3225,-2375.900000,5652179.156000,
3300,-2361.220000,5590460.948000,
3375,-2370.660000,5624581.892000,
3450,-2358.620000,5568372.132000,
3525,-2371.460000,5635761.604000,
3600,-2366.380000,5605443.460000,
3675,-2375.940000,5653286.020000,
3750,-2374.220000,5649442.324000,
3825,-2386.300000,5701637.316000,
3900,-2401.540000,5774641.460000,
3975,-2385.340000,5695270.196000,
4050,-2411.860000,5823747.924000,
4125,-2387.460000,5710934.724000,
4200,-2383.340000,5688584.244000,
4275,-2385.540000,5696309.444000,
4350,-2395.340000,5747447.588000,
4425,-2405.820000,5793724.420000,
4500,-2416.660000,5844166.964000,
4575,-2396.140000,5755143.652000,
4650,-2408.020000,5811231.684000,
4725,-2380.820000,5671429.092000,
4800,-2383.940000,5694001.588000,
