# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 3.367, Jz = 1.0000
step,H,delta^2
100000,-18212.400000,0.754553
100020,-18182.000000,0.753418
100040,-18108.800000,0.750488
100060,-18019.200000,0.747131
100080,-18024.800000,0.746936
100100,-18106.800000,0.749512
100120,-18108.800000,0.748425
100140,-18134.400000,0.751941
100160,-18216.000000,0.752222
100180,-18190.000000,0.752039
100200,-18160.800000,0.750952
100220,-18109.200000,0.750977
100240,-18137.600000,0.750098
100260,-18141.200000,0.750684
100280,-18175.600000,0.752112
100300,-18254.400000,0.755383
100320,-18199.600000,0.752258
100340,-18217.600000,0.753723
100360,-18234.000000,0.752747
100380,-18223.200000,0.750732
100400,-18076.000000,0.746313
100420,-18066.400000,0.747229
100440,-18080.800000,0.747839
100460,-18086.400000,0.747205
100480,-17994.800000,0.742786
100500,-17985.600000,0.742737
100520,-18006.800000,0.743799
100540,-17995.200000,0.742004
100560,-18052.000000,0.747449
100580,-18082.800000,0.747034
100600,-18070.000000,0.744641
100620,-18026.000000,0.744275
100640,-18056.400000,0.745410
100660,-18115.200000,0.745984
100680,-18115.600000,0.744812
100700,-18189.200000,0.752466
100720,-18230.000000,0.753760
100740,-18173.600000,0.750391
100760,-18180.800000,0.751221
100780,-18191.200000,0.751880
100800,-18131.200000,0.750232
100820,-18176.400000,0.751489
100840,-18112.800000,0.747998
100860,-18095.200000,0.747156
100880,-18072.800000,0.747192
100900,-18108.000000,0.748413
100920,-18096.800000,0.746338
100940,-18153.200000,0.748572
100960,-18150.400000,0.748413
100980,-18134.800000,0.748987
101000,-18147.600000,0.747705
101020,-18138.000000,0.748560
101040,-18215.200000,0.748718
101060,-18193.600000,0.750500
101080,-18161.200000,0.748328
101100,-18250.400000,0.752869
101120,-18136.800000,0.749475
101140,-18100.400000,0.747644
101160,-18040.800000,0.747729
101180,-18048.000000,0.743323
101200,-18052.400000,0.747571
101220,-18116.000000,0.746875
101240,-18088.400000,0.747485
101260,-18044.800000,0.745264
101280,-18071.200000,0.747205
101300,-18080.000000,0.748608
101320,-18124.000000,0.748987
101340,-18050.800000,0.746057
101360,-18068.800000,0.747473
101380,-18028.800000,0.745813
101400,-18112.000000,0.748267
101420,-18185.200000,0.751331
101440,-18188.400000,0.750671
101460,-18155.200000,0.750464
101480,-18116.800000,0.746167
101500,-18023.600000,0.742505
101520,-18031.600000,0.743079
101540,-18122.800000,0.746558
101560,-18127.200000,0.748572
101580,-18045.200000,0.743884
101600,-18004.400000,0.743201
101620,-18002.800000,0.741650
101640,-17998.800000,0.741858
101660,-17985.600000,0.742834
101680,-18046.000000,0.744189
101700,-17892.000000,0.739478
101720,-17987.200000,0.741174
101740,-17991.600000,0.739746
101760,-17984.800000,0.740710
101780,-18068.800000,0.745398
101800,-18061.200000,0.745776
101820,-18127.600000,0.747778
101840,-18088.400000,0.745129
101860,-18018.800000,0.745264
101880,-18086.000000,0.744385
101900,-18127.200000,0.748743
101920,-18078.400000,0.744995
101940,-18141.600000,0.749512
101960,-18094.400000,0.747498
101980,-18043.600000,0.746350
102000,-18048.400000,0.743970
102020,-18128.400000,0.747168
102040,-18060.000000,0.745789
102060,-18116.800000,0.747095
102080,-18089.200000,0.746094
102100,-18139.600000,0.748315
102120,-18060.400000,0.746558
102140,-18141.200000,0.747351
102160,-18109.200000,0.745837
102180,-18043.600000,0.745398
102200,-18081.200000,0.745715
102220,-18042.000000,0.741455
102240,-18004.800000,0.742932
102260,-17953.600000,0.742261
