# Ensemble size: 10, Sample period: 20, Burn in steps: 1000000, Samples: 1000
# L = 32, Lz = 8, T = 1.653, Jz = 1.0000
step,H,delta^2
1000000,-22305.200000,0.939526
1000020,-22303.600000,0.939844
1000040,-22285.600000,0.938757
1000060,-22296.800000,0.939917
1000080,-22316.400000,0.940063
1000100,-22293.600000,0.938818
1000120,-22286.400000,0.939221
1000140,-22299.200000,0.939697
1000160,-22316.400000,0.940234
1000180,-22290.800000,0.938904
1000200,-22292.400000,0.938586
1000220,-22288.000000,0.938989
1000240,-22290.000000,0.938586
1000260,-22288.000000,0.938782
1000280,-22299.600000,0.939063
1000300,-22281.600000,0.938708
1000320,-22288.800000,0.938904
1000340,-22287.200000,0.939026
1000360,-22297.200000,0.940149
1000380,-22301.600000,0.939966
1000400,-22293.600000,0.939624
1000420,-22291.200000,0.939392
1000440,-22291.600000,0.938843
1000460,-22297.200000,0.939148
1000480,-22302.800000,0.939600
1000500,-22318.400000,0.939709
1000520,-22302.400000,0.939014
1000540,-22306.400000,0.939233
1000560,-22320.000000,0.940210
1000580,-22298.800000,0.939575
1000600,-22294.800000,0.939307
1000620,-22306.400000,0.939417
1000640,-22299.600000,0.939575
1000660,-22310.000000,0.939844
1000680,-22306.000000,0.939966
1000700,-22309.600000,0.940320
1000720,-22314.000000,0.940320
1000740,-22320.800000,0.940247
1000760,-22295.600000,0.939099
1000780,-22320.800000,0.940417
1000800,-22317.200000,0.940320
1000820,-22318.000000,0.941064
1000840,-22297.600000,0.940076
1000860,-22310.400000,0.940576
1000880,-22316.400000,0.940723
1000900,-22324.000000,0.940784
1000920,-22318.400000,0.940588
1000940,-22330.800000,0.940845
1000960,-22326.800000,0.940356
1000980,-22318.400000,0.940125
1001000,-22318.400000,0.940320
1001020,-22320.000000,0.939856
1001040,-22298.800000,0.938562
1001060,-22314.400000,0.939587
1001080,-22295.200000,0.939221
1001100,-22305.600000,0.940234
1001120,-22301.600000,0.939331
1001140,-22294.000000,0.939136
1001160,-22308.400000,0.939868
1001180,-22321.200000,0.939954
1001200,-22312.800000,0.939929
1001220,-22305.200000,0.939502
1001240,-22306.800000,0.939893
1001260,-22312.400000,0.939697
1001280,-22305.200000,0.939282
1001300,-22298.800000,0.939099
1001320,-22302.400000,0.939087
1001340,-22283.600000,0.938098
1001360,-22292.000000,0.938293
1001380,-22308.000000,0.939026
1001400,-22300.400000,0.939343
1001420,-22298.800000,0.939001
1001440,-22303.600000,0.939246
1001460,-22300.400000,0.939392
1001480,-22313.600000,0.939429
1001500,-22297.200000,0.939063
1001520,-22289.200000,0.939099
1001540,-22306.000000,0.938940
1001560,-22300.400000,0.938684
1001580,-22314.400000,0.939612
1001600,-22300.000000,0.938574
1001620,-22316.400000,0.939661
1001640,-22304.000000,0.939111
1001660,-22292.400000,0.938562
1001680,-22312.000000,0.939465
1001700,-22306.400000,0.939441
1001720,-22328.800000,0.940454
1001740,-22315.600000,0.940234
1001760,-22326.400000,0.940662
1001780,-22309.600000,0.939697
1001800,-22309.600000,0.940234
1001820,-22305.200000,0.939673
1001840,-22318.400000,0.940442
1001860,-22294.800000,0.939783
1001880,-22315.200000,0.940063
1001900,-22314.400000,0.940344
1001920,-22299.600000,0.939551
1001940,-22281.600000,0.938904
1001960,-22288.400000,0.938586
1001980,-22293.200000,0.938354
1002000,-22302.400000,0.939368
1002020,-22293.600000,0.938147
1002040,-22304.000000,0.939148
1002060,-22289.200000,0.938379
1002080,-22303.200000,0.938892
1002100,-22298.800000,0.938708
1002120,-22299.200000,0.938391
1002140,-22320.000000,0.938989
1002160,-22315.200000,0.939453
1002180,-22320.000000,0.939600
1002200,-22294.400000,0.938696
1002220,-22300.400000,0.938562
1002240,-22304.800000,0.939331
1002260,-22307.600000,0.939294
1002280,-22289.600000,0.938940
1002300,-22290.000000,0.938831
1002320,-22306.000000,0.939551
1002340,-22315.200000,0.939673
1002360,-22316.400000,0.939148
1002380,-22322.400000,0.939404
1002400,-22305.600000,0.938733
1002420,-22311.200000,0.939624
1002440,-22304.400000,0.938940
1002460,-22311.600000,0.939587
1002480,-22305.200000,0.939404
1002500,-22302.800000,0.939075
1002520,-22300.800000,0.938904
1002540,-22294.000000,0.938989
1002560,-22318.000000,0.939771
1002580,-22308.000000,0.938745
1002600,-22325.600000,0.939490
1002620,-22312.400000,0.938843
1002640,-22306.400000,0.938611
1002660,-22306.800000,0.939099
1002680,-22296.000000,0.938660
1002700,-22302.400000,0.939319
1002720,-22308.000000,0.938867
1002740,-22301.600000,0.939270
1002760,-22317.600000,0.939624
1002780,-22319.600000,0.939514
1002800,-22312.400000,0.939221
1002820,-22300.800000,0.939197
1002840,-22297.600000,0.939185
1002860,-22295.600000,0.938940
1002880,-22313.200000,0.939600
1002900,-22314.000000,0.940210
1002920,-22320.800000,0.940125
1002940,-22320.000000,0.939917
1002960,-22330.800000,0.940491
1002980,-22330.400000,0.940674
1003000,-22319.200000,0.941260
1003020,-22319.200000,0.940393
1003040,-22316.800000,0.940491
1003060,-22322.800000,0.940735
1003080,-22306.800000,0.940515
1003100,-22300.000000,0.939966
1003120,-22333.600000,0.940662
1003140,-22330.000000,0.940576
1003160,-22312.400000,0.939490
1003180,-22319.200000,0.940479
1003200,-22308.400000,0.940125
1003220,-22308.400000,0.939844
1003240,-22298.800000,0.939832
1003260,-22292.400000,0.939099
1003280,-22284.000000,0.938745
1003300,-22286.400000,0.938428
1003320,-22286.400000,0.938013
1003340,-22298.800000,0.938745
1003360,-22313.200000,0.939038
1003380,-22298.800000,0.938904
1003400,-22309.600000,0.939453
1003420,-22313.200000,0.939954
1003440,-22325.600000,0.940381
1003460,-22321.600000,0.940515
1003480,-22336.000000,0.940906
1003500,-22308.400000,0.939893
1003520,-22314.800000,0.939771
1003540,-22318.000000,0.940759
1003560,-22328.000000,0.940759
1003580,-22320.400000,0.940369
1003600,-22324.400000,0.939734
1003620,-22321.200000,0.939905
1003640,-22318.400000,0.939722
1003660,-22316.400000,0.939136
1003680,-22314.000000,0.938745
1003700,-22310.400000,0.940076
1003720,-22319.600000,0.939783
1003740,-22314.800000,0.939514
1003760,-22313.600000,0.939233
1003780,-22312.400000,0.939270
1003800,-22316.000000,0.938879
1003820,-22308.400000,0.938428
1003840,-22313.200000,0.938354
1003860,-22316.400000,0.938660
1003880,-22320.800000,0.938696
1003900,-22316.800000,0.938867
1003920,-22292.800000,0.937842
1003940,-22300.000000,0.937769
1003960,-22313.600000,0.938062
1003980,-22307.200000,0.937598
1004000,-22297.200000,0.937817
1004020,-22306.800000,0.938208
1004040,-22319.200000,0.938513
1004060,-22311.600000,0.938171
1004080,-22326.000000,0.938391
1004100,-22320.400000,0.938745
1004120,-22307.600000,0.938269
1004140,-22296.800000,0.938208
1004160,-22311.600000,0.938550
1004180,-22319.200000,0.938953
1004200,-22324.000000,0.938599
1004220,-22312.000000,0.938110
1004240,-22324.800000,0.938818
1004260,-22303.200000,0.937866
1004280,-22291.200000,0.937415
1004300,-22290.800000,0.937451
1004320,-22282.000000,0.936987
1004340,-22290.400000,0.937744
1004360,-22296.800000,0.937952
1004380,-22307.200000,0.938147
1004400,-22286.400000,0.937598
1004420,-22288.400000,0.937756
1004440,-22282.400000,0.937402
1004460,-22289.600000,0.937891
1004480,-22289.200000,0.937830
1004500,-22292.800000,0.937402
1004520,-22284.400000,0.937720
1004540,-22294.000000,0.937695
1004560,-22282.800000,0.937573
1004580,-22281.200000,0.938159
1004600,-22297.600000,0.938489
1004620,-22284.400000,0.937415
1004640,-22297.200000,0.938611
1004660,-22285.200000,0.937769
1004680,-22276.400000,0.937585
1004700,-22288.000000,0.938232
1004720,-22281.600000,0.937622
1004740,-22293.200000,0.938159
1004760,-22290.000000,0.938123
1004780,-22301.200000,0.938708
1004800,-22289.600000,0.937952
1004820,-22310.800000,0.938611
1004840,-22309.600000,0.939001
1004860,-22306.400000,0.938440
1004880,-22310.800000,0.938391
1004900,-22313.200000,0.938525
1004920,-22306.800000,0.938281
1004940,-22315.600000,0.938623
1004960,-22324.400000,0.938586
1004980,-22309.600000,0.938391
1005000,-22310.800000,0.938953
1005020,-22297.200000,0.938538
1005040,-22305.200000,0.938892
1005060,-22293.200000,0.939038
1005080,-22290.400000,0.938281
1005100,-22304.400000,0.939050
1005120,-22300.000000,0.938635
1005140,-22308.000000,0.938928
1005160,-22313.600000,0.938770
1005180,-22295.200000,0.938354
1005200,-22299.200000,0.938721
1005220,-22291.200000,0.938562
1005240,-22308.000000,0.939551
1005260,-22306.000000,0.939526
1005280,-22285.600000,0.938977
1005300,-22300.400000,0.939380
1005320,-22315.200000,0.939355
1005340,-22312.800000,0.938672
1005360,-22327.200000,0.939368
1005380,-22312.400000,0.938916
1005400,-22327.200000,0.939600
1005420,-22322.400000,0.939783
1005440,-22324.800000,0.939417
1005460,-22331.200000,0.939832
1005480,-22310.000000,0.939087
1005500,-22317.200000,0.939221
1005520,-22310.000000,0.939331
1005540,-22319.200000,0.939758
1005560,-22316.800000,0.939807
1005580,-22304.800000,0.939771
1005600,-22305.200000,0.939893
1005620,-22302.400000,0.939172
1005640,-22302.000000,0.939563
1005660,-22299.200000,0.939233
1005680,-22302.800000,0.938672
1005700,-22313.600000,0.939197
1005720,-22301.200000,0.938965
1005740,-22313.600000,0.939612
1005760,-22308.000000,0.939734
1005780,-22309.600000,0.939795
1005800,-22316.400000,0.939783
1005820,-22320.000000,0.939771
1005840,-22321.600000,0.939648
1005860,-22311.600000,0.939465
1005880,-22309.200000,0.938586
1005900,-22310.800000,0.938794
1005920,-22315.600000,0.938733
1005940,-22310.800000,0.939038
1005960,-22326.800000,0.939771
1005980,-22321.600000,0.939319
1006000,-22309.200000,0.939478
1006020,-22290.800000,0.938525
1006040,-22310.400000,0.939319
1006060,-22311.600000,0.939514
1006080,-22306.400000,0.939197
1006100,-22312.800000,0.939233
1006120,-22317.200000,0.939490
1006140,-22304.000000,0.938440
1006160,-22317.200000,0.939453
1006180,-22310.800000,0.939868
1006200,-22318.800000,0.939966
1006220,-22335.600000,0.940540
1006240,-22325.200000,0.939832
1006260,-22322.400000,0.939661
1006280,-22334.800000,0.940161
1006300,-22340.000000,0.939856
1006320,-22317.600000,0.939319
1006340,-22316.800000,0.939380
1006360,-22318.000000,0.939172
1006380,-22322.800000,0.939124
1006400,-22313.600000,0.938904
1006420,-22334.000000,0.940161
1006440,-22328.000000,0.940137
1006460,-22325.200000,0.940332
1006480,-22338.400000,0.940759
1006500,-22328.800000,0.940271
1006520,-22332.800000,0.940601
1006540,-22328.000000,0.940698
1006560,-22321.600000,0.940344
1006580,-22319.600000,0.939673
1006600,-22329.600000,0.940259
1006620,-22340.400000,0.940051
1006640,-22326.000000,0.939331
1006660,-22333.600000,0.940259
1006680,-22323.200000,0.939868
1006700,-22322.800000,0.939746
1006720,-22307.200000,0.939514
1006740,-22316.400000,0.938684
1006760,-22321.200000,0.939258
1006780,-22326.400000,0.939990
1006800,-22314.800000,0.939575
1006820,-22312.000000,0.939807
1006840,-22324.800000,0.940076
1006860,-22328.400000,0.940039
1006880,-22328.000000,0.939990
1006900,-22306.800000,0.939490
1006920,-22306.400000,0.939270
1006940,-22320.000000,0.940674
1006960,-22321.600000,0.940588
1006980,-22324.000000,0.940686
1007000,-22322.400000,0.940674
1007020,-22319.200000,0.940466
1007040,-22296.800000,0.939197
1007060,-22320.400000,0.940540
1007080,-22334.400000,0.940918
1007100,-22339.600000,0.940808
1007120,-22334.800000,0.940173
1007140,-22319.600000,0.940186
1007160,-22328.000000,0.940198
1007180,-22324.400000,0.939612
1007200,-22315.200000,0.939465
1007220,-22326.400000,0.940344
1007240,-22337.200000,0.940430
1007260,-22319.600000,0.940186
1007280,-22317.200000,0.940088
1007300,-22317.600000,0.940063
1007320,-22318.400000,0.940674
1007340,-22335.600000,0.941541
1007360,-22336.800000,0.941211
1007380,-22314.800000,0.940625
1007400,-22315.200000,0.940308
1007420,-22327.600000,0.940601
1007440,-22322.400000,0.940686
1007460,-22306.400000,0.940149
1007480,-22318.400000,0.940625
1007500,-22305.600000,0.940186
1007520,-22322.000000,0.940637
1007540,-22311.200000,0.940869
1007560,-22310.800000,0.940820
1007580,-22306.400000,0.940735
1007600,-22307.200000,0.940015
1007620,-22312.800000,0.940015
1007640,-22312.400000,0.939685
1007660,-22311.200000,0.939941
1007680,-22311.600000,0.940186
1007700,-22322.000000,0.940491
1007720,-22310.400000,0.940295
1007740,-22294.800000,0.940125
1007760,-22308.800000,0.940771
1007780,-22305.600000,0.940491
1007800,-22314.400000,0.940918
1007820,-22305.200000,0.940747
1007840,-22308.400000,0.940845
1007860,-22311.600000,0.940723
1007880,-22313.600000,0.941089
1007900,-22312.000000,0.940710
1007920,-22309.600000,0.940332
1007940,-22304.400000,0.939258
1007960,-22312.000000,0.939563
1007980,-22306.400000,0.939514
1008000,-22301.200000,0.938806
1008020,-22287.600000,0.938855
1008040,-22297.600000,0.938660
1008060,-22310.800000,0.939221
1008080,-22325.600000,0.939880
1008100,-22308.800000,0.939819
1008120,-22316.000000,0.939893
1008140,-22310.400000,0.939404
1008160,-22312.800000,0.939783
1008180,-22329.200000,0.940198
1008200,-22318.400000,0.939832
1008220,-22312.800000,0.939783
1008240,-22304.800000,0.939624
1008260,-22312.400000,0.939368
1008280,-22308.400000,0.939246
1008300,-22320.000000,0.939392
1008320,-22321.200000,0.940295
1008340,-22318.400000,0.940234
1008360,-22306.400000,0.939490
1008380,-22310.800000,0.939636
1008400,-22326.800000,0.940039
1008420,-22308.800000,0.939624
1008440,-22322.000000,0.939758
1008460,-22331.200000,0.940027
1008480,-22345.200000,0.940222
1008500,-22329.200000,0.940173
1008520,-22339.200000,0.940845
1008540,-22329.200000,0.939673
1008560,-22312.000000,0.939111
1008580,-22331.200000,0.940027
1008600,-22316.400000,0.939697
1008620,-22310.400000,0.940125
1008640,-22313.200000,0.940027
1008660,-22318.800000,0.940588
1008680,-22320.800000,0.939893
1008700,-22322.800000,0.940161
1008720,-22323.600000,0.940405
1008740,-22323.600000,0.940759
1008760,-22326.000000,0.941003
1008780,-22320.400000,0.940796
1008800,-22329.600000,0.940723
1008820,-22324.800000,0.940466
1008840,-22314.400000,0.940063
1008860,-22329.200000,0.940857
1008880,-22337.600000,0.941187
1008900,-22318.800000,0.940674
1008920,-22336.000000,0.941980
1008940,-22330.800000,0.942187
1008960,-22329.200000,0.941638
