# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 2.469, Jz = 1.0000
step,H,delta^2
100000,-21442.000000,0.894250
100020,-21435.600000,0.894971
100040,-21473.600000,0.897009
100060,-21516.800000,0.899878
100080,-21523.200000,0.900024
100100,-21478.800000,0.897839
100120,-21491.200000,0.898242
100140,-21523.600000,0.897546
100160,-21515.600000,0.898499
100180,-21479.600000,0.897156
100200,-21463.600000,0.895447
100220,-21437.200000,0.895642
100240,-21446.400000,0.895459
100260,-21474.000000,0.896924
100280,-21513.600000,0.899536
100300,-21480.400000,0.899036
100320,-21499.200000,0.899915
100340,-21530.800000,0.900281
100360,-21531.600000,0.900378
100380,-21490.800000,0.898743
100400,-21456.800000,0.897351
100420,-21485.200000,0.897400
100440,-21459.600000,0.897021
100460,-21449.600000,0.895728
100480,-21481.200000,0.897522
100500,-21462.000000,0.897217
100520,-21522.000000,0.900391
100540,-21493.200000,0.899353
100560,-21519.200000,0.901392
100580,-21571.600000,0.903394
100600,-21510.400000,0.901355
100620,-21558.400000,0.902441
100640,-21556.000000,0.901941
100660,-21508.400000,0.900916
100680,-21487.200000,0.897705
100700,-21482.000000,0.897571
100720,-21456.000000,0.896448
100740,-21428.400000,0.895667
100760,-21450.400000,0.897729
100780,-21429.600000,0.895813
100800,-21423.600000,0.895715
100820,-21425.200000,0.896008
100840,-21437.600000,0.897070
100860,-21396.400000,0.894336
100880,-21419.200000,0.894238
100900,-21427.200000,0.894910
100920,-21439.200000,0.895032
100940,-21481.600000,0.896960
100960,-21453.600000,0.897046
100980,-21468.800000,0.898145
101000,-21431.600000,0.897241
101020,-21428.000000,0.896741
101040,-21488.800000,0.898669
101060,-21485.200000,0.897144
101080,-21483.200000,0.898535
101100,-21484.800000,0.899158
101120,-21498.000000,0.898792
101140,-21490.400000,0.899744
101160,-21532.800000,0.900281
101180,-21500.000000,0.898804
101200,-21502.800000,0.899109
101220,-21480.400000,0.898401
101240,-21517.200000,0.899805
101260,-21526.000000,0.900232
101280,-21524.800000,0.899915
101300,-21452.800000,0.896619
101320,-21473.600000,0.897998
101340,-21446.800000,0.897009
101360,-21478.400000,0.898401
101380,-21441.600000,0.894922
101400,-21401.200000,0.894250
101420,-21475.200000,0.895581
101440,-21529.200000,0.898975
101460,-21502.000000,0.897668
101480,-21473.600000,0.896448
101500,-21482.800000,0.897424
101520,-21467.200000,0.896179
101540,-21492.000000,0.895654
101560,-21488.800000,0.896362
101580,-21490.000000,0.896423
101600,-21479.600000,0.896533
101620,-21482.400000,0.897217
101640,-21513.200000,0.898438
101660,-21514.000000,0.898914
101680,-21502.000000,0.898352
101700,-21501.600000,0.897522
101720,-21474.800000,0.897266
101740,-21468.000000,0.896289
101760,-21482.000000,0.896301
101780,-21481.200000,0.897009
101800,-21487.600000,0.895276
101820,-21519.600000,0.897900
101840,-21453.200000,0.895312
101860,-21431.600000,0.895105
101880,-21470.000000,0.897607
101900,-21483.600000,0.897095
101920,-21459.600000,0.895300
101940,-21464.400000,0.896362
101960,-21442.800000,0.895276
101980,-21446.400000,0.894739
102000,-21430.400000,0.893396
102020,-21414.800000,0.893701
102040,-21436.800000,0.894214
102060,-21490.000000,0.897791
102080,-21501.200000,0.897424
102100,-21463.600000,0.896167
102120,-21434.800000,0.894763
102140,-21434.000000,0.894080
102160,-21418.800000,0.894043
102180,-21437.600000,0.894556
102200,-21400.800000,0.893701
102220,-21421.600000,0.893884
102240,-21446.400000,0.895740
102260,-21465.200000,0.896521
102280,-21460.800000,0.895398
102300,-21422.400000,0.894788
102320,-21404.800000,0.895569
102340,-21394.000000,0.894629
102360,-21411.600000,0.894714
102380,-21410.800000,0.895715
102400,-21434.400000,0.897327
102420,-21442.400000,0.896375
102440,-21464.000000,0.896570
102460,-21448.000000,0.895483
102480,-21438.000000,0.895557
102500,-21438.400000,0.897314
102520,-21448.400000,0.896204
102540,-21396.800000,0.893115
102560,-21434.800000,0.895483
102580,-21487.200000,0.897107
102600,-21481.600000,0.897498
102620,-21458.800000,0.897058
102640,-21446.400000,0.897595
102660,-21494.000000,0.898486
102680,-21480.800000,0.896350
102700,-21452.400000,0.895178
102720,-21448.400000,0.896143
102740,-21406.800000,0.893835
102760,-21436.000000,0.895898
102780,-21455.600000,0.896313
102800,-21482.800000,0.898389
102820,-21501.200000,0.898535
102840,-21488.800000,0.897449
102860,-21473.600000,0.897498
102880,-21480.400000,0.897925
102900,-21442.400000,0.897168
102920,-21494.000000,0.898486
102940,-21487.200000,0.898523
102960,-21478.800000,0.897083
102980,-21506.400000,0.898206
103000,-21518.000000,0.900586
