# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 4.918, Jz = 1.0000
step,H,delta^2
100000,-6390.800000,0.224805
100020,-6225.200000,0.220557
100040,-6376.800000,0.219861
100060,-6470.000000,0.226782
100080,-6320.400000,0.225073
100100,-6317.600000,0.223169
100120,-6362.000000,0.231177
100140,-6367.600000,0.231860
100160,-6403.600000,0.231506
100180,-6364.000000,0.226257
100200,-6407.200000,0.224731
100220,-6380.000000,0.224658
100240,-6530.000000,0.233594
100260,-6416.400000,0.231128
100280,-6406.400000,0.227148
100300,-6506.000000,0.229626
100320,-6369.200000,0.226465
100340,-6511.200000,0.234692
100360,-6426.800000,0.229993
100380,-6478.800000,0.232373
100400,-6400.400000,0.227649
100420,-6428.400000,0.226160
100440,-6445.200000,0.230054
100460,-6598.800000,0.236975
100480,-6411.600000,0.224072
100500,-6352.400000,0.226978
100520,-6350.000000,0.222742
100540,-6355.200000,0.227283
100560,-6372.800000,0.225159
100580,-6330.000000,0.225500
100600,-6427.200000,0.230212
100620,-6495.600000,0.231787
100640,-6276.800000,0.226306
100660,-6376.000000,0.229285
100680,-6340.800000,0.227551
100700,-6450.000000,0.224194
100720,-6282.400000,0.225269
100740,-6362.800000,0.226978
100760,-6464.800000,0.230554
100780,-6435.600000,0.224084
100800,-6391.200000,0.224634
100820,-6450.400000,0.229285
100840,-6494.000000,0.228833
100860,-6307.600000,0.228101
100880,-6536.800000,0.229871
100900,-6447.600000,0.232483
100920,-6571.200000,0.227771
100940,-6488.000000,0.229663
100960,-6394.800000,0.228748
100980,-6432.000000,0.226978
101000,-6454.400000,0.228430
101020,-6443.600000,0.226184
101040,-6288.800000,0.226514
101060,-6459.600000,0.228577
101080,-6405.600000,0.227698
101100,-6408.400000,0.230591
101120,-6387.600000,0.229492
101140,-6368.400000,0.228943
101160,-6383.200000,0.231458
101180,-6391.600000,0.227161
101200,-6406.400000,0.228027
101220,-6504.400000,0.233997
101240,-6482.000000,0.228748
101260,-6498.800000,0.232837
101280,-6434.800000,0.225330
101300,-6406.000000,0.223560
101320,-6306.800000,0.222864
101340,-6446.800000,0.232703
101360,-6457.200000,0.230212
101380,-6419.200000,0.227942
101400,-6419.600000,0.227551
101420,-6420.000000,0.224939
101440,-6424.400000,0.225757
101460,-6371.600000,0.223596
101480,-6319.600000,0.222583
101500,-6414.400000,0.227185
101520,-6361.600000,0.227173
101540,-6398.800000,0.226843
101560,-6237.600000,0.220923
101580,-6334.000000,0.223633
101600,-6411.600000,0.229614
101620,-6450.800000,0.229639
101640,-6472.000000,0.230090
101660,-6346.400000,0.226392
101680,-6462.400000,0.231812
101700,-6298.000000,0.225159
101720,-6410.800000,0.226135
101740,-6418.800000,0.231995
101760,-6547.200000,0.229224
101780,-6368.000000,0.228699
101800,-6437.200000,0.229529
101820,-6280.800000,0.225952
101840,-6391.200000,0.230164
101860,-6376.000000,0.229297
101880,-6378.800000,0.226782
101900,-6378.400000,0.227502
101920,-6407.200000,0.228650
101940,-6451.600000,0.226257
101960,-6412.800000,0.229480
101980,-6417.200000,0.234253
102000,-6350.400000,0.225977
