# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 1.571, Jz = 1.0000
step,H,delta^2
100000,-20909.600000,0.931299
100020,-20908.400000,0.931738
100040,-20908.000000,0.931726
100060,-20902.000000,0.930872
100080,-20901.200000,0.930701
100100,-20898.800000,0.930627
100120,-20902.000000,0.931299
100140,-20903.200000,0.931079
100160,-20922.000000,0.931641
100180,-20926.800000,0.932397
100200,-20923.200000,0.932349
100220,-20912.000000,0.932129
100240,-20916.400000,0.932324
100260,-20912.400000,0.932190
100280,-20924.400000,0.932935
100300,-20926.000000,0.932458
100320,-20914.800000,0.931702
100340,-20924.400000,0.932104
100360,-20923.600000,0.932129
100380,-20917.200000,0.932092
100400,-20915.600000,0.931812
100420,-20914.400000,0.931750
100440,-20913.600000,0.931482
100460,-20892.400000,0.931140
100480,-20894.000000,0.931250
100500,-20901.600000,0.930969
100520,-20890.400000,0.930847
100540,-20909.600000,0.931921
100560,-20902.400000,0.930786
100580,-20904.000000,0.931360
100600,-20907.600000,0.931616
100620,-20910.400000,0.931384
100640,-20926.400000,0.932239
100660,-20929.600000,0.932214
100680,-20905.600000,0.931311
100700,-20916.800000,0.932068
100720,-20926.800000,0.932080
100740,-20920.000000,0.931653
100760,-20926.400000,0.931946
100780,-20926.400000,0.931482
100800,-20926.000000,0.931079
100820,-20922.400000,0.930200
100840,-20905.200000,0.929761
100860,-20923.200000,0.930957
100880,-20927.200000,0.930811
100900,-20924.000000,0.930237
100920,-20931.200000,0.930652
100940,-20931.600000,0.931201
100960,-20924.800000,0.930713
100980,-20932.400000,0.931470
101000,-20920.800000,0.930432
101020,-20915.200000,0.930469
101040,-20922.800000,0.931140
101060,-20930.400000,0.930872
101080,-20940.000000,0.931921
101100,-20946.800000,0.931982
101120,-20937.600000,0.931482
101140,-20922.800000,0.930920
101160,-20932.000000,0.931506
101180,-20938.000000,0.931763
101200,-20936.400000,0.931372
101220,-20929.600000,0.931384
101240,-20920.800000,0.931067
101260,-20922.000000,0.931555
101280,-20930.400000,0.932166
101300,-20946.000000,0.932300
101320,-20937.200000,0.931726
101340,-20935.600000,0.931897
101360,-20916.000000,0.931238
101380,-20905.200000,0.930896
101400,-20927.200000,0.931165
101420,-20920.000000,0.930945
101440,-20918.400000,0.930933
101460,-20914.000000,0.930371
101480,-20900.400000,0.929272
101500,-20921.600000,0.930371
101520,-20925.200000,0.930347
101540,-20913.600000,0.929663
101560,-20903.200000,0.929736
101580,-20921.200000,0.930237
101600,-20902.800000,0.929016
101620,-20914.800000,0.929663
101640,-20907.200000,0.929333
101660,-20905.600000,0.929041
101680,-20917.200000,0.929138
101700,-20912.000000,0.928748
101720,-20898.000000,0.927417
101740,-20896.400000,0.927332
101760,-20919.600000,0.927991
101780,-20906.400000,0.928088
101800,-20906.800000,0.927698
101820,-20892.400000,0.926904
101840,-20878.800000,0.926672
101860,-20899.600000,0.926843
101880,-20892.800000,0.927393
101900,-20899.200000,0.927783
101920,-20898.400000,0.927759
101940,-20907.600000,0.928137
101960,-20914.400000,0.928259
101980,-20918.800000,0.928442
102000,-20912.800000,0.927466
102020,-20915.200000,0.927698
102040,-20906.400000,0.927332
102060,-20909.200000,0.927454
102080,-20916.000000,0.927832
102100,-20896.800000,0.927087
102120,-20922.800000,0.928406
102140,-20923.600000,0.928979
