# Ensemble size: 2, Sample period: 20, Burn in steps: 100000, Samples: 100
# L = 32, Lz = 8, T = 5.000, Jz = 1.0000
step,H,delta^2
100000,-6174.000000,0.228882
100020,-6420.000000,0.237915
100040,-6298.000000,0.223511
100060,-6374.000000,0.228821
100080,-6126.000000,0.221680
100100,-5960.000000,0.217834
100120,-6322.000000,0.213379
100140,-6122.000000,0.213867
100160,-6236.000000,0.214478
100180,-6146.000000,0.211853
100200,-6158.000000,0.225830
100220,-6138.000000,0.213562
100240,-5924.000000,0.225220
100260,-6244.000000,0.226685
100280,-6498.000000,0.230774
100300,-6388.000000,0.228271
100320,-5970.000000,0.216431
100340,-6184.000000,0.218994
100360,-5940.000000,0.215393
100380,-6250.000000,0.228882
100400,-5892.000000,0.212708
100420,-6288.000000,0.223206
100440,-6084.000000,0.222107
100460,-5750.000000,0.210815
100480,-6268.000000,0.219299
100500,-6638.000000,0.227173
100520,-6320.000000,0.220154
100540,-6138.000000,0.213379
100560,-6176.000000,0.212219
100580,-6156.000000,0.220276
100600,-6010.000000,0.218323
100620,-6038.000000,0.219116
100640,-6080.000000,0.208252
100660,-6040.000000,0.215515
100680,-6124.000000,0.218933
100700,-6258.000000,0.213257
100720,-6156.000000,0.210388
100740,-6196.000000,0.211975
100760,-6410.000000,0.220764
100780,-5948.000000,0.213135
100800,-6044.000000,0.214050
100820,-5906.000000,0.215759
100840,-6142.000000,0.218872
100860,-6328.000000,0.233521
100880,-6234.000000,0.219055
100900,-6148.000000,0.214844
100920,-6262.000000,0.210510
100940,-6396.000000,0.227783
100960,-6290.000000,0.225525
100980,-6188.000000,0.216064
101000,-6090.000000,0.228271
101020,-6200.000000,0.218018
101040,-6220.000000,0.222717
101060,-6276.000000,0.226562
101080,-6480.000000,0.236206
101100,-6174.000000,0.227478
101120,-6618.000000,0.228210
101140,-6134.000000,0.229553
101160,-6490.000000,0.233154
101180,-6136.000000,0.223022
101200,-6126.000000,0.222168
101220,-5928.000000,0.218201
101240,-6062.000000,0.229919
101260,-6216.000000,0.219666
101280,-6088.000000,0.221802
101300,-6130.000000,0.212891
101320,-6070.000000,0.211487
101340,-5916.000000,0.214294
101360,-6046.000000,0.218567
101380,-6198.000000,0.223877
101400,-6086.000000,0.223389
101420,-6084.000000,0.214783
101440,-6052.000000,0.217224
101460,-6124.000000,0.220276
101480,-6174.000000,0.215759
101500,-6108.000000,0.220764
101520,-6346.000000,0.214966
101540,-6032.000000,0.223083
101560,-5806.000000,0.215149
101580,-5946.000000,0.211060
101600,-6212.000000,0.226868
101620,-6266.000000,0.227051
101640,-6282.000000,0.221375
101660,-6144.000000,0.208557
101680,-6198.000000,0.218506
101700,-6022.000000,0.213623
101720,-6082.000000,0.215088
101740,-6190.000000,0.220459
101760,-6006.000000,0.215698
101780,-6358.000000,0.222412
101800,-6198.000000,0.212891
101820,-6278.000000,0.213928
101840,-6124.000000,0.212158
101860,-6308.000000,0.222961
101880,-5974.000000,0.216187
101900,-6142.000000,0.220642
101920,-5934.000000,0.219849
101940,-6288.000000,0.223755
101960,-5890.000000,0.215149
101980,-6056.000000,0.209839
