# Ensemble size: 10, Sample period: 20, Burn in steps: 1000000, Samples: 1000
# L = 32, Lz = 8, T = 2.061, Jz = 1.0000
step,H,delta^2
1000000,-22183.600000,0.927393
1000020,-22173.200000,0.926331
1000040,-22184.800000,0.926355
1000060,-22187.200000,0.926111
1000080,-22181.600000,0.926831
1000100,-22176.400000,0.927051
1000120,-22196.800000,0.926868
1000140,-22188.400000,0.926306
1000160,-22184.000000,0.925342
1000180,-22189.600000,0.926318
1000200,-22202.800000,0.926831
1000220,-22200.400000,0.926709
1000240,-22188.800000,0.925745
1000260,-22175.200000,0.925879
1000280,-22194.800000,0.926245
1000300,-22182.800000,0.925745
1000320,-22178.400000,0.924963
1000340,-22194.000000,0.925159
1000360,-22174.800000,0.925684
1000380,-22169.600000,0.925232
1000400,-22203.200000,0.926196
1000420,-22194.000000,0.926111
1000440,-22188.800000,0.927100
1000460,-22202.400000,0.927136
1000480,-22210.400000,0.927771
1000500,-22203.200000,0.927783
1000520,-22219.600000,0.927954
1000540,-22219.600000,0.927905
1000560,-22208.400000,0.927466
1000580,-22218.400000,0.928076
1000600,-22223.200000,0.927112
1000620,-22208.400000,0.926465
1000640,-22202.000000,0.926379
1000660,-22191.600000,0.926477
1000680,-22212.400000,0.926880
1000700,-22208.000000,0.927185
1000720,-22212.400000,0.927417
1000740,-22184.400000,0.926331
1000760,-22188.800000,0.926880
1000780,-22220.400000,0.928125
1000800,-22210.400000,0.927942
1000820,-22218.800000,0.928760
1000840,-22226.000000,0.928479
1000860,-22228.400000,0.928625
1000880,-22220.800000,0.929114
1000900,-22208.800000,0.928369
1000920,-22213.200000,0.928601
1000940,-22220.400000,0.929651
1000960,-22226.800000,0.928552
1000980,-22226.000000,0.927856
1001000,-22222.400000,0.927490
1001020,-22217.600000,0.927954
1001040,-22263.200000,0.929675
1001060,-22258.800000,0.930725
1001080,-22255.200000,0.930310
1001100,-22259.200000,0.930542
1001120,-22234.000000,0.928442
1001140,-22224.400000,0.928088
1001160,-22206.400000,0.927881
1001180,-22227.200000,0.929150
1001200,-22247.600000,0.928870
1001220,-22245.600000,0.930078
1001240,-22258.800000,0.930151
1001260,-22229.600000,0.929858
1001280,-22243.200000,0.930383
1001300,-22232.000000,0.929993
1001320,-22248.400000,0.930127
1001340,-22228.400000,0.929602
1001360,-22248.400000,0.930261
1001380,-22231.600000,0.929028
1001400,-22216.800000,0.928552
1001420,-22182.400000,0.928357
1001440,-22161.600000,0.927478
1001460,-22152.800000,0.927222
1001480,-22187.600000,0.928735
1001500,-22220.800000,0.930505
1001520,-22234.000000,0.930066
1001540,-22215.200000,0.929492
1001560,-22195.200000,0.928760
1001580,-22202.400000,0.930164
1001600,-22224.000000,0.929895
1001620,-22203.200000,0.928345
1001640,-22199.600000,0.928516
1001660,-22203.200000,0.929248
1001680,-22221.600000,0.928845
1001700,-22204.800000,0.927930
1001720,-22199.200000,0.927930
1001740,-22188.800000,0.928296
1001760,-22197.200000,0.928113
1001780,-22208.800000,0.928381
1001800,-22215.200000,0.928088
1001820,-22182.000000,0.927454
1001840,-22172.800000,0.927686
1001860,-22200.400000,0.927710
1001880,-22213.200000,0.929004
1001900,-22219.200000,0.928662
1001920,-22214.800000,0.927759
1001940,-22200.800000,0.927966
1001960,-22210.800000,0.928174
1001980,-22210.400000,0.928394
1002000,-22203.200000,0.927551
1002020,-22209.200000,0.927722
1002040,-22201.600000,0.928625
1002060,-22216.800000,0.928247
1002080,-22231.600000,0.928284
1002100,-22201.600000,0.926978
1002120,-22226.000000,0.928125
1002140,-22188.400000,0.926990
1002160,-22193.200000,0.927246
1002180,-22202.000000,0.927979
1002200,-22195.200000,0.927759
1002220,-22191.200000,0.928052
1002240,-22211.200000,0.929077
1002260,-22197.600000,0.927820
1002280,-22214.400000,0.927100
1002300,-22221.600000,0.928113
1002320,-22238.000000,0.928918
