# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 2.633, Jz = 1.0000
step,H,delta^2
100000,-21080.000000,0.882288
100020,-21081.600000,0.881531
100040,-21062.800000,0.881873
100060,-21104.400000,0.882068
100080,-21070.400000,0.880298
100100,-21105.200000,0.880884
100120,-21065.600000,0.879749
100140,-21058.000000,0.879016
100160,-21106.800000,0.879504
100180,-21086.000000,0.878857
100200,-21065.200000,0.877954
100220,-21073.200000,0.878845
100240,-21038.000000,0.877625
100260,-21024.400000,0.876807
100280,-21048.400000,0.876990
100300,-21006.000000,0.875867
100320,-21033.600000,0.877734
100340,-20981.200000,0.875708
100360,-20985.600000,0.875769
100380,-20933.200000,0.873828
100400,-20909.600000,0.872839
100420,-20976.000000,0.875061
100440,-20961.200000,0.875146
100460,-20990.800000,0.874780
100480,-21013.200000,0.877063
100500,-21048.400000,0.878149
100520,-21028.400000,0.876245
100540,-21108.400000,0.879211
100560,-21100.800000,0.879834
100580,-21082.000000,0.877698
100600,-21071.600000,0.878723
100620,-21072.400000,0.879260
100640,-21109.200000,0.882031
100660,-21083.200000,0.879370
100680,-21114.400000,0.878906
100700,-21097.200000,0.879126
100720,-21064.400000,0.878735
100740,-21068.400000,0.879590
100760,-21046.400000,0.878528
100780,-21061.200000,0.878455
100800,-21027.200000,0.876489
100820,-21021.600000,0.876184
100840,-21020.800000,0.876929
100860,-21004.000000,0.876941
100880,-20989.200000,0.875684
100900,-21038.400000,0.874658
100920,-20996.800000,0.873035
100940,-21044.400000,0.876343
100960,-21025.200000,0.876074
100980,-21056.800000,0.876611
101000,-21056.000000,0.877100
101020,-21058.800000,0.876965
101040,-21037.200000,0.875574
101060,-21064.000000,0.877222
101080,-21003.600000,0.875305
101100,-21051.200000,0.877271
101120,-21004.000000,0.876306
101140,-20981.600000,0.877271
101160,-20993.600000,0.875940
101180,-21040.800000,0.878455
101200,-21023.200000,0.879614
101220,-21002.800000,0.878711
101240,-21057.600000,0.880420
101260,-21042.800000,0.880200
101280,-21061.200000,0.879492
101300,-21059.600000,0.878101
101320,-21006.400000,0.875696
101340,-21012.400000,0.878418
101360,-20990.800000,0.876331
101380,-20966.800000,0.875977
101400,-21010.400000,0.876599
101420,-20956.400000,0.875024
101440,-20911.600000,0.873889
101460,-20949.600000,0.874500
101480,-20942.800000,0.874683
101500,-20954.000000,0.876025
101520,-20985.200000,0.878711
101540,-20948.000000,0.875659
101560,-20997.200000,0.876440
101580,-21010.000000,0.877405
101600,-20999.600000,0.877063
101620,-21019.200000,0.878137
101640,-20982.800000,0.875220
101660,-20985.600000,0.874963
101680,-20977.600000,0.874512
101700,-21000.000000,0.875757
101720,-21008.800000,0.876953
101740,-21023.600000,0.878467
101760,-21038.800000,0.879321
101780,-21058.400000,0.879602
101800,-21102.000000,0.880713
101820,-21074.400000,0.880640
101840,-21105.200000,0.881140
101860,-21066.400000,0.879517
101880,-21053.200000,0.877979
101900,-21093.600000,0.879712
101920,-21048.400000,0.878406
101940,-21100.400000,0.880823
101960,-21109.200000,0.882068
101980,-21130.400000,0.882324
