# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 4.673, Jz = 1.0000
step,H,delta^2
100000,-7204.000000,0.256482
100020,-7292.400000,0.256042
100040,-7298.000000,0.259619
100060,-7349.200000,0.262219
100080,-7339.600000,0.264868
100100,-7294.000000,0.258093
100120,-7373.200000,0.255005
100140,-7250.000000,0.260242
100160,-7227.600000,0.256055
100180,-7241.600000,0.264355
100200,-7302.000000,0.264099
100220,-7296.000000,0.267175
100240,-7252.800000,0.263391
100260,-7330.800000,0.262317
100280,-7254.000000,0.255859
100300,-7242.800000,0.256860
100320,-7205.200000,0.259082
100340,-7207.200000,0.256604
100360,-7146.000000,0.255164
100380,-7178.400000,0.257458
100400,-7316.800000,0.258777
100420,-7190.800000,0.252393
100440,-7086.400000,0.250427
100460,-7096.800000,0.250537
100480,-7148.800000,0.249536
100500,-7225.200000,0.253271
100520,-7134.000000,0.252747
100540,-7122.800000,0.254553
100560,-7095.600000,0.252014
100580,-7119.600000,0.256677
100600,-7095.200000,0.253418
100620,-7068.800000,0.249072
100640,-7198.000000,0.253992
100660,-7249.600000,0.251843
100680,-7154.000000,0.252454
100700,-7161.600000,0.256799
100720,-7048.400000,0.250024
100740,-7108.800000,0.252979
100760,-7313.600000,0.256104
100780,-7303.600000,0.258289
100800,-7267.200000,0.254712
100820,-7216.800000,0.254272
100840,-7242.000000,0.256604
100860,-7225.600000,0.255103
100880,-7139.600000,0.255383
100900,-7268.000000,0.257654
100920,-7177.200000,0.251746
100940,-7244.400000,0.256458
100960,-7242.800000,0.254004
100980,-7182.000000,0.255078
101000,-7245.600000,0.256738
101020,-7146.800000,0.254968
101040,-7251.200000,0.255249
101060,-7216.000000,0.258008
101080,-7213.600000,0.256787
101100,-7176.000000,0.252808
101120,-7085.200000,0.251428
101140,-7139.200000,0.252905
101160,-7132.400000,0.257715
101180,-7208.000000,0.256506
101200,-7140.800000,0.253503
101220,-7157.200000,0.253711
101240,-7226.000000,0.254919
101260,-7174.400000,0.253296
101280,-7217.600000,0.257300
101300,-7090.800000,0.250537
101320,-7055.600000,0.246423
101340,-7114.400000,0.249548
101360,-7092.800000,0.248633
101380,-7191.600000,0.252063
101400,-7216.800000,0.252637
101420,-7175.200000,0.255017
101440,-7278.400000,0.253296
101460,-7153.200000,0.251257
101480,-7152.400000,0.252405
101500,-7189.200000,0.249683
101520,-7251.600000,0.257458
101540,-7270.400000,0.256775
101560,-7254.400000,0.250671
101580,-7132.400000,0.253857
101600,-7219.600000,0.252905
101620,-7255.600000,0.253320
101640,-7283.600000,0.257239
101660,-7213.600000,0.250500
101680,-7244.800000,0.252844
101700,-7262.000000,0.258911
101720,-7246.000000,0.252368
101740,-7268.800000,0.257043
101760,-7226.800000,0.259644
101780,-7193.600000,0.252869
101800,-7128.000000,0.253845
101820,-7297.600000,0.254724
101840,-7292.000000,0.251904
101860,-7293.200000,0.255408
101880,-7231.600000,0.258984
101900,-7324.400000,0.258850
101920,-7296.400000,0.259485
101940,-7296.000000,0.256689
101960,-7406.000000,0.263074
101980,-7289.600000,0.257214
102000,-7256.800000,0.257275
102020,-7174.000000,0.260657
102040,-7328.000000,0.257544
102060,-7320.000000,0.255664
102080,-7205.200000,0.255737
102100,-7307.600000,0.253381
102120,-7366.800000,0.256482
102140,-7366.400000,0.258582
102160,-7315.600000,0.257178
102180,-7339.200000,0.254675
102200,-7377.200000,0.255981
102220,-7376.800000,0.262549
102240,-7348.800000,0.260034
102260,-7324.000000,0.264832
102280,-7479.600000,0.264612
102300,-7408.800000,0.262012
102320,-7471.200000,0.262573
102340,-7346.000000,0.256323
102360,-7270.000000,0.256006
102380,-7296.000000,0.253931
102400,-7393.200000,0.261292
102420,-7296.800000,0.253479
102440,-7311.200000,0.258618
102460,-7278.400000,0.261646
102480,-7251.200000,0.254126
102500,-7337.200000,0.256970
102520,-7360.800000,0.257910
102540,-7284.800000,0.256091
102560,-7284.400000,0.259241
102580,-7267.600000,0.257959
102600,-7277.600000,0.263403
102620,-7302.400000,0.257129
102640,-7192.800000,0.255127
102660,-7319.200000,0.256775
102680,-7262.800000,0.257275
102700,-7266.800000,0.254553
102720,-7227.200000,0.258643
102740,-7319.200000,0.257935
102760,-7292.000000,0.252271
102780,-7218.000000,0.252747
102800,-7112.800000,0.251587
102820,-7196.400000,0.256555
102840,-7308.400000,0.254956
102860,-7322.000000,0.254907
102880,-7234.000000,0.255566
102900,-7325.600000,0.255603
102920,-7192.800000,0.254565
102940,-7244.000000,0.252820
102960,-7327.600000,0.258264
102980,-7356.800000,0.258997
103000,-7341.600000,0.261206
103020,-7326.800000,0.256055
103040,-7210.400000,0.258948
103060,-7306.000000,0.255859
103080,-7130.400000,0.254126
103100,-7245.600000,0.255554
103120,-7214.400000,0.254565
103140,-7222.800000,0.252148
103160,-7146.400000,0.256531
103180,-7253.200000,0.256104
103200,-7187.600000,0.257031
103220,-7280.000000,0.259326
103240,-7239.600000,0.257642
103260,-7354.400000,0.263245
103280,-7292.400000,0.258374
103300,-7206.800000,0.260498
103320,-7155.600000,0.253418
103340,-7138.800000,0.253845
103360,-7217.200000,0.254980
103380,-7238.800000,0.259155
103400,-7239.600000,0.252356
103420,-7206.400000,0.257666
103440,-7201.200000,0.252710
103460,-7303.600000,0.264355
103480,-7318.800000,0.260522
103500,-7278.000000,0.255090
103520,-7268.000000,0.257153
103540,-7192.800000,0.248523
103560,-7172.800000,0.249683
103580,-7206.000000,0.251538
103600,-7207.200000,0.252869
103620,-7148.000000,0.253333
103640,-7295.200000,0.257983
103660,-7290.800000,0.257263
103680,-7258.000000,0.255151
103700,-7241.600000,0.254688
103720,-7216.800000,0.256348
103740,-7053.600000,0.252100
103760,-7252.000000,0.263074
103780,-7347.200000,0.258911
103800,-7341.600000,0.255212
103820,-7316.000000,0.260315
103840,-7151.600000,0.258679
103860,-7126.000000,0.254492
103880,-7111.600000,0.251538
103900,-7274.800000,0.261047
103920,-7158.800000,0.251624
103940,-7113.600000,0.254370
103960,-7053.200000,0.250354
103980,-7108.400000,0.251917
104000,-7081.600000,0.251624
104020,-7083.600000,0.248792
104040,-7051.600000,0.248425
104060,-7081.600000,0.246118
104080,-7202.000000,0.249219
104100,-7096.800000,0.249597
104120,-7177.200000,0.248242
104140,-7277.600000,0.245410
104160,-7265.600000,0.252417
104180,-7179.200000,0.247485
104200,-7170.400000,0.250781
104220,-7268.800000,0.253418
104240,-7270.000000,0.250403
104260,-7211.200000,0.249341
104280,-7258.000000,0.251196
104300,-7254.800000,0.252979
104320,-7280.800000,0.257104
104340,-7239.200000,0.253931
104360,-7110.400000,0.248157
104380,-7016.000000,0.248291
104400,-7017.200000,0.246021
104420,-7071.600000,0.249622
104440,-7092.800000,0.254602
104460,-7066.000000,0.253247
104480,-7221.600000,0.258203
104500,-7232.000000,0.255542
104520,-7192.000000,0.257153
104540,-7304.000000,0.262549
104560,-7278.000000,0.257788
104580,-7134.800000,0.255481
104600,-7196.000000,0.256140
104620,-7297.200000,0.257483
104640,-7170.800000,0.256287
104660,-7169.200000,0.255200
104680,-7162.800000,0.254333
104700,-7102.800000,0.252856
104720,-7113.200000,0.256091
104740,-7210.400000,0.252026
104760,-7220.800000,0.255298
104780,-7102.800000,0.246875
104800,-7158.400000,0.253564
104820,-7142.400000,0.251636
104840,-7150.400000,0.252087
104860,-7031.200000,0.253259
104880,-7036.000000,0.252673
104900,-7097.600000,0.249841
104920,-7200.800000,0.252661
104940,-7187.600000,0.250635
104960,-7190.400000,0.258374
104980,-7190.000000,0.254089
105000,-7266.800000,0.257019
105020,-7300.000000,0.257715
105040,-7248.400000,0.258069
105060,-7196.000000,0.257617
105080,-7172.800000,0.254736
105100,-7228.400000,0.253284
105120,-7242.000000,0.256848
105140,-7291.200000,0.255225
105160,-7279.200000,0.256421
105180,-7234.400000,0.254688
105200,-7254.800000,0.258215
105220,-7267.200000,0.258850
105240,-7219.200000,0.255664
105260,-7292.800000,0.257605
105280,-7310.800000,0.259790
105300,-7236.800000,0.257971
105320,-7222.400000,0.253967
105340,-7153.200000,0.251282
105360,-7258.800000,0.255701
105380,-7190.400000,0.255371
105400,-7221.600000,0.253577
105420,-7169.600000,0.255994
105440,-7202.000000,0.251111
105460,-7018.000000,0.250916
105480,-7023.200000,0.250525
105500,-7313.600000,0.264539
105520,-7305.200000,0.257227
105540,-7196.800000,0.254810
105560,-7383.200000,0.262463
105580,-7261.200000,0.258606
105600,-7130.000000,0.253503
105620,-7205.200000,0.254114
105640,-7114.800000,0.253406
105660,-7126.400000,0.251147
105680,-7121.600000,0.247205
105700,-7119.200000,0.248718
105720,-7138.800000,0.254126
105740,-7069.600000,0.252332
105760,-6960.800000,0.248254
105780,-7116.800000,0.252368
105800,-7022.400000,0.250452
105820,-7050.000000,0.247424
105840,-7113.600000,0.247229
105860,-7158.000000,0.248926
105880,-6976.000000,0.247473
105900,-7032.400000,0.252344
105920,-6958.000000,0.247864
105940,-7123.600000,0.251831
105960,-7139.200000,0.252356
105980,-7111.200000,0.257166
106000,-7143.200000,0.254382
106020,-7147.600000,0.247327
106040,-7190.800000,0.251270
106060,-7210.000000,0.254468
106080,-7127.600000,0.251978
106100,-7067.200000,0.251709
106120,-7017.200000,0.247327
106140,-7165.600000,0.255579
106160,-7033.200000,0.254858
106180,-7006.400000,0.248828
106200,-7076.800000,0.249854
106220,-7097.200000,0.258020
106240,-7135.200000,0.258179
106260,-7080.800000,0.249243
106280,-7119.200000,0.250134
106300,-7158.400000,0.253284
106320,-7134.000000,0.253259
106340,-7238.400000,0.259070
106360,-7109.600000,0.251978
106380,-7180.000000,0.257300
106400,-7075.600000,0.252148
106420,-7160.400000,0.248328
106440,-7063.200000,0.250623
106460,-7138.800000,0.251746
106480,-7157.200000,0.253369
106500,-7190.800000,0.253674
106520,-7060.400000,0.248926
106540,-7276.800000,0.250867
106560,-7256.800000,0.254663
106580,-7090.000000,0.249841
106600,-7224.000000,0.255627
106620,-7207.200000,0.255298
106640,-7205.600000,0.252222
106660,-7308.000000,0.261023
106680,-7227.600000,0.255933
106700,-7377.200000,0.264673
106720,-7299.600000,0.258508
106740,-7283.200000,0.253821
106760,-7196.400000,0.260706
106780,-7114.400000,0.257568
106800,-7271.200000,0.260706
106820,-7167.200000,0.255188
106840,-7314.000000,0.257629
106860,-7370.800000,0.263062
106880,-7399.200000,0.265527
106900,-7330.000000,0.262988
106920,-7172.800000,0.254309
106940,-7137.600000,0.253601
106960,-7146.400000,0.253125
106980,-7234.800000,0.257581
107000,-7265.200000,0.254907
107020,-7188.400000,0.256726
107040,-7339.200000,0.259192
107060,-7197.200000,0.254993
107080,-7140.000000,0.251746
107100,-7305.600000,0.256396
107120,-7192.400000,0.251318
107140,-7233.200000,0.255811
107160,-7200.800000,0.253833
107180,-7239.600000,0.252771
107200,-7194.000000,0.255457
107220,-7192.000000,0.250684
107240,-7131.200000,0.252161
107260,-7160.400000,0.253467
107280,-7106.000000,0.254297
107300,-7258.800000,0.257263
107320,-7123.200000,0.249609
107340,-7264.400000,0.253223
107360,-7178.800000,0.253076
107380,-7154.000000,0.256726
107400,-7204.400000,0.251526
107420,-7111.200000,0.253760
107440,-7165.200000,0.255811
107460,-7151.200000,0.254321
107480,-7102.400000,0.252893
107500,-7198.000000,0.255298
107520,-7113.200000,0.255884
107540,-7092.400000,0.249976
107560,-7118.000000,0.250488
107580,-7080.000000,0.252979
107600,-7065.600000,0.249316
107620,-7235.200000,0.254749
107640,-7200.400000,0.253955
107660,-7255.600000,0.257019
107680,-7147.600000,0.253503
107700,-7210.800000,0.250757
107720,-7218.400000,0.257520
107740,-7243.600000,0.255933
107760,-7123.600000,0.258691
107780,-7268.000000,0.258228
107800,-7264.000000,0.255371
107820,-7213.200000,0.256885
107840,-7166.000000,0.256128
107860,-7234.800000,0.257080
107880,-7174.400000,0.251782
107900,-7302.400000,0.255811
107920,-7260.800000,0.255054
107940,-7336.400000,0.257935
107960,-7198.400000,0.257263
107980,-7305.200000,0.255139
108000,-7274.400000,0.258203
108020,-7281.600000,0.265454
108040,-7417.600000,0.259192
108060,-7330.400000,0.262561
108080,-7375.200000,0.264771
108100,-7180.800000,0.255017
108120,-7342.000000,0.258545
108140,-7326.400000,0.260779
108160,-7209.600000,0.257458
108180,-7227.200000,0.253833
108200,-7200.000000,0.255481
108220,-7168.400000,0.257300
108240,-7207.200000,0.258960
108260,-7121.600000,0.259058
108280,-7334.400000,0.259595
108300,-7148.400000,0.252686
108320,-7275.200000,0.263306
108340,-7223.600000,0.258887
108360,-7124.000000,0.257446
108380,-7290.800000,0.259241
108400,-7196.800000,0.256726
108420,-7298.000000,0.252307
108440,-7214.400000,0.251953
108460,-7172.000000,0.255200
108480,-7231.600000,0.254431
108500,-7282.800000,0.259180
108520,-7312.000000,0.265271
108540,-7234.800000,0.254321
108560,-7181.600000,0.253333
108580,-7136.000000,0.256860
108600,-7290.000000,0.256335
108620,-7171.200000,0.255933
108640,-7187.200000,0.251892
108660,-7168.800000,0.252063
108680,-7189.600000,0.252576
108700,-7046.800000,0.245874
108720,-7076.800000,0.248865
108740,-7088.800000,0.249731
108760,-7212.400000,0.252649
108780,-7123.600000,0.253369
108800,-7062.800000,0.248706
108820,-7150.800000,0.255383
108840,-7195.600000,0.252832
108860,-7245.200000,0.253760
108880,-7179.200000,0.250977
108900,-7198.800000,0.255371
108920,-7232.000000,0.258948
108940,-7191.600000,0.257104
108960,-7182.800000,0.254053
108980,-7109.600000,0.253601
109000,-7171.200000,0.250562
109020,-7158.000000,0.250183
109040,-7270.000000,0.256921
109060,-7276.800000,0.251489
109080,-7218.400000,0.252356
109100,-7190.400000,0.253162
109120,-7259.600000,0.257336
109140,-7087.600000,0.253088
109160,-7305.600000,0.255249
109180,-7321.200000,0.257812
109200,-7261.600000,0.257300
109220,-7258.800000,0.261560
109240,-7310.400000,0.262036
109260,-7249.200000,0.260107
109280,-7266.800000,0.258679
109300,-7291.200000,0.261328
109320,-7286.400000,0.260217
109340,-7352.800000,0.259656
109360,-7258.800000,0.256287
109380,-7313.200000,0.255762
109400,-7356.000000,0.258020
109420,-7428.000000,0.259033
109440,-7242.800000,0.258887
109460,-7258.400000,0.263574
109480,-7268.800000,0.260095
109500,-7328.000000,0.259998
109520,-7174.800000,0.252087
109540,-7282.000000,0.259888
109560,-7199.600000,0.257434
109580,-7326.000000,0.260083
109600,-7314.400000,0.259558
109620,-7335.200000,0.261719
109640,-7216.800000,0.261987
109660,-7142.000000,0.257300
109680,-7243.600000,0.253259
109700,-7256.800000,0.255151
109720,-7230.800000,0.260083
109740,-7390.000000,0.261426
109760,-7249.200000,0.257361
109780,-7343.200000,0.263818
109800,-7323.600000,0.263306
109820,-7214.800000,0.255652
109840,-7282.000000,0.258838
109860,-7270.800000,0.257019
109880,-7054.400000,0.253149
109900,-7235.200000,0.260229
109920,-7153.200000,0.251111
109940,-7073.200000,0.253918
109960,-7236.800000,0.255115
109980,-7230.400000,0.259863
110000,-7312.400000,0.260364
110020,-7233.600000,0.256921
110040,-7232.000000,0.252625
110060,-7254.000000,0.259180
110080,-7191.600000,0.249573
110100,-7204.000000,0.253125
110120,-7053.600000,0.252637
110140,-7123.600000,0.256641
110160,-7138.000000,0.250232
110180,-7130.800000,0.252185
110200,-7145.200000,0.253784
110220,-7103.600000,0.253613
110240,-7042.800000,0.252844
110260,-7187.600000,0.253479
110280,-7160.000000,0.253784
110300,-7138.000000,0.251196
110320,-7033.200000,0.250256
110340,-7075.200000,0.253491
110360,-7172.000000,0.247498
110380,-7094.000000,0.247925
110400,-7050.400000,0.249219
110420,-7067.200000,0.248730
110440,-7023.600000,0.243176
110460,-7030.800000,0.244336
110480,-6891.600000,0.243298
110500,-7003.600000,0.244421
110520,-6928.800000,0.242871
110540,-7018.000000,0.239148
110560,-7062.000000,0.242212
110580,-6988.000000,0.248401
110600,-7075.600000,0.249683
110620,-6974.000000,0.247314
110640,-7087.200000,0.244934
110660,-7040.400000,0.251111
110680,-7078.800000,0.254102
110700,-6948.400000,0.249463
110720,-6997.200000,0.247510
110740,-7047.200000,0.251111
110760,-7187.200000,0.255042
110780,-7127.200000,0.248853
110800,-7042.400000,0.249817
110820,-7149.600000,0.249585
110840,-7193.600000,0.255444
110860,-7120.000000,0.252673
110880,-7006.000000,0.246106
110900,-7148.000000,0.254590
110920,-7320.800000,0.258972
110940,-7272.800000,0.257947
110960,-7189.200000,0.254248
110980,-7186.800000,0.253418
111000,-7175.600000,0.258276
111020,-7088.000000,0.252466
111040,-7096.000000,0.252600
111060,-7197.600000,0.249390
111080,-7205.600000,0.250146
111100,-7122.400000,0.252759
111120,-7098.000000,0.254651
111140,-7184.800000,0.255811
111160,-7150.400000,0.254993
111180,-7179.600000,0.256262
111200,-7156.800000,0.248792
111220,-7141.600000,0.246704
111240,-7167.600000,0.249170
111260,-7178.800000,0.243567
111280,-7056.800000,0.245508
111300,-7238.800000,0.247278
111320,-7058.800000,0.243555
111340,-7280.400000,0.249121
111360,-7090.400000,0.249622
111380,-7033.200000,0.246997
111400,-7031.200000,0.248511
111420,-7124.000000,0.249023
